id,y_2011,y_2012,y_2013,y_2014
0,1030120.39800995,1038357.71144279,1060122.77227723,1694937.12871287
1,416864.530892448,417025.400457666,386037.298387097,396016.633266533
2,114931.475409836,111816.393442623,109659.016393443,107158.68852459
3,103433.678756477,103060.362694301,113517.875647668,136249.740932642
4,293057.590759076,288457.920792079,316743.114754098,347715.737704918
5,132721.834862385,132557.064220183,132183.669724771,131771.19266055
6,109300.462962963,108389.351851852,107774.537037037,100610.185185185
7,91844.0425531915,91952.9787234043,114643.829787234,140660
8,69558.4541062802,69375.3623188406,69697.5845410628,69601.2077294686
9,116163.005780347,115879.479768786,115421.676300578,111685.838150289
10,110836.666666667,110886.060606061,110660.303030303,97847.1299093656
11,112749.873417722,112174.430379747,128045.569620253,142157.215189873
12,130405.382436261,129533.615819209,129503.672316384,126658.474576271
13,983011.1747851,982939.255014327,989457.87965616,1015871.06017192
14,1091453.25670498,1088239.46360153,1085718.3908046,1098103.83141762
15,390466.44295302,387870.234113712,389437.123745819,393575.919732441
16,276385.380116959,278319.883040936,305200.292397661,376703.988603989
17,198820,198871.830985915,198755.492957746,199149.295774648
18,217761.43187067,219140.184757506,208827.330508475,199790.449438202
19,200154.769230769,200580.307692308,200912,201783.076923077
20,153451.069518717,153392.780748663,153823.262032086,154274.331550802
21,413466.755319149,415219.14893617,416059.096945551,423326.923076923
22,175907.843137255,178634.422657952,180869.934640523,181035.076252723
23,456511.240310077,456200.387596899,369219.540229885,427543.560606061
24,184868.048780488,187722.682926829,191536.585365854,192017.317073171
25,267233.196721311,190881.218274112,192309.237875289,216598.850574713
26,406545.426829268,411263.719512195,419133.231707317,430324.242424242
27,502441.158536585,503418.417047184,499618.264840183,502017.17325228
28,147752.641878669,147536.399217221,146783.561643836,142931.115459883
29,183332.313575526,178158.508604206,191405.736137667,209851.434034417
30,126305.542168675,125831.807228916,124745.060240964,125432.289156627
31,129170.923913043,128951.630434783,124463.586956522,124684.510869565
32,118002.43902439,114210.801393728,113867.24738676,113658.18815331
33,150521.615720524,150813.507625272,153187.79956427,265311.328976035
34,122131.509846827,122418.599562363,107345.295404814,119467.177242888
35,133859.12596401,134050.128534704,134234.190231362,177375.835475578
36,182109.661835749,182416.144578313,182987.710843373,182465.301204819
37,129517.482517483,129662.237762238,129790.559440559,128932.867132867
38,424342.6124197,432772.805139186,454555.674518201,437095.284872299
39,853320.17167382,853297.854077253,862668.085106383,834538.716356108
40,241917.933130699,257186.930091185,260250.759878419,262888.145896657
41,444272.479564033,462344.02173913,481335.83535109,506715.458937198
42,215053.551912568,214028.415300546,255071.584699454,254785.789473684
43,91050.1340482574,91013.1367292225,90686.327077748,90520.6434316354
44,142331.796116505,142303.398058252,140191.747572816,140185.67961165
