id,y_2011,y_2012,y_2013,y_2014
0,348098.009950249,356975.621890547,356591.584158416,361450
1,254107.322654462,253731.578947368,242266.733870968,249347.695390782
2,104448.524590164,101667.868852459,99246.2295081967,96509.8360655738
3,90545.0777202072,90573.3160621762,89823.3160621762,90159.3264248705
4,252149.339933993,247249.339933993,254194.098360656,263597.540983607
5,117778.71559633,117426.788990826,116636.880733945,116092.293577982
6,97456.4814814815,96702.7777777778,94958.3333333333,87960.6481481481
7,79535.3191489362,79652.7659574468,77067.6595744681,76672.5531914894
8,59458.4541062802,59079.7101449275,59053.3816425121,59009.4202898551
9,103764.161849711,103382.369942197,102728.034682081,96845.3757225434
10,93573.9393939394,92756.6666666667,91494.5454545455,79886.7069486405
11,97258.9873417722,96330.3797468354,95107.8481012658,87869.3670886076
12,110547.025495751,109155.084745763,108656.214689266,103731.920903955
13,432999.426934097,424330.085959885,422895.128939828,430073.638968481
14,453669.731800766,455120.689655172,450521.83908046,460863.218390805
15,166271.812080537,164559.197324415,166323.745819398,171794.983277592
16,240581.578947368,242162.280701754,243232.16374269,239741.88034188
17,197287.605633803,197147.887323944,196321.690140845,196715.492957746
18,213128.637413395,213565.127020785,202725.63559322,193116.292134831
19,194774.769230769,194677.230769231,194254.153846154,195236
20,146996.524064171,146938.235294118,146796.524064171,146862.56684492
21,222479.920212766,223979.654255319,223983.399734396,225686.604774536
22,172183.660130719,174762.091503268,176701.307189542,176788.017429194
23,212472.868217054,212030.23255814,204865.900383142,271328.787878788
24,182746.097560976,185186.097560976,188278.048780488,188846.585365854
25,214926.229508197,158142.893401015,163986.836027714,191320.91954023
26,369809.451219512,374214.634146341,380718.292682927,392033.03030303
27,217776.219512195,218647.945205479,215779.756468798,218359.574468085
28,133327.59295499,132645.596868885,130642.270058708,127001.174168297
29,166693.307839388,161324.47418738,163049.330783939,165287.571701721
30,113835.662650602,112870.361445783,111865.542168675,112639.518072289
31,114896.467391304,114400,109516.847826087,110129.076086957
32,105981.533101045,101687.804878049,100675.261324042,100967.944250871
33,133979.475982533,134394.553376906,132769.934640523,132767.755991285
34,85259.2997811816,85016.8490153173,83113.5667396061,82954.704595186
35,125902.570694087,126093.573264781,126201.028277635,126400.257069409
36,175361.352657005,175457.590361446,174928.43373494,174492.771084337
