id,y_2011,y_2012,y_2013,y_2014
0,8,11,8,6
1,12,28,40,14
2,5,6,11,2
3,2,9,2,0
4,26,24,60,25
5,4,2,8,9
6,2,2,4,1
7,24,8,27,31
8,1,7,12,1
9,2,8,1,1
10,8,3,3,1
11,5,6,12,4
12,7,19,8,3
13,5,17,16,9
14,4,1,13,2
15,7,9,13,5
16,30,23,16,11
17,74,69,25,13
18,27,43,86,44
19,7,7,7,6
20,4,5,13,12
21,28,29,40,30
22,29,20,30,10
23,7,4,8,3
24,25,31,10,11
25,81,136,183,68
26,17,32,34,24
27,18,15,26,8
28,8,7,4,3
29,27,32,14,14
30,5,8,2,2
31,7,5,8,4
32,3,4,2,5
33,17,11,11,5
34,7,3,9,1
35,6,5,4,4
36,14,9,9,4
37,1,1,3,1
38,93,192,119,41
39,63,40,67,45
40,14,12,4,5
41,42,49,50,33
42,10,11,14,6
43,2,1,2,2
44,1,11,9,3
45,2,9,2,2
46,4,7,2,2
47,13,19,6,6
48,8,8,9,2
49,1,13,6,0
50,2,2,2,1
51,27,16,19,6
52,73,98,123,62
53,2,7,2,1
54,46,31,33,18
55,40,30,35,18
56,3,7,14,5
57,15,15,23,10
58,41,37,15,7
59,4,5,9,2
60,11,18,19,4
61,7,8,48,35
62,13,21,12,3
63,11,13,12,2
64,3,7,6,4
65,7,3,2,1
66,7,8,7,2
67,8,3,3,1
68,7,5,12,0
69,5,5,5,6
70,4,13,12,6
71,5,13,13,8
72,3,6,4,0
73,4,4,6,2
74,3,5,4,5
75,7,3,5,0
76,19,23,17,7
77,2,5,9,6
78,7,16,14,8
79,30,39,49,17
80,20,22,13,11
81,28,10,19,5
82,14,24,19,13
83,11,13,17,7
84,6,4,5,4
85,6,6,9,4
86,15,28,18,10
87,13,19,14,13
88,1,5,11,4
89,0,0,1,0
90,2,4,2,2
91,10,7,5,3
92,6,9,19,3
93,2,3,3,3
94,1,4,9,4
95,15,11,5,3
96,1,1,3,4
97,3,2,0,0
98,2,15,9,2
99,5,4,8,1
100,5,4,9,2
101,2,7,5,2
102,3,6,7,7
103,5,45,23,2
104,6,20,10,3
105,8,4,7,6
106,4,5,4,3
107,1,1,1,1
108,47,48,37,41
109,3,3,8,1
110,1,8,2,5
111,47,60,57,26
112,5,6,3,1
113,21,16,21,2
114,2,9,5,2
115,1,6,9,10
116,3,8,5,0
117,12,11,7,11
118,70,80,105,33
119,14,10,1,4
120,5,5,1,3
121,12,20,11,6
122,8,14,9,4
123,22,14,16,15
124,20,19,15,11
125,13,9,11,8
126,21,25,20,8
127,17,10,18,6
128,10,11,8,5
129,20,15,24,9
130,15,26,23,15
131,24,23,26,10
132,22,15,15,10
133,20,13,18,10
134,58,116,97,61
135,13,14,14,13
136,11,11,12,6
137,6,12,3,5
138,21,49,36,22
139,54,41,58,28
140,3,8,6,1
141,7,12,11,5
142,34,81,86,30
143,19,51,46,25
144,7,6,4,5
145,28,23,33,6
146,19,21,36,7
147,9,14,16,12
148,2,4,2,2
149,54,63,51,48
150,6,12,24,9
151,25,53,57,20
152,39,32,38,9
153,7,9,17,9
154,7,8,3,4
155,24,42,34,11
156,31,17,31,11
157,20,22,20,13
158,19,34,31,5
159,46,36,46,23
160,15,25,17,3
161,5,6,4,2
162,5,7,10,10
163,4,2,7,0
164,5,9,15,6
165,7,11,9,10
166,8,15,15,5
167,0,0,0,0
168,5,4,8,2
169,2,5,5,1
170,24,39,37,17
171,5,27,24,8
172,1,4,1,3
173,24,49,67,25
174,12,12,9,3
175,34,43,56,31
176,1,7,9,3
177,10,13,25,8
178,10,4,13,11
179,4,6,5,4
180,24,15,19,10
181,10,12,18,6
182,10,11,27,33
183,5,7,14,4
184,5,6,7,3
185,19,24,22,9
186,25,26,65,19
187,3,8,6,1
188,17,33,12,19
189,1,2,5,2
190,2,8,19,4
191,12,29,22,10
192,0,3,4,0
193,7,12,9,1
194,20,24,8,8
195,10,5,12,7
196,19,23,12,4
197,6,18,19,5
198,18,10,8,8
199,1,2,0,0
200,12,13,8,5
201,6,5,5,4
202,11,0,10,1
203,8,10,13,4
204,10,13,15,12
205,7,13,10,5
206,25,16,15,12
207,8,3,2,1
208,19,20,28,13
209,58,55,29,7
210,12,6,13,45
211,3,7,5,2
212,3,8,6,10
213,3,2,7,3
214,3,9,7,9
215,9,4,13,9
216,7,13,7,5
217,11,8,11,10
218,13,32,24,13
219,16,14,16,6
220,34,24,17,13
221,20,16,28,10
222,9,16,13,7
223,15,19,15,10
224,16,19,25,12
225,9,13,9,5
226,23,23,14,10
227,46,36,49,17
228,14,11,20,6
229,13,18,15,9
230,6,14,5,4
231,4,6,4,3
232,9,7,8,6
233,7,8,7,4
234,4,10,6,5
235,9,21,13,5
236,2,7,12,4
237,8,5,4,5
238,5,4,4,5
239,4,4,7,3
240,4,5,4,2
241,12,5,8,4
242,4,3,7,2
243,4,3,14,5
244,6,0,7,1
245,3,18,9,6
246,14,8,8,8
247,9,8,18,3
248,5,11,6,5
249,18,12,23,6
250,9,26,20,3
251,9,6,11,3
252,9,18,12,9
253,14,7,11,0
254,7,6,18,6
255,3,6,4,4
256,8,28,19,7
257,0,2,5,3
258,17,18,26,15
259,9,20,18,9
260,8,17,10,1
261,17,22,26,34
262,13,6,5,2
263,28,29,26,8
264,49,61,34,8
265,27,20,38,13
266,17,14,8,5
267,31,22,20,5
268,106,59,40,11
269,9,12,12,5
270,22,32,22,21
271,75,44,38,23
272,18,18,15,6
273,10,11,10,11
274,33,37,49,16
275,20,34,25,15
276,43,92,70,23
277,41,48,50,29
278,40,63,50,12
279,5,27,17,20
280,24,32,46,16
281,36,44,44,13
282,55,50,20,6
283,21,33,40,15
284,7,14,21,4
285,12,7,12,10
286,30,28,48,12
287,10,2,10,4
288,10,9,10,6
289,24,60,24,11
290,30,82,90,22
291,8,10,12,7
292,6,9,11,1
