id,y_2011,y_2012,y_2013,y_2014
0,2,1,1,0
1,0,2,1,3
2,27,52,30,21
3,31,13,27,1
4,6,6,2,4
5,17,0,1,1
6,2,2,3,1
7,22,22,17,11
8,17,32,109,22
9,5,8,2,4
10,17,10,0,2
11,28,5,18,6
12,19,21,17,3
13,4,1,3,0
14,0,0,1,0
15,3,0,2,1
16,0,0,0,0
17,0,0,0,0
18,1,0,1,0
19,52,5,4,0
20,8,50,2,4
21,7,3,3,5
22,1,0,2,0
23,3,1,7,2
24,6,11,0,0
25,0,1,1,0
26,0,0,0,0
27,7,3,4,4
28,3,4,2,1
29,8,16,33,3
30,9,35,12,18
31,5,10,4,1
32,11,3,15,1
33,9,11,6,3
34,3,23,3,2
35,6,33,2,0
36,3,3,2,0
37,6,7,0,0
38,9,5,2,0
39,13,0,3,5
40,2,15,13,4
41,0,0,1,0
42,3,1,2,3
43,21,23,34,6
44,11,8,3,0
45,28,8,10,5
46,6,1,6,1
47,11,10,11,12
48,6,6,2,1
49,13,6,14,2
50,14,1,4,1
51,1,7,3,4
52,2,2,1,2
53,0,5,0,3
54,5,19,11,1
55,8,2,11,9
56,8,15,4,4
57,0,0,0,0
58,1,0,4,0
59,0,5,4,0
60,0,0,1,0
61,22,6,1,0
62,1,1,1,2
63,5,1,2,0
64,1,0,1,0
65,0,0,1,4
66,18,22,7,32
67,1,0,3,0
68,7,4,1,0
69,5,2,5,4
70,4,9,2,0
71,24,8,3,7
72,21,37,35,19
73,8,4,6,1
74,3,36,6,10
75,10,2,6,1
76,1,29,12,8
77,4,5,11,2
78,2,0,1,5
79,3,2,3,1
80,6,5,5,2
81,4,11,17,3
82,12,11,17,25
83,0,8,0,1
84,24,3,1,1
85,32,15,1,3
86,4,5,5,1
87,0,0,1,0
88,0,0,0,0
89,0,1,0,0
90,26,0,7,3
91,29,1,5,0
92,0,0,0,0
93,1,0,1,2
94,3,1,1,0
95,0,1,0,0
96,1,0,2,8
97,2,4,4,10
98,6,8,25,49
99,2,3,2,24
100,14,46,83,9
101,4,8,6,2
102,11,3,7,6
103,0,2,0,0
104,0,0,1,0
105,5,1,4,1
106,48,11,28,12
107,1,3,0,3
108,6,14,10,3
109,44,5,9,0
110,40,36,5,2
111,4,6,3,5
112,4,31,8,5
113,0,4,12,12
114,8,23,4,2
115,5,9,5,2
116,11,12,12,1
117,4,3,2,1
118,20,19,7,4
119,10,1,2,0
120,6,2,1,0
121,0,0,0,0
122,20,15,3,14
123,16,9,8,4
124,43,71,11,3
125,19,19,5,1
126,39,31,16,6
127,6,32,56,20
128,24,5,6,1
129,10,16,50,2
130,15,11,30,32
131,8,11,5,1
132,47,13,9,15
133,40,8,3,5
134,23,18,19,3
135,36,19,61,6
136,61,12,18,21
137,84,10,10,4
138,47,30,41,11
139,10,2,12,0
140,3,0,0,0
141,17,5,1,2
142,31,17,11,15
143,20,30,84,9
144,14,12,8,9
145,83,31,19,11
146,22,20,8,1
147,42,17,8,6
148,2,5,1,0
149,51,17,8,16
150,35,16,10,1
151,42,22,21,14
152,46,19,25,12
153,13,7,0,0
154,20,6,1,4
155,45,7,8,2
156,23,4,22,5
157,17,0,7,1
158,93,15,6,2
159,42,15,20,3
160,58,22,7,2
161,6,8,7,7
162,5,1,0,0
163,7,8,1,0
164,0,0,1,0
165,1,1,0,2
166,0,3,0,1
167,0,0,0,0
168,7,21,2,1
169,4,3,2,2
170,2,0,0,0
171,1,0,0,2
172,0,0,0,0
173,0,1,0,0
174,7,3,1,0
175,0,1,0,3
176,14,98,8,6
177,1,0,1,2
178,9,2,1,0
179,7,7,5,0
180,0,0,0,0
181,3,0,0,5
182,13,24,0,2
183,1,0,0,0
184,6,5,3,4
185,5,2,4,1
186,2,2,0,2
187,67,1,1,1
188,15,32,11,1
189,17,5,4,0
190,49,18,8,4
191,31,15,10,3
192,0,1,0,0
193,5,4,5,2
194,7,3,2,3
195,13,3,0,2
196,7,2,2,1
197,29,2,16,2
198,18,3,3,1
199,4,1,1,0
200,11,29,46,5
201,5,7,3,2
202,3,4,6,1
203,50,30,35,13
204,3,2,5,1
205,1,2,11,0
206,5,2,0,0
207,6,3,1,1
208,41,3,1,0
209,3,2,1,0
210,2,4,7,1
211,6,6,17,2
212,0,0,3,1
213,0,0,0,0
214,2,1,3,0
215,18,26,19,11
216,26,9,0,4
217,28,6,9,2
218,31,15,11,9
219,24,22,3,3
220,78,32,11,7
221,15,11,9,11
222,56,17,11,9
223,43,50,24,15
224,14,52,12,6
225,22,19,10,5
226,109,126,102,25
227,27,23,66,11
228,86,16,74,17
229,140,35,18,13
230,0,1,3,0
231,1,0,0,0
232,2,2,0,3
233,0,0,1,0
234,0,58,4,0
235,17,2,3,0
236,1,2,0,0
237,0,23,1,0
238,2,2,1,0
239,3,6,9,1
240,0,1,3,0
241,91,0,4,0
242,0,1,0,10
243,0,19,0,6
244,2,32,6,1
245,1,2,0,0
246,1,1,5,1
247,82,2,1,3
248,0,1,4,1
249,0,4,2,7
250,0,0,0,1
251,2,1,10,6
252,33,32,7,12
253,15,28,9,2
254,12,26,3,8
255,7,14,1,2
256,42,6,13,8
257,19,9,7,10
258,5,2,0,2
259,2,1,1,0
260,2,0,4,2
261,5,3,0,1
262,15,0,3,1
263,110,86,49,42
264,28,15,9,2
265,199,68,97,25
266,38,44,15,2
267,35,6,4,1
268,1,0,0,1
269,0,0,0,2
270,5,2,2,0
271,4,7,1,0
272,23,5,11,4
273,13,112,7,9
274,58,7,22,19
275,24,18,16,6
276,15,6,5,3
277,63,38,26,17
278,85,49,67,25
279,7,6,9,53
280,106,34,60,19
281,114,39,40,40
282,1,2,1,0
283,0,0,0,2
284,38,6,20,2
285,0,0,1,0
286,0,0,0,0
287,2,10,0,0
288,0,3,1,0
289,2,3,9,1
290,0,0,0,0
291,0,0,0,0
292,3,3,2,5
