id,y_2011,y_2012,y_2013,y_2014
0,3,3,1,0
1,10,11,17,10
2,18,14,34,23
3,36,31,58,20
4,25,20,19,7
5,59,23,9,20
6,15,10,10,7
7,62,26,56,29
8,52,30,59,58
9,51,15,10,26
10,16,15,18,17
11,48,21,25,25
12,16,9,14,15
13,11,1,1,2
14,1,1,2,0
15,0,1,1,0
16,6,3,5,2
17,9,6,6,6
18,8,39,1,5
19,5,3,2,2
20,9,26,4,4
21,16,10,11,3
22,18,6,5,6
23,9,16,16,2
24,11,8,4,6
25,7,1,21,8
26,2,1,0,0
27,13,3,8,5
28,32,15,26,14
29,29,25,33,27
30,17,20,18,14
31,16,19,19,9
32,25,11,19,9
33,40,31,26,21
34,42,36,34,25
35,21,13,21,21
36,57,46,52,19
37,19,9,9,5
38,5,3,14,13
39,17,15,11,14
40,11,43,44,28
41,2,7,11,7
42,1,3,2,1
43,33,36,39,20
44,22,22,8,8
45,43,29,16,8
46,14,8,11,3
47,53,30,28,14
48,18,13,13,1
49,6,12,10,5
50,13,5,12,5
51,15,15,5,7
52,24,22,3,2
53,6,9,15,21
54,9,30,10,6
55,15,4,15,11
56,6,5,2,3
57,8,3,10,9
58,0,1,4,3
59,10,8,1,8
60,1,1,1,1
61,3,0,6,0
62,4,1,0,0
63,1,1,4,3
64,1,4,0,1
65,0,1,1,2
66,68,45,40,29
67,7,0,6,1
68,31,20,20,10
69,18,26,34,15
70,12,2,3,0
71,32,25,30,12
72,23,27,16,8
73,18,16,11,5
74,14,17,31,18
75,18,10,11,5
76,30,28,23,14
77,26,15,21,10
78,15,4,1,3
79,9,13,8,9
80,10,15,13,5
81,13,12,18,10
82,23,18,20,4
83,12,9,10,11
84,3,4,3,1
85,13,10,14,8
86,19,15,14,8
87,12,5,2,3
88,6,6,5,1
89,0,0,0,0
90,16,8,8,7
91,3,3,5,4
92,1,2,2,0
93,6,3,6,2
94,7,6,3,0
95,0,1,0,2
96,4,6,4,4
97,40,32,34,36
98,72,64,87,34
99,4,12,4,1
100,54,48,91,44
101,18,19,37,2
102,37,35,27,19
103,2,1,3,2
104,3,2,4,5
105,11,12,10,4
106,14,4,21,8
107,6,4,3,1
108,8,20,12,5
109,12,12,56,12
110,11,14,11,12
111,5,21,22,6
112,13,15,23,13
113,27,27,32,15
114,19,18,18,9
115,54,43,30,21
116,30,33,30,8
117,10,9,4,5
118,45,39,51,21
119,32,9,12,1
120,15,3,5,0
121,9,3,3,0
122,48,21,31,1
123,14,11,22,15
124,50,28,26,13
125,28,19,20,5
126,24,16,33,12
127,32,25,27,16
128,28,29,24,7
129,28,22,37,11
130,55,54,53,17
131,11,11,7,4
132,53,38,44,17
133,30,19,40,22
134,139,93,82,36
135,208,170,135,44
136,43,38,76,16
137,53,51,66,32
138,77,39,74,24
139,7,22,27,5
140,0,0,0,0
141,6,7,10,4
142,62,39,69,45
143,36,70,94,29
144,28,17,21,29
145,153,144,121,50
146,7,13,2,0
147,25,17,14,7
148,7,10,4,1
149,94,75,50,13
150,54,41,50,19
151,157,140,129,59
152,82,55,65,18
153,4,3,1,2
154,7,0,3,1
155,17,11,15,9
156,4,3,7,3
157,9,11,8,12
158,21,25,28,7
159,31,18,24,8
160,1,13,10,6
161,24,50,44,15
162,20,23,14,3
163,9,11,19,6
164,21,3,5,2
165,14,9,8,4
166,3,13,7,4
167,0,0,0,0
168,9,26,17,12
169,7,8,6,1
170,10,8,6,4
171,12,9,3,1
172,0,5,7,0
173,8,8,10,2
174,8,2,7,2
175,9,11,8,2
176,32,20,13,10
177,2,9,7,1
178,8,3,3,1
179,2,5,0,2
180,13,5,7,1
181,8,8,6,3
182,0,3,3,1
183,13,4,1,4
184,10,11,9,5
185,16,16,28,12
186,0,1,0,1
187,13,17,9,3
188,31,28,34,13
189,24,27,24,2
190,24,27,23,6
191,36,22,37,13
192,1,1,0,0
193,39,28,19,11
194,2,1,0,0
195,7,2,3,4
196,4,4,17,5
197,17,8,9,8
198,7,6,12,6
199,1,2,3,6
200,54,52,52,52
201,20,8,15,13
202,13,2,14,9
203,14,19,17,7
204,9,4,10,3
205,2,4,5,5
206,1,1,2,5
207,0,2,1,0
208,4,8,9,4
209,4,6,13,1
210,34,110,18,24
211,24,20,19,17
212,0,1,2,0
213,0,0,0,4
214,0,7,8,4
215,1,4,6,5
216,3,10,5,3
217,20,14,14,10
218,141,54,39,17
219,60,22,24,13
220,51,53,42,32
221,48,32,53,46
222,75,40,27,13
223,112,110,53,46
224,81,55,52,37
225,22,36,32,23
226,121,99,80,48
227,138,113,120,42
228,63,41,33,12
229,197,151,112,31
230,3,2,9,0
231,0,0,1,1
232,9,10,4,1
233,5,5,1,0
234,4,4,11,0
235,2,2,4,1
236,12,16,15,2
237,1,0,2,0
238,7,5,7,2
239,8,14,14,8
240,2,7,5,4
241,12,7,15,1
242,0,1,2,0
243,5,1,3,1
244,12,19,15,2
245,10,3,9,0
246,16,13,19,14
247,14,7,9,2
248,9,8,6,6
249,15,18,9,6
250,1,3,1,2
251,17,13,16,9
252,58,30,33,21
253,21,27,19,3
254,12,4,35,6
255,18,26,16,16
256,18,36,64,17
257,40,36,37,19
258,3,8,4,5
259,10,4,9,2
260,7,14,8,5
261,13,18,14,2
262,28,9,9,3
263,298,225,146,69
264,78,78,44,29
265,277,197,148,84
266,86,71,59,22
267,43,14,15,4
268,21,13,9,5
269,19,15,7,11
270,56,17,9,8
271,51,25,41,20
272,10,10,15,5
273,31,42,53,17
274,52,18,32,9
275,20,15,23,5
276,1,11,11,4
277,94,57,47,18
278,177,150,190,114
279,24,17,25,24
280,129,92,95,35
281,192,126,159,89
282,39,26,14,8
283,7,5,3,2
284,48,32,30,23
285,0,1,1,0
286,8,10,12,6
287,0,2,0,1
288,2,6,3,3
289,14,9,15,5
290,2,5,1,1
291,8,5,1,0
292,2,0,6,1
