id,y_2011,y_2012,y_2013,y_2014
0,2,2,1,0
1,0,4,4,3
2,7,6,2,0
3,10,10,10,2
4,8,1,2,1
5,8,18,12,4
6,6,9,3,2
7,7,5,18,2
8,5,5,31,5
9,8,8,9,1
10,2,2,14,7
11,10,8,6,5
12,3,9,7,0
13,2,1,1,0
14,2,0,0,0
15,3,3,1,0
16,4,4,1,1
17,4,5,5,0
18,0,1,4,2
19,0,3,0,1
20,6,5,8,3
21,2,9,4,3
22,4,8,6,3
23,0,4,1,0
24,3,2,6,1
25,2,0,2,0
26,0,0,1,1
27,0,3,0,0
28,10,8,5,4
29,3,9,10,2
30,4,9,6,5
31,3,10,6,1
32,2,5,5,0
33,13,7,13,3
34,2,3,3,1
35,6,3,1,0
36,6,6,9,1
37,1,1,0,1
38,7,7,11,4
39,8,1,11,5
40,9,9,7,2
41,2,1,1,2
42,8,0,1,0
43,1,10,10,4
44,4,8,8,5
45,0,1,3,4
46,4,2,3,0
47,16,8,13,6
48,2,5,2,2
49,1,6,4,0
50,2,1,8,1
51,4,0,1,1
52,0,7,2,0
53,1,1,3,3
54,2,3,7,2
55,2,0,2,1
56,5,12,0,2
57,5,8,1,0
58,2,0,0,1
59,1,5,8,0
60,0,2,0,0
61,1,0,0,0
62,0,5,1,0
63,2,0,0,0
64,0,0,0,0
65,0,0,0,0
66,7,7,13,1
67,4,5,1,0
68,11,10,9,2
69,10,13,12,5
70,6,6,7,2
71,15,8,16,5
72,4,9,8,1
73,6,6,8,1
74,4,4,1,0
75,5,8,0,2
76,2,1,5,0
77,2,3,4,0
78,0,2,0,0
79,2,0,0,0
80,0,3,3,2
81,2,0,4,2
82,1,1,1,0
83,3,9,6,1
84,0,2,2,2
85,1,4,7,2
86,4,8,7,0
87,0,2,2,1
88,2,1,3,1
89,0,0,0,0
90,4,4,6,0
91,0,2,1,3
92,7,1,1,0
93,9,4,2,2
94,4,2,2,0
95,3,1,1,0
96,0,2,2,2
97,0,4,10,3
98,13,29,27,2
99,1,3,1,0
100,7,12,10,1
101,0,7,3,2
102,3,4,3,5
103,0,0,4,0
104,4,4,5,1
105,3,5,2,0
106,5,0,0,0
107,0,0,0,0
108,3,4,10,1
109,0,3,2,3
110,1,2,2,1
111,6,5,5,2
112,0,5,5,1
113,5,4,2,0
114,1,6,4,2
115,1,4,5,1
116,1,6,5,2
117,0,1,1,0
118,4,9,13,2
119,5,7,5,1
120,11,9,1,3
121,4,13,6,1
122,5,4,3,0
123,0,1,1,1
124,1,4,9,2
125,3,3,2,0
126,2,2,5,4
127,1,9,11,2
128,4,5,4,0
129,7,1,6,1
130,1,5,2,0
131,0,0,2,0
132,0,9,6,2
133,10,4,7,1
134,10,5,0,4
135,3,0,0,2
136,8,8,6,2
137,2,7,15,2
138,2,3,8,0
139,2,9,8,3
140,0,0,0,0
141,3,1,3,1
142,3,3,5,0
143,7,6,17,1
144,5,9,5,0
145,2,2,0,0
146,1,0,0,0
147,2,1,1,1
148,0,0,0,0
149,7,5,21,1
150,1,1,0,0
151,1,0,2,6
152,3,1,3,0
153,2,1,1,1
154,0,0,0,0
155,3,0,1,0
156,4,1,0,0
157,1,0,2,1
158,4,0,0,0
159,3,4,5,0
160,0,3,0,0
161,1,7,12,1
162,2,6,2,1
163,0,3,4,1
164,0,2,1,0
165,5,2,2,0
166,2,0,0,0
167,0,0,0,0
168,0,0,1,1
169,3,0,0,0
170,1,3,1,0
171,2,5,2,1
172,4,7,2,0
173,6,2,11,2
174,7,4,7,2
175,0,0,0,0
176,5,7,9,3
177,0,0,0,0
178,1,1,0,2
179,4,0,4,0
180,0,1,0,0
181,1,0,0,0
182,2,0,2,0
183,2,0,2,0
184,1,3,0,1
185,3,1,0,0
186,10,8,4,2
187,0,3,1,0
188,3,6,7,1
189,0,4,6,3
190,1,7,9,0
191,1,2,4,2
192,1,0,1,0
193,3,3,4,1
194,3,9,4,2
195,0,1,1,0
196,1,14,0,2
197,0,1,1,0
198,2,0,0,0
199,0,2,4,1
200,12,18,9,5
201,5,3,6,0
202,1,0,0,0
203,0,3,4,1
204,0,1,1,0
205,0,0,0,0
206,0,3,1,1
207,1,1,0,0
208,1,2,0,0
209,7,4,3,2
210,3,6,3,1
211,6,17,15,4
212,7,3,2,0
213,2,0,1,0
214,1,0,1,0
215,5,2,3,0
216,4,2,3,0
217,0,1,2,1
218,12,10,9,1
219,5,8,3,2
220,4,16,9,2
221,3,9,5,4
222,3,3,14,3
223,10,20,25,2
224,10,21,16,1
225,5,8,11,4
226,7,15,18,3
227,14,24,16,6
228,6,10,8,4
229,12,13,9,2
230,2,0,1,1
231,0,0,0,0
232,1,1,3,0
233,3,2,1,0
234,0,0,4,1
235,1,0,1,0
236,4,3,22,2
237,0,0,2,1
238,3,2,4,0
239,2,5,2,1
240,4,6,1,0
241,0,0,4,0
242,0,0,0,0
243,4,1,1,1
