id,y_2010,y_2012
2,94.8,108.8
3,95.9,97.9
4,94.3,120.3
5,74.3,60.3
6,90.3,66.3
7,97.3,119.3
8,97.4,68.4
9,96.0,85.0
10,96.5,74.5
11,96.1,83.1
12,98.7,124.7
13,98.2,85.2
14,92.9,64.9
15,95.8,86.8
16,97.6,117.6
17,98.0,111.0
18,89.7,100.7
19,96.7,112.7
20,95.2,112.2
21,89.9,95.9
22,88.7,108.7
23,86.0,107.0
24,95.8,105.8
25,96.7,102.7
26,75.2,92.2
27,92.6,119.6
28,98.6,69.6
29,96.5,106.5
30,91.8,76.8
31,98.1,123.1
32,100.0,95.0
33,85.5,63.5
34,64.0,74.0
35,48.1,35.1
36,90.8,65.8
37,88.3,104.3
38,86.6,61.6
39,81.7,86.7
40,93.7,94.7
41,95.8,66.8
42,91.1,86.1
43,92.8,88.8
44,86.3,60.3
45,52.5,60.5
46,98.5,126.5
47,98.0,127.0
48,83.0,107.0
49,86.6,77.6
50,98.6,122.6
51,88.6,61.6
52,96.2,111.2
53,82.1,103.1
54,62.9,45.9
55,92.0,95.0
56,85.2,76.2
57,89.1,69.1
58,96.5,116.5
59,83.6,106.6
60,72.4,61.4
61,82.5,75.5
62,100.0,100.0
63,100.0,101.0
64,98.8,126.8
65,56.0,39.0
66,93.4,90.4
67,56.0,72.0
68,71.6,67.6
69,99.1,87.1
70,97.4,123.4
71,96.8,93.8
72,63.7,48.7
73,65.7,73.7
74,98.9,105.9
75,93.0,121.0
76,78.8,80.8
77,69.9,89.9
78,89.9,111.9
79,97.9,85.9
80,28.1,35.1
81,84.1,81.1
82,70.5,86.5
83,38.6,48.6
84,47.1,41.1
85,89.4,62.4
86,98.9,82.9
87,96.7,76.7
88,87.0,113.0
89,91.3,73.3
90,96.5,70.5
91,95.3,81.3
92,75.9,71.9
93,66.2,82.2
94,79.5,93.5
95,96.6,72.6
96,67.7,49.7
97,95.0,123.0
98,69.8,80.8
99,96.8,106.8
100,96.9,73.9
101,92.3,106.3
102,94.0,116.0
103,81.4,62.4
104,79.3,86.3
105,89.3,112.3
106,98.7,125.7
107,93.7,66.7
108,80.5,90.5
109,81.2,93.2
110,77.1,98.1
111,70.1,87.1
112,65.7,46.7
113,80.2,58.2
114,74.0,90.0
115,77.8,100.8
116,72.4,72.4
117,93.4,114.4
118,95.3,111.3
119,75.7,75.7
120,87.3,66.3
121,91.8,113.8
122,,
123,85.2,101.2
124,86.5,110.5
125,82.8,106.8
126,35.9,45.9
127,88.3,65.3
128,94.0,88.0
129,100.0,129.0
130,67.0,69.0
131,84.4,109.4
132,99.6,76.6
133,97.1,75.1
134,86.0,66.0
135,95.0,89.0
136,84.5,109.5
137,78.0,57.0
138,92.1,119.1
139,75.8,54.8
140,86.0,75.0
141,85.5,77.5
142,97.8,121.8
143,97.2,68.2
144,69.1,90.1
145,84.5,60.5
146,86.1,60.1
147,89.6,67.6
148,95.5,122.5
149,84.1,76.1
150,91.1,106.1
151,92.6,66.6
152,60.8,42.8
153,89.4,66.4
154,89.4,85.4
155,59.4,59.4
156,68.7,64.7
157,94.0,93.0
158,92.9,115.9
159,57.9,43.9
160,91.9,118.9
161,96.9,121.9
162,95.3,117.3
163,82.8,70.8
164,98.4,88.4
165,86.5,88.5
166,86.1,102.1
167,63.0,80.0
168,99.4,75.4
169,90.6,63.6
170,88.0,85.0
171,95.0,114.0
172,93.5,116.5
173,75.3,81.3
174,46.8,42.8
175,95.5,111.5
176,97.5,77.5
177,98.4,77.4
178,81.4,75.4
179,95.5,112.5
180,84.5,107.5
181,96.9,109.9
182,91.7,103.7
183,79.0,66.0
184,97.5,72.5
185,93.3,65.3
186,90.0,63.0
187,90.1,79.1
188,89.6,116.6
189,100.0,70.0
190,87.3,68.3
191,87.6,92.6
192,74.1,69.1
193,98.3,116.3
194,95.6,93.6
195,47.8,61.8
196,87.3,94.3
197,92.8,118.8
198,92.2,111.2
199,83.8,107.8
200,95.1,117.1
201,96.3,123.3
202,98.3,81.3
203,58.6,70.6
204,79.8,102.8
205,68.4,81.4
206,99.7,109.7
207,78.0,71.0
208,97.2,68.2
209,73.2,94.2
210,83.7,99.7
211,91.9,106.9
212,89.3,67.3
213,99.3,76.3
215,85.7,105.7
216,92.8,105.8
217,94.3,117.3
218,97.3,122.3
219,76.2,70.2
220,96.9,109.9
221,84.2,85.2
222,98.3,70.3
223,95.2,90.2
224,100.0,90.0
225,77.5,94.5
226,99.5,97.5
227,85.7,59.7
228,39.7,47.7
229,66.9,60.9
230,79.9,96.9
231,80.1,102.1
232,72.3,89.3
233,93.3,73.3
234,67.1,86.1
235,97.2,102.2
236,91.6,117.6
237,83.2,73.2
238,90.9,95.9
240,87.0,71.0
241,96.3,77.3
242,78.1,80.1
243,44.3,45.3
244,69.0,51.0
245,96.4,120.4
246,96.3,116.3
247,76.8,57.8
248,95.7,124.7
249,100.0,128.0
250,73.8,68.8
251,72.1,67.1
252,87.5,72.5
253,100.0,112.0
254,56.2,44.2
255,94.2,90.2
256,44.9,55.9
257,95.2,122.2
258,85.5,60.5
259,64.2,83.2
260,84.9,63.9
261,99.9,77.9
262,94.1,69.1
263,96.6,82.6
264,86.0,61.0
265,96.2,74.2
266,75.7,75.7
267,76.4,88.4
268,97.4,69.4
269,96.5,68.5
270,100.0,84.0
271,99.7,112.7
272,92.4,81.4
273,69.6,87.6
274,91.0,103.0
275,96.3,87.3
276,86.5,101.5
277,69.0,52.0
278,82.8,57.8
279,98.9,101.9
280,87.6,105.6
281,88.5,62.5
282,77.0,92.0
283,80.0,101.0
284,42.6,34.6
285,84.4,62.4
286,70.5,67.5
287,94.4,102.4
288,87.8,112.8
289,74.0,84.0
290,90.6,67.6
291,94.5,77.5
292,68.9,48.9
293,94.3,66.3
294,74.9,65.9
295,90.7,63.7
296,67.2,50.2
297,100.0,73.0
298,99.9,122.9
299,80.7,61.7
300,82.5,59.5
301,72.2,51.2
302,100.0,70.0
303,100.0,70.0
304,87.5,63.5
305,81.1,96.1
306,55.8,68.8
307,97.3,125.3
308,98.0,126.0
309,98.7,98.7
310,95.8,90.8
311,86.6,103.6
312,95.9,112.9
313,91.6,118.6
314,97.8,77.8
315,85.1,104.1
316,93.0,118.0
317,76.2,53.2
318,92.1,65.1
319,93.8,118.8
320,99.2,128.2
321,81.8,99.8
322,92.6,91.6
323,96.2,104.2
324,67.1,54.1
325,91.4,93.4
326,95.4,68.4
327,85.1,101.1
328,79.4,83.4
329,88.7,64.7
330,88.1,62.1
331,57.5,45.5
332,66.3,51.3
333,78.7,90.7
334,100.0,119.0
335,85.4,95.4
336,58.0,49.0
337,79.7,97.7
338,87.7,61.7
339,82.0,67.0
340,92.2,70.2
341,94.3,66.3
342,97.9,82.9
343,94.0,99.0
344,82.9,77.9
345,70.7,49.7
346,91.4,98.4
347,80.8,68.8
348,79.6,89.6
349,96.9,102.9
350,99.8,111.8
351,89.3,64.3
352,98.0,72.0
353,97.7,99.7
354,98.4,110.4
355,97.8,68.8
356,93.5,99.5
357,96.8,73.8
358,98.1,110.1
359,95.4,76.4
360,69.1,88.1
361,74.4,95.4
362,97.4,100.4
363,77.1,95.1
364,95.3,80.3
365,95.2,110.2
366,95.6,74.6
367,96.7,88.7
368,94.8,76.8
369,89.9,64.9
370,89.0,76.0
371,91.0,66.0
372,92.2,100.2
373,98.6,124.6
374,80.3,92.3
375,97.8,76.8
376,79.3,98.3
377,88.7,110.7
378,96.1,117.1
379,93.8,65.8
380,96.8,122.8
381,97.0,70.0
382,85.4,105.4
383,96.7,90.7
384,92.5,68.5
385,89.6,100.6
386,89.3,88.3
387,78.7,93.7
388,92.7,120.7
389,98.6,79.6
390,92.9,102.9
391,98.0,127.0
392,98.3,69.3
393,99.3,122.3
