"id","y_2012"
2,33.14
3,36.15
4,43.80
5,23.60
6,33.97
7,42.60
8,41.70
9,36.90
10,37.34
11,35.48
12,28.52
13,29.57
14,28.84
15,38.70
16,34.92
17,45.38
18,30.81
19,46.70
20,45.18
21,30.20
22,33.80
23,35.10
24,34.30
25,41.40
26,35.50
27,32.50
28,42.60
29,50.10
30,24.30
31,40.20
32,53.90
33,28.40
34,33.00
35,37.30
36,50.00
37,34.40
38,40.00
39,30.60
40,27.40
41,40.30
42,44.30
43,41.50
44,28.20
45,31.60
46,22.90
47,43.50
48,30.80
49,37.00
50,27.90
51,29.90
52,28.30
53,30.50
54,28.40
55,41.20
56,47.40
57,24.20
58,34.40
59,29.40
60,23.10
61,24.60
62,19.34
64,25.32
65,27.90
66,27.80
67,22.90
68,34.00
69,51.30
70,44.60
71,26.90
72,36.00
73,37.90
74,42.70
75,36.10
76,36.20
77,30.40
78,27.50
79,24.40
80,26.20
81,37.40
82,34.30
83,45.40
84,44.40
85,35.90
86,29.50
87,40.00
88,26.40
89,31.80
90,32.10
91,35.10
92,31.40
93,32.40
94,43.20
95,39.10
96,31.00
97,33.40
98,31.40
99,44.10
100,32.70
101,25.70
102,29.70
103,30.40
105,36.50
106,29.30
107,29.70
108,34.70
109,37.20
110,40.00
111,34.30
112,30.60
113,27.80
114,24.80
115,39.60
116,27.40
117,27.40
118,42.80
119,39.70
120,23.40
121,38.00
122,
123,40.10
124,45.59
125,31.40
126,55.90
127,29.20
128,32.70
129,41.40
130,47.10
131,35.60
132,42.90
133,38.60
134,27.70
135,26.70
136,30.60
137,28.50
138,39.50
139,39.90
140,37.60
141,29.50
142,34.10
143,58.40
144,29.20
145,27.00
146,39.40
147,40.00
148,43.90
149,40.70
150,34.50
151,34.20
152,32.20
153,33.90
154,36.00
155,30.70
156,31.50
157,36.30
158,30.20
159,38.00
160,33.00
161,35.70
162,31.40
163,33.00
164,28.34
165,29.00
166,39.20
167,27.30
168,45.70
169,34.20
170,35.20
171,40.90
172,38.10
173,28.70
174,35.40
175,44.90
176,37.00
177,54.90
178,29.60
179,45.40
180,32.70
181,40.70
182,46.10
183,22.20
184,35.10
185,26.60
186,33.30
187,35.80
188,37.10
189,37.00
190,29.70
191,35.90
192,29.40
193,34.40
194,37.70
195,26.90
196,30.60
197,32.70
198,50.60
199,31.90
200,25.70
201,43.00
202,26.80
203,31.30
204,37.10
205,46.40
206,33.00
207,28.10
208,39.00
209,38.10
210,44.00
211,35.10
212,29.70
213,40.40
215,57.80
216,34.60
217,40.10
218,30.50
219,22.00
220,35.80
221,32.40
222,41.10
223,36.70
224,36.10
225,40.80
226,36.30
227,33.70
228,39.60
229,44.80
230,27.60
231,33.20
232,35.60
233,37.60
234,33.30
235,43.30
236,49.70
237,32.70
238,29.90
240,38.40
241,45.40
242,30.50
243,60.00
244,35.40
245,30.70
246,38.60
247,24.60
248,28.00
249,25.40
250,28.10
251,35.20
252,41.30
253,33.50
254,27.80
255,40.90
256,37.80
257,31.80
258,33.70
259,28.70
260,32.90
261,38.90
262,45.50
263,46.40
264,29.10
265,38.30
266,31.90
267,30.70
268,43.70
269,38.50
270,31.30
271,34.60
272,26.70
273,32.60
274,27.40
275,34.90
276,31.20
277,34.30
278,30.60
279,30.00
280,32.10
281,35.30
282,29.80
283,38.40
284,42.50
285,
286,53.50
287,30.80
288,36.00
289,35.20
290,49.30
291,24.00
292,27.90
293,26.40
294,28.20
295,29.10
296,38.30
297,37.40
298,27.50
299,30.00
300,36.70
301,41.20
302,33.80
303,28.60
304,19.70
305,34.30
306,16.30
307,35.80
308,37.90
309,38.80
310,31.30
311,46.70
312,39.70
313,28.50
314,28.40
315,32.80
316,29.82
317,27.40
318,34.70
319,41.50
320,38.50
321,41.70
322,29.30
323,33.40
324,35.40
325,50.30
326,43.50
327,26.30
328,40.10
329,40.40
330,27.00
331,26.00
332,30.60
333,36.70
334,30.20
335,39.50
336,28.70
337,34.00
338,33.50
339,27.90
340,28.40
341,29.41
342,30.60
343,33.60
344,33.70
345,36.00
346,32.00
347,31.50
348,36.98
349,30.60
350,42.80
351,44.90
352,32.00
353,39.80
354,29.90
355,32.10
356,40.65
357,39.92
358,38.69
359,53.49
360,29.59
361,33.98
362,41.13
363,34.88
364,42.87
365,36.39
366,37.10
367,32.71
368,38.74
369,19.18
370,27.40
371,44.26
372,34.81
373,42.73
374,46.52
375,43.07
376,33.63
377,30.87
378,36.59
379,42.66
380,41.99
381,32.61
382,22.45
383,32.22
384,30.33
385,37.90
386,35.90
387,42.85
388,32.36
389,36.32
390,34.80
391,44.76
392,37.63
393,32.12
394,38.85
395,42.70
396,43.80
397,29.30
398,57.90
399,34.70
400,45.80
401,37.90
402,43.90
403,39.70
404,35.70
405,31.70
406,46.30
407,39.50
408,41.40
409,40.40
410,39.40
411,30.80
412,47.00
413,36.40
416,31.60
417,31.30
418,32.20
419,39.00
420,36.40
421,32.00
422,35.50
423,46.20
424,53.90
425,45.30
426,45.80
428,42.60
430,31.00
431,36.80
432,42.10
433,37.20
434,36.70
435,50.70
436,41.40
437,34.20
438,47.90
442,33.90
443,39.60
444,31.00
445,36.10
446,30.60
447,33.10
448,33.60
449,50.10
450,37.10
451,41.60
452,38.20
453,41.70
454,51.30
455,42.20
456,78.50
457,38.10
458,38.10
459,36.70
460,32.80
462,38.90
463,34.10
464,36.80
465,34.00
466,35.50
467,34.90
468,19.70
469,39.70
470,44.10
471,33.60
472,46.00
473,34.80
474,39.80
475,45.90
