id,Y_2011,y_2013
2,96.03,94.79
3,427.29,427.00
4,64.68,65.45
5,36.66,43.16
6,103.33,100.93
7,142.67,144.54
8,86.91,85.69
9,16.81,17.10
10,123.40,120.91
11,130.53,142.13
12,53.83,66.10
13,155.80,154.73
14,91.96,88.23
15,94.78,93.01
16,165.00,174.00
17,90.93,88.38
18,135.43,136.96
19,163.27,159.30
20,87.85,93.23
21,249.81,260.81
22,86.02,87.74
23,47.33,46.16
24,40.69,38.75
25,118.81,116.17
26,79.98,76.19
27,53.99,54.36
28,56.23,60.59
29,64.48,70.02
30,133.42,133.79
31,73.78,72.09
32,36.76,37.47
33,67.62,68.14
34,58.92,59.27
35,112.93,125.78
36,94.08,92.27
37,56.20,57.02
38,399.48,396.85
39,77.33,74.88
40,68.20,67.42
41,50.59,48.91
42,84.18,82.96
43,61.86,61.29
44,41.89,42.59
45,53.48,77.82
46,55.79,54.09
47,54.75,53.86
48,76.39,73.87
49,75.92,74.49
50,61.81,59.58
51,73.76,80.67
52,141.98,141.52
53,86.18,89.01
54,99.20,100.20
55,105.75,106.18
56,83.50,82.80
57,85.59,91.35
58,49.86,49.97
59,66.13,65.22
60,72.64,72.48
61,38.53,39.06
62,126.39,124.13
64,49.03,105.29
65,53.63,56.03
66,151.45,151.43
67,22.13,22.12
68,286.59,289.46
69,71.16,71.47
70,73.20,71.47
71,69.97,83.40
72,191.92,190.24
73,260.93,260.58
74,65.76,66.13
75,58.07,60.08
76,66.23,93.06
77,109.91,127.17
78,164.25,182.02
79,26.21,26.22
80,39.23,39.14
81,38.36,39.06
82,59.04,63.96
83,62.26,61.55
84,30.36,36.57
85,46.72,44.85
86,38.61,37.69
87,41.57,40.50
88,60.25,58.03
89,36.97,35.24
90,51.03,50.09
91,46.41,44.43
92,83.04,94.11
93,124.34,127.71
94,128.60,127.20
95,133.81,133.06
96,147.31,149.17
97,83.21,85.81
98,66.10,70.86
99,73.54,71.43
100,148.30,147.19
101,32.99,32.56
102,30.99,30.14
103,28.69,31.61
105,14.97,33.68
106,74.64,78.60
107,47.79,48.46
108,69.74,68.68
109,110.29,113.81
110,79.73,78.30
111,80.11,89.62
112,43.88,46.50
113,122.83,116.82
114,102.81,102.65
115,100.35,153.28
116,537.44,566.43
117,84.64,82.69
118,43.09,42.04
119,96.98,95.03
120,45.37,46.63
121,67.26,68.05
122,1035.58,1127.60
123,119.35,116.16
124,251.15,249.49
125,189.82,189.23
126,10.76,11.66
127,137.36,136.31
128,55.30,53.77
129,73.64,70.88
130,109.33,118.16
131,38.80,39.08
132,31.68,31.55
133,32.29,31.83
134,22.24,21.54
135,58.35,58.46
136,44.54,49.43
137,82.96,84.04
138,119.10,128.32
139,55.04,53.66
140,115.65,111.96
141,193.87,191.96
142,167.10,165.51
143,61.13,60.57
144,47.70,47.92
145,72.41,75.34
146,78.98,76.93
147,72.88,73.97
148,82.87,88.31
149,44.32,47.08
150,44.65,42.68
151,100.37,108.20
152,22.73,22.86
153,128.48,123.09
154,94.92,98.30
155,74.09,73.76
156,72.92,74.62
157,185.16,194.77
158,264.55,261.60
159,34.87,46.51
160,125.12,122.41
161,64.58,65.31
162,60.44,58.83
163,56.69,56.64
164,162.94,160.80
165,47.92,46.24
166,38.05,37.89
167,29.11,29.00
168,49.22,47.87
169,47.20,49.91
170,84.03,100.38
171,91.73,94.16
172,122.44,136.91
173,63.84,63.21
174,211.26,216.94
175,65.64,63.45
176,94.17,89.22
177,77.34,76.50
178,366.69,366.32
179,89.69,88.17
180,57.91,67.20
181,157.26,167.22
182,36.97,45.35
183,38.60,38.11
184,36.66,35.38
185,64.09,64.10
186,98.17,98.90
187,38.54,37.50
188,49.71,47.79
189,20.08,21.99
190,101.74,100.95
191,54.44,51.76
192,144.78,156.73
193,78.99,78.90
194,114.15,113.91
195,61.88,60.13
196,70.66,69.31
197,54.83,53.40
198,48.57,48.39
199,115.41,117.85
200,38.76,39.16
201,121.70,126.43
202,66.13,64.80
203,41.55,40.54
204,78.45,86.18
205,36.64,46.95
206,32.23,30.95
207,133.48,138.52
208,103.84,108.97
209,62.78,60.39
210,65.64,65.03
211,58.02,55.40
212,196.45,196.70
213,108.38,107.57
215,53.42,52.53
216,36.57,38.73
217,69.40,67.75
218,85.09,82.58
219,201.19,207.17
220,59.60,57.86
221,63.53,62.33
222,52.34,50.76
223,53.38,49.80
224,67.33,65.93
225,25.77,33.91
226,24.52,23.91
227,57.95,54.84
228,20.97,19.95
229,73.44,80.14
230,38.38,38.05
231,96.89,96.47
232,65.76,62.81
233,106.73,115.74
234,153.33,150.73
235,88.35,85.81
236,109.66,114.24
237,80.97,86.40
238,88.31,85.25
240,94.22,77.67
241,101.01,99.44
242,31.78,30.72
243,5.18,4.97
244,50.78,48.65
245,37.55,36.85
246,89.21,88.36
247,44.53,44.47
248,45.23,45.37
249,36.87,37.05
250,39.96,38.63
251,33.19,44.64
252,28.34,26.97
253,102.42,103.41
254,241.79,242.08
255,102.43,102.95
256,131.07,138.45
257,87.40,120.05
258,86.65,83.64
259,54.05,71.76
260,345.19,341.16
261,63.62,59.75
262,145.53,143.60
263,102.83,105.20
264,52.37,53.83
265,42.89,40.67
266,87.89,84.34
267,255.90,258.72
268,46.07,43.73
269,102.74,101.78
270,41.12,46.24
271,29.18,27.64
272,157.70,159.31
