id,y_2011,y_2013
2,2.9,5.1
3,7.2,11.1
4,9.4,7.6
5,1.2,1.2
6,2.0,3.7
7,3.7,6.2
8,2.0,7.5
9,7.5,8.6
10,2.7,6.9
11,10.2,9.2
12,0.0,0.0
13,3.7,3.5
14,0.7,1.6
15,3.3,3.3
16,3.3,1.8
17,0.9,1.8
18,4.4,7.8
19,4.9,5.0
20,3.3,2.0
21,0.5,0.3
22,1.3,1.9
23,0.7,0.4
24,5.5,5.0
25,4.6,2.5
26,0.5,0.7
27,3.1,1.2
28,7.7,8.8
29,3.4,3.7
30,0.2,0.8
31,6.0,7.8
32,0.0,0.0
33,0.0,1.2
34,1.2,1.0
35,0.3,0.4
36,4.0,1.9
37,5.8,7.8
38,1.1,0.7
39,1.3,0.4
40,4.9,2.0
41,2.2,3.2
42,3.7,6.2
43,5.6,4.5
44,4.0,4.0
45,1.5,1.7
46,1.7,1.0
47,4.3,1.4
48,0.2,0.1
49,0.4,0.4
50,3.7,3.4
51,1.1,4.6
52,0.4,0.2
53,1.1,2.7
54,0.6,0.4
55,12.7,3.1
56,1.4,1.0
57,1.8,1.2
58,0.0,3.7
59,0.3,1.2
60,0.0,0.0
61,0.0,0.7
62,0.0,0.0
64,0.5,1.0
65,0.0,0.0
66,0.3,0.5
67,0.0,0.0
68,0.5,0.2
69,2.6,6.8
70,2.4,1.0
71,1.1,0.0
72,0.1,0.3
73,0.2,0.0
74,3.0,1.5
75,3.0,2.1
76,1.1,1.0
77,1.8,0.2
78,1.1,1.1
79,0.0,0.0
80,0.0,0.1
81,1.6,1.6
82,1.6,1.1
83,0.1,0.2
84,0.2,0.0
85,6.9,4.0
86,0.0,0.0
87,1.5,4.1
88,3.0,1.4
89,2.9,3.4
90,0.8,2.0
91,1.1,3.2
92,0.0,0.0
93,0.0,0.0
94,0.6,0.6
95,0.7,0.2
96,2.5,1.1
97,3.7,1.3
98,0.2,0.2
99,2.5,3.3
100,1.1,0.8
101,0.0,0.0
102,1.0,1.0
103,0.7,0.7
105,0.5,5.0
106,0.7,0.0
107,0.0,0.0
108,3.8,0.9
109,1.0,1.5
110,0.4,0.9
111,0.4,0.7
112,0.4,0.3
113,0.3,0.7
114,0.0,0.5
115,7.2,6.5
116,0.8,0.9
117,0.4,0.0
118,4.4,3.1
119,0.6,0.1
120,0.5,0.3
121,1.7,1.9
122,0.0,0.0
123,1.0,0.4
124,0.6,1.1
125,0.9,0.7
126,0.0,44.8
127,0.9,1.1
128,3.0,1.9
129,4.9,4.9
130,0.6,0.5
131,5.2,1.8
132,4.2,6.9
133,4.4,12.0
134,0.9,1.7
135,0.0,0.0
136,1.6,0.7
137,0.3,0.4
138,1.0,0.6
139,1.1,1.1
140,0.3,0.7
141,0.6,0.6
142,0.7,0.9
143,9.2,6.8
144,0.8,0.4
145,1.0,0.4
146,2.3,0.9
147,2.2,0.9
148,2.2,3.2
149,0.0,3.3
150,0.4,0.2
151,3.2,2.4
152,0.7,0.0
153,2.0,1.2
154,1.0,0.8
155,0.9,0.2
156,0.6,0.8
157,0.7,0.5
158,1.1,0.5
159,1.4,1.4
160,1.5,0.9
161,0.3,0.0
162,1.6,2.7
163,2.3,2.3
164,0.6,1.4
165,2.2,0.0
166,0.0,2.0
167,2.7,1.1
168,0.0,2.2
169,1.6,1.2
170,4.2,1.9
171,1.7,1.7
172,0.4,1.1
173,0.3,1.6
174,0.2,0.1
175,5.0,3.8
176,3.4,4.3
177,3.4,4.3
178,0.5,0.1
179,4.2,5.4
180,0.7,0.3
181,2.9,3.1
182,0.5,2.3
183,0.4,0.9
184,12.4,17.1
185,0.0,0.0
186,0.9,1.4
187,2.6,3.8
188,2.8,1.1
189,7.3,3.7
190,0.5,0.3
191,1.2,1.2
192,0.1,0.2
193,5.9,7.9
194,6.2,3.1
195,0.5,0.6
196,0.1,0.1
197,1.6,0.3
198,3.1,2.5
199,0.0,0.3
200,0.0,0.0
201,4.3,2.2
202,2.7,3.1
203,1.3,1.3
204,5.2,0.8
205,4.5,4.8
206,9.5,7.3
207,0.0,0.0
208,7.6,7.6
209,0.8,0.0
210,1.2,1.7
211,0.9,0.5
212,0.6,0.2
213,4.3,4.3
215,3.6,8.6
216,3.9,5.8
217,6.7,7.9
218,3.9,1.9
219,0.1,0.2
220,1.2,1.4
221,0.5,1.2
222,9.0,5.5
223,2.4,2.7
224,6.5,3.1
225,0.0,0.0
226,7.8,6.1
227,0.3,0.7
228,0.2,0.2
229,0.2,0.7
230,0.0,1.8
231,0.1,0.3
232,1.9,0.4
233,6.2,2.7
234,0.8,0.6
235,6.5,6.3
236,2.6,1.8
237,0.5,0.5
238,1.3,1.1
240,3.6,4.3
241,5.1,5.3
242,0.7,0.4
243,0.2,0.0
244,0.4,0.7
245,1.1,2.3
246,0.7,1.8
247,0.0,0.8
248,0.0,0.0
249,0.8,1.6
250,0.3,1.8
251,3.3,1.7
252,1.2,1.2
253,4.9,2.5
254,0.1,0.1
255,5.1,5.5
256,0.8,1.0
257,2.3,0.4
258,1.5,1.3
259,0.5,0.7
260,0.9,0.6
261,4.4,2.8
262,4.6,3.9
263,3.6,3.0
264,1.2,2.2
265,3.3,1.4
266,0.3,0.3
267,1.8,0.6
268,3.1,0.8
269,6.1,3.5
270,0.0,0.0
271,5.3,1.8
272,0.0,0.0
273,0.3,0.5
274,0.0,0.0
275,2.0,3.3
276,1.5,2.4
277,0.8,0.3
278,1.2,0.0
279,0.0,0.0
280,0.2,0.2
281,0.0,0.0
282,0.6,1.4
283,1.6,1.4
284,0.6,1.7
285,0.0,0.0
286,0.1,0.0
287,0.1,0.1
288,5.7,3.0
289,0.6,0.3
290,0.4,0.2
291,1.4,0.0
292,2.0,1.0
293,10.9,4.5
294,0.5,0.3
295,2.8,0.0
296,1.5,0.3
297,13.5,6.7
298,0.4,0.0
299,2.9,1.0
300,0.0,0.2
301,1.5,0.8
302,7.0,3.8
303,4.0,1.5
304,0.0,0.0
305,0.7,1.7
306,0.1,0.1
307,1.7,1.7
308,3.7,2.1
309,0.6,1.0
310,1.7,2.2
311,4.6,1.8
312,1.0,0.0
313,1.1,0.3
314,2.2,4.1
315,5.8,2.9
316,1.9,1.2
317,1.2,1.8
318,4.7,2.9
319,1.4,1.1
320,7.6,8.0
321,0.9,2.8
322,2.5,1.5
323,2.5,1.1
324,0.4,0.7
325,2.5,0.5
326,0.7,2.6
327,1.3,3.0
328,1.1,0.1
329,0.9,0.6
330,0.6,0.3
331,0.0,0.2
332,0.0,0.3
333,1.5,1.5
334,0.0,0.0
335,1.5,1.4
336,0.4,0.3
337,1.7,0.7
338,0.7,0.0
339,0.0,0.4
340,3.5,2.4
341,0.0,0.3
342,0.0,0.0
343,7.3,9.6
344,1.1,6.5
345,1.0,0.7
346,0.8,0.1
347,4.3,0.7
348,0.8,0.4
349,4.7,10.8
350,7.4,5.8
351,6.9,7.9
352,4.7,2.4
353,4.7,3.8
354,0.4,0.0
355,0.3,0.3
356,3.3,3.5
357,13.0,5.8
358,5.2,4.6
359,6.7,6.0
360,0.4,1.3
361,1.0,2.4
362,1.0,0.7
363,1.4,0.8
364,10.3,11.4
365,2.2,1.5
366,1.1,0.9
367,4.9,5.6
368,2.4,0.9
369,2.1,0.3
370,0.6,2.5
371,1.5,1.5
372,3.2,2.6
373,5.4,5.9
374,7.9,4.1
375,4.3,4.5
376,0.7,0.7
377,0.7,1.4
378,7.8,10.3
379,6.1,4.3
380,4.5,3.9
381,6.1,7.9
382,7.4,8.1
383,3.4,2.1
384,1.7,2.0
385,2.9,2.6
386,7.6,7.2
387,0.4,0.4
388,3.8,5.3
389,1.9,2.0
390,0.4,1.9
391,5.9,5.0
392,10.6,12.3
393,4.4,5.3
394,3.6,3.1
395,2.5,10.5
396,0.4,0.4
397,0.0,0.7
398,1.1,0.0
399,1.1,1.2
400,5.6,3.8
401,3.1,1.7
402,2.0,1.0
403,0.7,1.0
404,1.2,2.0
405,2.1,1.0
406,1.7,1.5
407,0.8,0.8
408,3.3,5.8
409,3.6,4.7
