id,y_2011,y_2012,y_2013,y_2014
0,69967700,71752100,72031500,73012900
1,111044900,110880700,120164300,124424500
2,31856800,31008700,30270100,29435500
3,34950400,34961300,34671800,34801500
4,152802500,149833100,155058400,160794500
5,64189400,63997600,63567100,63270300
6,21050600,20887800,20511000,18999500
7,37381600,37436800,36221800,36036100
8,24615800,24459000,24448100,24429900
9,35902400,35770300,35543900,33508500
10,30879400,30609700,30193200,26442500
11,38417300,38050500,37567600,34708400
12,39023100,38640900,38464300,36721100
13,151116800,148091200,147590400,150095700
14,118407800,118786500,117586200,120285300
15,49549000,49203200,49730800,51366700
16,82278900,82819500,83185400,84149400
17,70037100,69987500,69694200,69834000
18,92284700,92473700,95686500,103124100
19,63301800,63270100,63132600,63451700
20,54976700,54954900,54901900,54926600
21,167304900,168432700,168659500,170167700
22,79032300,80215800,81105900,81145700
23,54818000,54703800,53470000,71630800
24,74925900,75926300,77194000,77427100
25,52442000,62308300,71006300,83224600
26,121297500,122742400,124875600,129370900
27,142861200,143651700,141767300,143680600
28,68130400,67781900,66758200,64897600
29,87180600,84372700,85274800,86445400
30,47241800,46841200,46424200,46745400
31,42281900,42099200,40302200,40527500
32,30416700,29184400,28893800,28977800
33,61362600,61687100,60941400,60940400
34,38963500,38852700,37982900,37910300
35,48976100,49050400,49092200,49169700
36,72599600,72814900,72595300,72414500
37,35839000,35846400,35781100,35571800
38,154673100,158610000,167798600,180595600
39,390926600,390848200,398489400,396189600
40,78391600,83347100,83671300,84503000
41,153799700,160890800,191204300,202120800
42,36842800,36723200,43638100,45549300
43,32991700,32807900,32554000,32384200
44,55552700,55337000,54038800,54108300
45,33262000,33048600,31990400,31996800
46,29681500,33559000,34207200,33284700
47,75931600,75474300,74959000,75132200
48,68315100,67619900,67922300,66714000
49,91522100,91315700,92303500,91879000
50,34596300,35025200,34804000,34728800
51,107157300,111411100,115836300,115837500
52,98122900,100411700,104656900,115695100
53,53991600,53671200,55414000,58450900
54,239508100,241200500,245888600,238093700
55,94900600,94669900,95102700,95982600
56,94565200,93786600,94170100,93476700
57,68700300,68991400,70096200,77599200
58,121660500,124044400,127206000,128515500
59,86627600,85327500,84928000,85369700
60,86474200,87276400,88021700,91913900
61,78402700,80380100,81480500,85712900
62,150690500,150130500,149004600,149276500
63,108382800,108937900,107627100,109195200
64,68740900,68612200,68622300,68412400
65,32935200,33032200,36067600,35465400
66,47447100,47135700,46965600,45581000
67,50370600,50281100,50298600,50359500
68,57407300,57126600,55240000,55188800
69,52117100,51867000,51559100,51151900
70,81522500,81406900,80980800,80902700
71,54276100,53873400,53692900,53694600
72,43248500,41293900,42367900,45008500
73,42480100,42516400,42343300,42518100
74,30355200,30495200,30417800,30392800
75,14409600,14256100,14069300,14040600
76,58326900,58194400,62493600,62124200
77,35350900,35253300,35039300,35176000
78,126375200,126249100,128108200,129682300
79,126936600,127318300,128652300,129261500
80,104393600,104933200,110616500,115217100
81,62334300,63701000,67972800,72672900
82,77806900,77417600,76847400,79566200
83,76357900,76331100,76518000,76611500
84,64456800,64600900,64098800,64270900
85,75570400,75461500,75288900,75367200
86,66455500,66447000,59848900,65642400
87,120919000,120964500,124771300,124481600
88,47296500,47001300,47132300,47105600
89,26040000,26040000,28285400,28285400
90,56658300,56340600,67287500,65133100
91,92294000,92832300,92371100,92549700
92,71156200,70871600,70540200,71928300
93,57517500,57348600,56925100,56988500
94,56184200,56083700,55764800,56067300
95,126836700,126625100,125377700,125098300
96,68290200,69299200,72549600,84394700
97,35850100,35789500,34477100,34488900
98,51244800,51160500,47661400,47603500
99,51896900,51546300,51781100,50990500
100,40441400,40377500,37805900,37763300
101,51629700,51415300,50528000,50256700
102,60105300,59415900,59250300,59260400
103,71529000,71462500,71584300,71892300
104,76537000,76370000,76323800,76733200
105,40293500,40398300,40597300,40502300
106,24292000,24195500,23453200,23541600
107,28112900,28078100,29565100,29621600
108,317978300,323487300,326444000,345893300
109,34950400,34795500,34616700,34608800
110,60347600,59659100,61454600,61470200
111,230753400,228994400,227371800,231123100
112,48872000,49111200,48773300,49086500
113,89013700,88840800,88453600,89136800
114,32222700,32166200,31984500,31984500
115,51958500,51446100,51830400,51174300
116,47629200,44205000,45979300,46117800
117,71488600,71607900,74358500,74422000
118,202991800,205932700,205052200,200510300
119,45535800,45152900,44628200,44512100
120,52728800,52586600,52279200,52158500
121,61005100,60618200,60440700,60487400
122,35744900,35784700,35790000,35899100
123,75187000,75426200,70770500,74101400
124,61321800,61652800,61422000,62881100
125,47604000,47718700,47963900,48534900
126,68940100,68686700,68181800,68832100
127,55656800,56088400,55798300,56270500
128,56616900,57762900,57714900,62036600
129,92271800,92176700,89534300,88256500
130,83823900,84662900,85472300,85884200
131,81454600,83003900,83972400,85151100
132,48410500,48713000,48807800,48723400
133,75950600,86720500,110215100,111858700
134,138040600,144272100,143700100,150338000
135,53412900,53087300,59245800,58680500
136,41058800,38764000,37999500,38000500
137,42728000,41431000,41409100,41535800
138,75928200,77338700,80306800,104418300
139,160563900,167840700,178069200,180255100
140,42365300,40935300,40935300,41585300
141,44414100,44438700,43954800,44087400
142,150609600,152338700,173245600,189767900
143,64321200,64154700,63698000,65224100
144,28496900,26363100,26488200,26792600
145,103017100,103249100,103777400,104075600
146,85985800,87094700,88669000,92063300
147,67432600,68036000,72087200,72993600
148,4705000,4719500,4726500,4742500
149,207813100,216046100,217615600,228915000
150,40391600,40633700,47637800,67003000
151,110104000,110503900,112463300,114589300
152,101210600,101984300,106639800,107882600
153,130349900,130081900,130045100,131450800
154,65581600,65928900,66193800,67339100
155,118013700,118720100,120408500,123062300
156,112085300,113180300,113965300,115848300
157,143636700,144398700,144979700,145679100
158,128082800,128108500,129463500,132061100
159,173089200,173809400,180024700,183687900
160,144384700,143806200,144483600,145974600
161,43283200,43193800,42944700,42996400
162,70112500,69871000,69653400,69239600
163,48061600,47860800,47957900,48098600
164,60429800,60469300,60752200,61384900
165,100853500,100968000,100982200,100203000
166,43259300,43356400,42988700,43387900
167,521000,521000,519000,519000
168,55127000,55216600,55125400,55469200
169,36294500,35852400,35563600,35541800
170,57037200,61408100,64240100,67005400
171,52647600,52820600,61293100,71115400
172,29783000,29786400,29587800,29579800
173,96013900,96237400,97342800,99999000
174,76538400,76562300,76480400,76918500
175,66091500,74901500,115688300,126246600
176,51524300,51311100,49974800,52025900
177,145827600,145730100,146559300,147204600
178,136562800,136511800,142640300,143126200
179,55100800,57637400,56342400,56648000
180,166180100,168603700,170769500,171545000
181,140814100,142027000,142287600,145126400
182,100219600,105235900,105078800,107078000
183,127806300,128481300,128804300,129500300
184,47122500,46899400,46415400,46928700
185,115435900,115507800,115580400,116465000
186,177853500,186479900,190325800,188297000
187,44168500,44101700,43799700,43595300
188,94994900,94981400,94959200,95495900
189,34510800,34140800,33824000,33948500
190,49681000,49627800,51418000,50873700
191,57659600,58407300,58068200,57728700
192,64893600,58601700,58639200,60469200
193,78023400,77853100,78452900,77890300
194,33958900,34390000,36614600,35184000
195,42604000,42757900,42932500,44636500
196,96943700,98039300,99053000,106096200
197,88456600,88854900,89312900,90244300
198,52375600,52787800,52897500,53749100
199,23723600,23661500,23544300,27651600
200,46837500,46596200,46344400,44260000
201,50760100,50736500,50640500,50303100
202,48200800,48053300,51680200,54914900
203,27099200,26419100,28316600,27739800
204,71146600,71355300,72630000,76563100
205,75342200,74968900,75373000,79759700
206,177796800,177537300,175798200,178563800
207,62422900,62499400,62985600,63562300
208,232176100,233303100,234015100,234877900
209,107832700,107310000,125462100,127220000
210,44258200,41665300,41668800,42672300
211,43725200,45524300,46732700,49763800
212,129947500,129525200,127787800,126872800
213,46865400,46939400,46560400,48133100
214,62645200,62538800,62596900,62959300
215,47521900,47990200,47660100,48945800
216,74429800,74194600,74338300,75823900
217,103308200,103557900,104610200,106745400
218,65227700,65665100,66845400,74315300
219,58047800,58430100,59051600,59722500
220,72291200,72480800,72853900,73234100
221,98158800,95680100,95474800,93422700
222,68358100,68152600,62811300,64446500
223,76323300,76490700,71711500,69521200
224,97885800,97484800,94701400,92936600
225,49956100,49785400,49563900,49455500
226,47469400,47222100,45626000,45322900
227,132842600,133504200,133759300,133034500
228,64559200,64911600,64490600,64726600
229,32246300,31638200,27806300,28006400
230,86527800,86445400,86342900,86301700
231,81897600,81975500,81701500,81858600
232,88663300,88582000,88585800,89533600
233,55358500,55191200,55413200,55691100
234,58040600,58198200,58362300,58452300
235,103660600,102909800,103717300,102715500
236,60704400,60828000,60539000,60296600
237,98128700,98234400,98003600,98590200
238,62119600,62014400,61898800,62306000
239,42330200,42565700,42687500,42607000
240,66596500,66437100,66166400,66194300
241,63467400,63434300,63206000,63567500
242,61692400,61727100,61734600,61958800
243,60075200,60087600,59958800,60175300
244,46545100,46355200,46146900,46119400
245,58309100,58175900,58362000,58435400
246,71212300,72036900,72322600,72881800
247,72337600,72531800,72401400,72579400
248,63281700,63072400,62969400,63008500
249,111520600,111628700,110268500,114496100
250,102235800,103245100,105873100,112893500
251,47024300,46976900,46773900,46945900
252,46619500,45920200,45258800,44117300
253,49234300,49189300,49068700,49295600
254,60854000,60635900,56778000,56855200
255,21650400,21472600,20100800,19256100
256,43140500,40831700,41457500,39419300
257,27946300,25621200,25136200,25108700
258,114387000,115225800,113343500,117133900
259,81860300,83689200,82340800,84178300
260,43307900,43083100,44638900,45247200
261,57668500,58037100,58125400,58373700
262,52694300,52466000,51336200,51123400
263,61266700,57910900,57074900,58763100
264,34590800,37578300,43143600,51225800
265,38722500,38962600,39184600,41102700
266,89607000,89343100,88212200,88922400
267,68566300,68468700,68287300,67854800
268,91350100,96156700,102392100,105292400
269,48081400,47972000,48063600,47817500
270,82548200,82526000,83321200,85676700
271,286251800,291713400,295024800,301627300
272,72355100,72454400,72501400,72639200
273,81054600,80657600,80148400,80228000
274,99678000,100887600,104762200,111303900
275,59685300,60574900,63197200,66665300
276,183603500,187260000,191693700,217324700
277,86740100,87512400,95497100,97949300
278,34454000,34424400,34616900,35005400
279,140378400,140316900,140659400,133772300
280,56002900,58685000,60058200,62139800
281,88902300,89045500,87365700,90899600
282,53094400,53369600,52004900,53206400
283,122990700,122393400,122107700,123011400
284,85229300,85408600,86143900,86614000
285,120213000,120892000,120109700,119338700
286,76909400,78431600,79099000,80143000
287,78583000,75777400,75723700,75929600
288,47554800,47491300,47962500,46990400
289,34966000,34872600,34543300,34456900
290,63063600,75436800,87795800,104214500
291,47724300,51018200,54971900,60408500
292,40372600,39572100,38376500,38530500
