id,y_2011,y_2012,y_2013,y_2014
0,207054200,208709900,214144800,342377300
1,182169800,182240100,191474500,197612300
2,35054100,34104000,33446000,32683400
3,39925400,39781300,43817900,52592400
4,177592900,174805500,193213300,212106600
5,72333400,72243600,72040100,71815300
6,23608900,23412100,23279300,21731800
7,43166700,43217900,53882600,66110200
8,28797200,28721400,28854800,28814900
9,40192400,40094300,39935900,38643300
10,36576100,36592400,36517900,32387400
11,44536200,44308900,50578000,56152100
12,46033100,45854900,45844300,44837100
13,343070900,343045800,345320800,354539000
14,284869300,284030500,283372500,286605100
15,116359000,115973200,116441700,117679200
16,94523800,95185400,104378500,132223100
17,70581100,70599500,70558200,70698000
18,94290700,94887700,98566500,106688100
19,65050300,65188600,65296400,65579500
20,57390700,57368900,57529900,57698600
21,310927000,312244800,313292500,319188500
22,80741700,81993200,83019300,83095100
23,117779900,117699700,96366300,112871500
24,75795900,76966300,78530000,78727100
25,65204900,75207200,83269900,94220500
26,133346900,134894500,137475700,142007000
27,329601400,330745900,328249200,330327300
28,75501600,75391100,75006400,73037800
29,95882800,93176900,100105200,109752300
30,52416800,52220200,51769200,52054400
31,47534900,47454200,45802600,45883900
32,33866700,32778500,32679900,32619900
33,68938900,69223400,70313200,121777900
34,55814100,55945300,49056800,54596500
35,52071200,52145500,52217100,68999200
36,75393400,75702700,75939900,75723100
37,37042000,37083400,37120100,36874800
38,198168000,202104900,212277500,222481500
39,397647200,397636800,405454000,403082200
40,79591000,84614500,85622500,86490200
41,163048000,170142600,198791700,209780200
42,39354800,39167200,46678100,48409300
43,33961700,33947900,33826000,33764200
44,58640700,58629000,57759000,57756500
45,34008000,33794600,32924900,32895300
46,31050500,34962000,35835000,34912500
47,78914100,78592800,84746500,84811700
48,70360100,69766900,70666200,69753900
49,92872100,92991700,94159900,93771400
50,35140300,35603200,35452000,35412800
51,108139300,112393100,116870300,116871500
52,103983000,106713800,111627000,123061200
53,54807600,54453200,56314000,59350900
54,273786300,273938600,277515700,270373800
55,99843200,119022500,119520300,120148200
56,96531700,95753100,98306500,97541100
57,71136300,71495400,72938200,80355200
58,126161500,128681400,132039000,133169900
59,90023400,88961300,88825800,89375500
60,88378200,89282400,90181700,93965900
61,80832600,82946000,84892000,88340900
62,179838100,179652100,179052200,179468100
63,219727400,220224500,219293600,220287000
64,69794900,69836200,70098300,70104400
65,35473400,35536400,39381400,38923200
66,49429100,49389700,49302600,47954000
67,52138600,52355100,52602600,52879500
68,59558600,59447900,57647300,57632100
69,53480000,53331900,53172000,52908800
70,93434100,93404500,93096400,92811000
71,56143600,55978900,55954400,68152600
72,44468000,42683400,43804800,46589400
73,46122100,46056400,46011300,46078100
74,32035200,32175200,32172800,32219800
75,15202600,15015100,14974300,14909600
76,60823900,60827400,68103800,67842400
77,63868900,63907300,46535300,46744000
78,128925200,128935100,130952200,132490300
79,130982600,131398300,132792300,133545500
