id,y_2011,y_2013
2,1,1
3,23,6
4,1,1
5,0,0
6,1,0
7,3,2
8,1,2
9,2,1
10,0,1
11,2,0
12,2,0
13,3,9
14,1,0
15,1,0
16,1,1
17,1,0
18,1,2
19,4,3
20,0,0
21,4,1
22,0,0
23,0,0
24,0,0
25,1,0
26,0,0
27,0,0
28,1,3
29,0,0
30,1,2
31,0,0
32,1,1
33,3,0
34,3,0
35,2,2
36,2,1
37,0,0
38,4,0
39,0,1
40,0,0
41,1,0
42,0,0
43,0,1
44,1,2
45,0,1
46,0,0
47,0,0
48,0,1
49,0,0
50,2,1
51,1,0
52,0,1
53,0,0
54,4,1
55,0,1
56,2,2
57,0,0
58,1,0
59,0,1
60,0,0
61,1,0
62,0,0
64,0,0
65,0,3
66,3,4
67,0,0
68,1,0
69,0,1
70,0,0
71,1,0
72,6,2
73,2,3
74,0,2
75,0,0
76,2,0
77,1,1
78,3,0
79,0,0
80,0,0
81,0,0
82,0,1
83,2,0
84,1,1
85,3,0
86,1,0
87,7,1
88,0,1
89,0,0
90,0,1
91,0,2
92,1,3
93,3,1
94,1,1
95,0,1
96,0,2
97,3,0
98,0,0
99,0,1
100,1,1
101,0,0
102,0,0
103,0,0
105,0,0
106,0,1
107,0,0
108,0,2
109,2,2
110,3,0
111,1,0
112,0,0
113,0,1
114,2,0
115,2,3
116,6,7
117,0,0
118,1,1
119,2,0
120,0,0
121,0,0
122,5,5
123,1,0
124,4,2
125,0,2
126,0,0
127,0,0
128,0,0
129,0,0
130,0,5
131,0,0
132,0,0
133,0,1
134,0,0
135,0,0
136,0,1
137,0,0
138,1,0
139,0,3
140,0,2
141,0,1
142,2,2
143,1,1
144,0,0
145,0,3
146,1,0
147,1,1
148,0,0
149,0,1
150,0,1
151,1,3
152,0,0
153,1,0
154,2,0
155,0,0
156,0,0
157,0,1
158,0,0
159,2,2
160,0,1
161,1,0
162,1,0
163,4,2
164,3,5
165,0,0
166,0,0
167,0,0
168,0,1
169,2,11
170,1,1
171,4,0
172,3,0
173,0,0
174,2,1
175,0,2
176,0,0
177,0,0
178,7,1
179,0,3
180,1,0
181,1,1
182,1,0
183,0,1
184,0,0
185,0,1
186,3,2
187,0,3
188,0,0
189,0,0
190,0,0
191,1,0
192,0,2
193,1,0
194,0,1
195,0,0
196,1,0
197,1,1
198,0,1
199,2,0
200,3,1
201,1,0
202,1,1
203,0,0
204,3,1
205,0,0
206,0,0
207,9,2
208,2,1
209,0,3
210,3,0
211,0,1
212,1,1
213,6,2
215,0,1
216,0,0
217,2,0
218,0,0
219,5,2
220,1,0
221,1,1
222,0,0
223,1,0
224,0,0
225,0,3
226,0,1
227,1,2
228,0,0
229,1,0
230,1,0
231,1,0
232,1,0
233,1,6
234,2,1
235,0,1
236,14,1
237,1,5
238,1,0
240,1,1
241,1,0
242,0,0
243,0,0
244,0,1
245,0,0
246,0,2
247,0,0
248,0,0
249,3,1
250,0,0
251,0,0
252,0,0
253,6,5
254,4,1
255,1,0
256,4,3
257,4,7
258,2,0
259,0,0
260,4,0
261,0,1
262,0,0
263,1,0
264,1,0
265,1,0
266,0,0
267,44,4
268,0,0
269,0,1
270,1,0
271,0,0
272,0,0
273,0,0
274,0,0
275,0,0
276,0,0
277,0,0
278,0,0
279,0,0
280,6,2
281,1,0
282,0,0
283,0,0
284,0,3
285,3,1
286,1,0
287,8,4
288,1,0
289,1,1
290,3,0
291,0,0
292,2,0
293,0,0
294,0,1
295,0,1
296,2,0
297,0,0
298,3,1
299,0,0
300,29,9
301,0,0
302,0,0
303,1,0
304,0,0
305,0,1
306,1,4
307,0,0
308,0,2
309,1,0
310,0,0
311,1,0
312,1,0
313,0,0
314,0,0
315,1,0
316,0,4
317,0,0
318,1,0
319,2,1
320,0,1
321,0,0
322,0,0
323,1,1
324,0,1
325,0,0
326,0,0
327,0,0
328,0,0
329,0,0
330,2,0
331,5,14
332,3,1
333,0,0
334,2,0
335,1,1
336,2,2
337,0,1
338,1,0
339,2,3
340,5,5
341,39,2
342,17,5
343,2,0
344,1,1
345,0,0
346,0,1
347,1,1
348,3,5
349,1,0
350,2,1
351,0,0
352,0,0
353,2,0
354,0,0
355,2,3
356,3,3
357,0,1
358,11,10
359,0,0
360,0,0
361,1,1
362,0,0
363,4,0
364,1,2
365,0,1
366,2,1
367,7,8
368,2,3
369,0,0
370,7,2
371,0,4
372,1,1
373,3,2
374,1,0
375,2,3
376,0,0
377,0,0
378,0,4
379,0,0
380,1,1
381,1,3
382,1,1
383,0,0
384,5,8
385,4,4
386,0,1
387,5,4
388,3,0
389,10,1
390,0,0
391,0,1
392,6,3
393,5,5
394,0,0
395,0,0
396,2,1
397,0,0
398,0,0
399,2,2
400,0,0
401,0,1
402,0,1
403,0,2
404,0,0
405,1,0
406,2,1
407,2,1
408,0,0
409,0,3
410,0,0
411,1,1
412,4,0
413,0,0
416,2,0
417,0,1
418,1,2
419,0,0
420,0,1
421,0,0
422,6,4
423,1,1
424,3,2
425,0,0
426,0,4
428,1,0
430,0,0
431,0,0
432,0,0
433,0,0
434,3,5
435,0,0
436,1,1
437,2,2
438,3,1
442,1,0
443,0,1
444,1,1
445,0,0
446,0,0
447,2,0
448,1,5
449,1,2
450,0,2
451,1,5
452,0,4
453,2,2
454,1,0
455,0,0
456,0,1
457,0,0
458,3,3
459,1,0
460,3,1
462,0,2
463,0,0
464,0,0
465,1,0
466,0,2
467,3,0
468,0,0
469,0,1
470,4,1
471,1,0
472,0,0
473,9,10
474,0,5
475,1,2
