id,y_2013
2,9043000
3,186949500
4,31279500
5,226000
6,611000
7,51324000
8,17419000
9,5403000
10,4623500
11,65548500
12,1042000
13,13164500
14,6185500
15,18379500
16,5916000
17,573500
18,59291500
19,29799500
20,20828000
21,4173000
22,1238500
23,1820500
24,5824000
25,28372000
26,9171500
27,4825500
28,39467000
29,10506500
30,
31,28828000
32,1380500
33,1652500
34,3137000
35,30308500
36,18849000
37,2871500
38,13539500
39,4078500
40,895000
41,4683000
42,17533500
43,14426500
44,15987500
45,40108500
46,2761000
47,
48,972000
49,3994500
50,860500
51,9338500
52,898500
53,1150500
54,552000
55,15489500
56,3295000
57,279000
58,1339000
59,1763500
60,2116000
61,1082500
62,
64,3247000
65,
66,1784000
67,
68,6101500
69,20271000
70,274000
71,2819000
72,4844000
73,8232500
74,5899500
75,41261000
76,55830500
77,28839000
78,15958000
79,
80,1390000
81,4867500
82,5745500
83,2131000
84,744000
85,603000
86,486500
87,2505000
88,322000
89,1831000
90,1650500
91,1611500
92,4698500
93,
94,
95,1948500
96,9866500
97,11606500
98,4197500
99,6660000
100,458000
101,
102,563000
103,354500
105,40990000
106,
107,1740500
108,3714000
109,28910000
110,7619000
111,24678000
112,5913500
113,12403500
114,
115,142002500
116,29148000
117,10524500
118,13562500
119,1087000
120,468500
121,580000
122,
123,522500
124,560500
125,5361000
126,14162000
127,458000
128,665000
129,23607500
130,14439500
131,10505000
132,3309000
133,16039500
134,
135,
136,15366000
137,2296500
138,
139,896500
140,1550000
141,297500
142,813500
143,23824000
144,1013500
145,2131500
146,4706500
147,3954500
148,24964000
149,22046000
150,982500
151,40746000
152,1950500
153,15437000
154,13463000
155,6221500
156,15446500
157,
158,5608500
159,2162500
160,679500
161,2104000
162,1518500
163,9966500
164,1981500
165,448000
166,1338500
167,
168,1106000
169,26134500
170,25519000
171,5655000
172,38702500
173,2818500
174,2909500
175,11419500
176,29265000
177,24416500
178,868000
179,21398500
180,2660000
181,59379000
182,
183,564000
184,27969000
185,
186,2481000
187,18061500
188,13696500
189,6825500
190,406500
191,6979500
192,15256000
193,22817500
194,41505500
195,11622500
196,2559500
197,679000
198,13179500
199,
200,1266500
201,47406000
202,1136500
203,13658500
204,17927500
205,15732000
206,17132500
207,
208,57501000
209,16606000
210,14112000
211,3033000
212,621500
213,16043000
215,15444000
216,16223000
217,22784000
218,7326500
219,7318000
220,1770000
221,1675500
222,15267500
223,1016000
224,9587500
225,1505000
226,5093500
227,3232000
228,1326000
229,23681000
230,
231,10097500
232,9767000
233,12496500
234,3579500
235,19094500
236,38396500
237,4945500
238,643500
240,3295000
241,44929500
242,1386500
243,
244,2336500
245,589500
246,2304000
247,
248,
249,
250,3457500
251,14793500
252,4417500
253,15502000
254,
255,26436500
256,56543000
257,52053000
258,1383000
259,2224500
260,1436000
261,5237500
262,44522500
263,33229000
264,11676500
265,5446000
266,8694000
267,38085010
268,2175500
269,26187500
270,
271,470500
272,
273,7053000
274,
275,6160500
276,7309000
277,23152000
278,1183500
279,1475500
280,1080500
281,2410000
282,4183500
283,6915500
284,14482500
285,
286,
287,734000
288,13031000
289,11857000
290,
291,
292,329000
293,
294,
295,
296,11570500
297,5890000
298,353000
299,10591500
300,3156000
301,8802000
302,17635000
303,3374000
304,
305,1763500
306,
307,2603500
308,25729000
309,17956000
310,18158000
311,995000
312,322000
313,3630000
314,4941500
315,8447500
316,1475000
317,547000
318,8838000
319,4138000
320,17162500
321,
322,1110500
323,1656500
324,6494500
325,3764000
326,
327,665000
328,822000
329,1088000
330,2822000
331,784000
332,12099000
333,3245000
334,
335,40649000
336,23352000
337,10907000
338,
339,4159500
340,76585000
341,6327500
342,12097000
343,15074500
344,15989500
345,1548500
346,648000
347,
348,6048500
349,14040000
350,14080000
351,19856000
352,15987500
353,37268500
354,2602000
355,7458500
356,80747500
357,23145000
358,36693000
359,52981000
360,14670500
361,382500
362,862000
363,607500
364,117511000
365,1985500
366,2330000
367,53577000
368,7249500
369,
370,362500
371,1072500
372,70688000
373,35168000
374,2524000
375,51198500
376,14144000
377,17621500
378,83477500
379,64330500
380,66528000
381,24629500
382,2593000
383,10475500
384,28938500
385,1853000
386,6406500
387,595500
388,6908000
389,6943500
390,5363500
391,22288500
392,354279000
393,49021000
394,14881000
395,10036000
396,10888500
397,3981500
398,15850500
399,22528500
400,22178000
401,7936000
402,4204500
403,17916000
404,6357500
405,25788500
406,19043000
407,4859000
408,17757500
409,99015500
410,23390000
411,11767500
412,5292500
413,39113000
416,2478000
417,9731000
418,36993500
419,23052000
420,28990000
421,29042000
422,5776500
423,8568500
424,32644500
425,6025500
426,5241000
428,9504500
430,24648500
431,4932500
432,14219000
433,7250500
434,60431000
435,4109000
436,2991500
437,59214500
438,73483000
442,4124500
443,10205500
444,8298500
445,17424500
446,14219500
447,21497000
448,31362500
449,90474000
450,39416000
451,84091500
452,13212000
453,4421500
454,7773500
455,11401000
456,4223500
457,5752000
458,6933500
459,7954000
460,11262500
462,27640500
463,3156500
464,45253500
465,3967000
466,12681500
467,16583500
468,
469,27161000
470,36176000
471,11876000
472,19641000
473,16519500
474,24992000
475,24175000
