id,y_2011,y_2013,y_2015
2,4.1123,4.1123,4.1123
3,11.5588,11.5588,11.5588
4,3.2925,3.2925,3.2925
5,1.6714,1.6714,1.6714
6,4.0323,4.0323,4.0323
7,5.4791,5.4791,5.4791
8,5.9654,5.9654,5.9654
9,0.9356,0.9356,0.9356
10,5.5126,5.5126,5.5126
11,5.1010,5.1010,5.1010
12,1.5884,1.5884,1.5884
13,4.5742,4.5742,4.5742
14,4.3616,4.3616,4.3616
15,6.9027,6.9027,6.9027
16,7.2532,7.2532,7.2532
17,4.5356,4.5356,4.5356
18,6.1518,6.1518,6.1518
19,8.3804,8.3804,8.3804
20,3.9922,3.9922,3.9922
21,9.1234,9.1234,9.1234
22,3.1426,3.1426,3.1426
23,2.8117,2.8117,2.8117
24,1.8025,1.8025,1.8025
25,6.5302,6.5302,6.5302
26,11.2816,11.2816,11.2816
27,3.2083,3.2083,3.2083
28,1.9404,1.9404,1.9404
29,4.0831,4.0831,4.0831
30,4.7684,4.7684,4.7684
31,3.8471,3.8471,3.8471
32,0.8683,0.8683,0.8683
33,2.5909,2.5909,2.5909
34,9.2805,9.2805,9.2805
35,22.7934,22.7934,22.7934
36,5.9365,5.9365,5.9365
37,2.4322,2.4322,2.4322
38,18.8714,18.8714,18.8714
39,6.6882,6.6882,6.6882
40,3.4788,3.4788,3.4788
41,3.1315,3.1315,3.1315
42,3.5228,3.5228,3.5228
43,3.5810,3.5810,3.5810
44,2.2315,2.2315,2.2315
45,9.5228,9.5228,9.5228
46,2.8653,2.8653,2.8653
47,1.3946,1.3946,1.3946
48,18.9634,18.9634,18.9634
49,12.0398,12.0398,12.0398
50,2.6769,2.6769,2.6769
51,2.8190,2.8190,2.8190
52,5.0148,5.0148,5.0148
53,4.3689,4.3689,4.3689
54,8.3349,8.3349,8.3349
55,5.5261,5.5261,5.5261
56,2.9345,2.9345,2.9345
57,1.6768,1.6768,1.6768
58,2.1851,2.1851,2.1851
59,3.4454,3.4454,3.4454
60,8.0108,8.0108,8.0108
61,3.0121,3.0121,3.0121
62,2.9105,2.9105,2.9105
64,3.8151,3.8151,3.8151
65,3.6080,3.6080,3.6080
66,3.6549,3.6549,3.6549
67,0.9898,0.9898,0.9898
68,12.6891,12.6891,12.6891
69,3.7959,3.7959,3.7959
70,2.9574,2.9574,2.9574
71,3.5515,3.5515,3.5515
72,11.6261,11.6261,11.6261
73,40.7869,40.7869,40.7869
74,2.0011,2.0011,2.0011
75,3.3857,3.3857,3.3857
76,12.9555,12.9555,12.9555
77,10.2619,10.2619,10.2619
78,6.3035,6.3035,6.3035
79,0.7314,0.7314,0.7314
80,6.8903,6.8903,6.8903
81,1.9324,1.9324,1.9324
82,3.8041,3.8041,3.8041
83,23.9896,23.9896,23.9896
84,24.8523,24.8523,24.8523
85,2.7557,2.7557,2.7557
86,0.9907,0.9907,0.9907
87,1.9584,1.9584,1.9584
88,4.2960,4.2960,4.2960
89,2.3768,2.3768,2.3768
90,2.4984,2.4984,2.4984
91,2.8257,2.8257,2.8257
92,2.7002,2.7002,2.7002
93,5.8573,5.8573,5.8573
94,6.5611,6.5611,6.5611
95,4.4358,4.4358,4.4358
96,7.2337,7.2337,7.2337
97,5.4430,5.4430,5.4430
98,16.0224,16.0224,16.0224
99,3.9687,3.9687,3.9687
100,7.1856,7.1856,7.1856
101,1.2646,1.2646,1.2646
102,1.9703,1.9703,1.9703
103,1.3576,1.3576,1.3576
105,2.2156,2.2156,2.2156
106,1.5185,1.5185,1.5185
107,1.6011,1.6011,1.6011
108,5.7201,5.7201,5.7201
