id,y_2013
2,504
3,1966
4,371
5,189
6,643
7,424
8,450
9,268
10,1412
11,763
12,
13,596
14,868
15,791
16,1167
17,856
18,740
19,1318
20,673
21,328
22,175
23,252
24,348
25,882
26,
27,662
28,288
29,377
30,105
31,576
32,100
33,41
34,637
35,
36,856
37,603
38,796
39,925
40,712
41,363
42,442
43,372
44,144
45,898
46,403
47,19
48,25
49,365
50,475
51,466
52,185
53,520
54,544
55,767
56,170
57,88
58,255
59,402
60,195
61,268
62,
64,255
65,
66,36
67,
68,423
69,243
70,472
71,223
72,235
73,714
74,285
75,260
76,378
77,599
78,435
79,
80,21
81,267
82,363
83,
84,
85,572
86,78
87,301
88,444
89,545
90,336
91,677
92,
93,
94,340
95,348
96,663
97,890
98,762
99,625
100,651
101,89
102,311
103,218
105,147
106,34
107,23
108,300
109,433
110,249
111,585
112,88
113,1214
114,187
115,1248
116,234
117,1043
118,282
119,447
120,257
121,586
122,
123,687
124,640
125,883
126,37
127,327
128,538
129,751
130,
131,694
132,266
133,238
134,178
135,
136,591
137,517
138,238
139,485
140,938
141,270
142,417
143,483
144,305
145,157
146,582
147,557
148,612
149,52
150,527
151,928
152,278
153,1191
154,725
155,739
156,893
157,276
158,823
159,273
160,850
161,86
162,688
163,204
164,549
165,253
166,106
167,97
168,441
169,413
170,428
171,177
172,576
173,333
174,388
175,665
176,928
177,640
178,153
179,629
180,469
181,749
182,215
183,172
184,667
185,
186,798
187,295
188,307
189,54
190,380
191,740
192,414
193,339
194,523
195,444
196,459
197,446
198,335
199,323
200,
201,672
202,446
203,511
204,320
205,294
206,283
207,10
208,682
209,947
210,126
211,845
212,250
213,411
215,319
216,217
217,479
218,804
219,205
220,366
221,348
222,612
223,624
224,447
225,
226,223
227,813
228,
229,962
230,223
231,633
232,952
233,527
234,1318
235,714
236,382
237,868
238,851
240,561
241,662
242,481
243,39
244,661
245,216
246,260
247,19
248,46
249,53
250,317
251,620
252,327
253,505
254,48
255,789
256,
257,523
258,979
259,578
260,1030
261,848
262,1125
263,831
264,447
265,534
266,638
267,1227
268,606
269,715
270,
271,441
272,
273,352
274,
275,437
276,647
277,484
278,152
279,
280,516
281,24
282,487
283,806
284,235
285,
286,
287,
288,151
289,1249
290,215
291,156
292,234
293,303
294,148
295,250
296,347
297,144
298,22
299,696
300,
301,743
302,684
303,145
304,
305,232
306,49
307,774
308,467
309,428
310,674
311,517
312,257
313,445
314,437
315,263
316,504
317,196
318,649
319,946
320,416
321,402
322,419
323,821
324,491
325,728
326,234
327,329
328,363
329,601
330,685
331,165
332,533
333,982
334,
335,854
336,709
337,516
338,91
339,28
340,182
341,95
342,
343,635
344,338
345,362
346,686
347,201
348,1234
349,266
350,396
351,355
352,175
353,969
354,106
355,208
356,906
357,678
358,638
359,780
360,1330
361,390
362,779
363,796
364,770
365,583
366,240
367,1236
368,914
369,408
370,486
371,1907
372,3510
373,929
374,936
375,852
376,1337
377,1538
378,1900
379,1278
380,1810
381,1050
382,727
383,1057
384,210
385,1365
386,675
387,869
388,662
389,1933
390,400
391,961
392,2756
393,1798
394,670
395,
396,
397,
398,
399,
400,53
401,
402,
403,
404,
405,
406,
407,
408,
409,
410,
411,
412,
413,
416,
417,
418,
419,
420,
421,
422,
423,
424,
425,
426,
428,
430,
431,
432,
433,
434,
435,
436,
437,
438,
442,
443,
444,
445,
446,
447,
448,
449,
450,
451,
452,
453,
454,
455,
456,
457,
458,
459,
460,
462,
463,
464,
465,
466,
467,
468,
469,
470,
471,
472,
473,
474,
475,
