id,y_2011,y_2013
2,2.039,2.167
3,6.563,7.81
4,1.002,1.065
5,0.603,0.763
6,1.638,1.775
7,1.193,1.293
8,1.761,1.515
9,0.538,0.583
10,3.355,3.561
11,2.357,2.563
12,2.496,2.636
13,3.348,3.551
14,3.669,3.741
15,2.01,2.064
16,4.587,4.647
17,3.047,3.362
18,2.968,3.234
19,3.48,3.596
20,2.975,3.145
21,2.622,2.89
22,0.736,0.897
23,1.1,1.081
24,1.129,1.201
25,2.829,2.958
26,2.98,3.088
27,2.656,2.719
28,0.946,1.176
29,1.172,1.24
30,1.204,1.235
31,1.599,1.65
32,0.317,0.337
33,1.259,1.32
34,1.787,2.098
35,1.657,1.673
36,2.268,2.408
37,1.696,1.788
38,2.319,2.397
39,2.494,2.716
40,2.868,3.128
41,1.442,1.569
42,2.331,2.494
43,1.41,1.514
44,0.819,0.876
45,2.617,3.092
46,2.238,2.476
47,1.002,1.17
48,1.761,1.815
49,2.405,2.573
50,2.823,3.016
51,1.211,1.368
52,2.017,2.365
53,2.727,2.98
54,1.587,1.764
55,1.937,2.001
56,0.694,0.765
57,1.071,1.597
58,1.324,1.521
59,2.388,2.383
60,3.334,3.225
61,1.156,1.199
62,2.808,5.127
64,3.827,4.335
65,1.638,1.777
66,2.587,2.557
67,0.551,0.565
68,2.667,2.479
69,1.181,1.454
70,1.249,1.258
71,3.265,4.121
72,1.278,1.305
73,2.854,2.78
74,1.089,1.117
75,1.639,1.787
76,1.935,2.465
77,4.224,5.533
78,1.679,1.958
79,1.546,2.282
80,2.05,2.214
81,1.128,1.176
82,1.768,2.526
83,1.495,0.85
84,0.628,0.728
85,1.791,1.965
86,2.297,2.896
87,1.554,1.668
88,1.182,1.279
89,1.456,1.502
90,1.776,1.969
91,2.25,2.369
92,1.495,1.894
93,1.236,1.353
94,1.035,1.089
95,1.597,1.673
96,3.232,3.41
97,3.551,3.782
98,2.394,2.648
99,1.468,1.538
100,1.813,1.668
101,1.819,2.284
102,1.337,1.443
103,1.346,1.514
105,0.847,1.031
106,1.256,1.579
107,1.985,2.228
108,1.319,1.431
109,2.147,2.304
110,1.671,1.86
111,2.274,2.888
112,1.28,1.391
