id,y_2010,y_2012
2,21.0,27.0
3,15.8,16.8
4,9.6,11.6
5,60.7,51.7
6,54.2,39.2
7,7.4,5.4
8,13.0,12.0
9,37.2,43.2
10,39.5,50.5
11,13.8,10.8
12,,
13,22.1,20.1
14,13.5,13.5
15,10.2,7.2
16,21.8,20.8
17,21.4,26.4
18,12.1,13.1
19,7.9,9.9
20,8.7,9.7
21,32.5,22.5
22,46.1,60.1
23,25.1,29.1
24,17.9,21.9
25,6.4,4.4
26,7.3,5.3
27,12.3,10.3
28,13.7,10.7
29,7.2,9.2
30,63.8,46.8
31,4.1,3.1
32,,
33,42.3,46.3
34,33.4,26.4
35,21.8,27.8
36,11.4,11.4
37,45.0,49.0
38,8.3,6.3
39,13.5,15.5
40,25.1,25.1
41,11.0,14.0
42,2.9,2.9
43,6.9,4.9
44,7.9,8.9
45,11.6,8.6
46,12.9,8.9
47,13.0,11.0
48,16.0,14.0
49,21.7,27.7
50,22.7,29.7
51,27.5,27.5
52,41.2,46.2
53,24.2,27.2
54,36.5,45.5
55,12.5,9.5
56,9.0,7.0
57,25.0,19.0
58,17.3,16.3
59,20.6,17.6
60,,
61,14.9,15.9
62,,
63,,
64,26.9,30.9
65,,
66,2.9,2.9
67,,
68,5.8,4.8
69,7.0,8.0
70,34.0,29.0
71,17.4,19.4
72,12.9,14.9
73,16.4,11.4
74,8.7,9.7
75,4.2,5.2
76,10.2,7.2
77,11.4,14.4
78,5.8,3.8
79,,
80,21.7,27.7
81,5.0,6.0
82,6.8,5.8
83,33.0,41.0
84,31.1,38.1
85,58.8,41.8
86,,
87,22.8,20.8
88,44.5,54.5
89,21.4,21.4
90,28.8,24.8
91,23.9,22.9
92,,
93,,
94,27.9,25.9
95,9.6,7.6
96,10.2,8.2
97,8.3,8.3
98,13.7,13.7
99,13.4,10.4
100,22.9,21.9
101,37.8,48.8
102,34.7,31.7
103,30.0,32.0
104,17.7,21.7
105,14.0,17.0
106,23.3,23.3
107,45.5,31.5
108,10.6,9.6
109,9.4,7.4
110,13.3,9.3
111,12.9,10.9
112,25.7,22.7
113,19.5,24.5
114,65.4,50.4
115,5.4,5.4
116,31.2,26.2
117,18.0,23.0
118,8.4,6.4
119,14.5,16.5
120,46.6,46.6
121,37.0,26.0
122,,
123,19.4,24.4
124,39.8,27.8
125,21.3,16.3
126,,
127,23.1,23.1
128,44.5,56.5
129,5.5,4.5
130,16.5,13.5
131,10.0,12.0
132,25.0,28.0
133,10.7,10.7
134,21.1,26.1
135,,
136,9.6,7.6
137,29.0,29.0
138,39.9,27.9
139,27.2,29.2
140,18.1,19.1
141,43.0,56.0
142,36.5,39.5
143,5.4,4.4
144,32.0,28.0
145,29.1,28.1
146,15.1,11.1
147,17.7,12.7
148,5.1,5.1
149,29.7,24.7
150,15.4,10.4
151,8.1,7.1
152,22.0,21.0
153,7.0,6.0
154,9.2,10.2
155,15.5,19.5
156,18.1,13.1
157,48.6,45.6
158,24.7,26.7
159,45.1,32.1
160,27.0,33.0
161,12.6,8.6
162,24.6,17.6
163,42.9,50.9
164,24.1,17.1
165,23.3,17.3
166,17.3,12.3
167,24.8,24.8
168,22.1,16.1
169,4.7,5.7
170,5.1,4.1
171,4.3,3.3
172,12.8,11.8
173,26.7,29.7
174,11.6,14.6
175,7.0,8.0
176,6.5,5.5
177,7.4,5.4
178,23.9,16.9
179,7.6,9.6
180,13.8,16.8
181,9.2,8.2
182,16.9,17.9
183,22.9,15.9
184,22.4,26.4
185,,
186,20.4,16.4
187,6.8,5.8
188,11.6,8.6
189,5.7,7.7
190,45.4,41.4
191,8.7,10.7
192,15.7,10.7
193,6.6,4.6
194,5.9,6.9
195,9.7,10.7
196,28.3,28.3
197,11.6,8.6
198,12.0,12.0
199,22.2,21.2
200,,
201,4.3,4.3
202,20.8,14.8
203,9.8,7.8
204,8.6,8.6
205,6.2,7.2
206,5.5,3.5
207,,
208,7.5,9.5
209,17.6,13.6
210,,
211,11.3,9.3
212,11.5,14.5
213,15.2,10.2
215,5.5,3.5
216,14.7,17.7
217,6.8,7.8
218,6.9,5.9
219,24.2,19.2
220,20.2,18.2
221,14.1,10.1
222,3.9,3.9
223,22.8,18.8
224,4.0,5.0
225,15.3,18.3
226,16.0,12.0
227,15.2,19.2
228,15.1,11.1
229,18.8,21.8
230,54.5,66.5
231,11.8,8.8
232,13.4,16.4
233,5.2,3.2
234,17.3,22.3
235,7.9,8.9
236,6.6,5.6
237,25.4,26.4
238,21.9,28.9
240,30.5,22.5
241,4.6,3.6
242,10.2,10.2
243,23.4,17.4
244,14.9,12.9
245,21.3,27.3
246,14.7,15.7
247,,
248,,
249,41.5,30.5
250,13.3,16.3
251,9.2,8.2
252,9.3,7.3
253,7.1,8.1
254,41.7,35.7
255,4.8,4.8
256,19.7,17.7
257,10.0,12.0
258,25.1,17.1
259,19.4,14.4
260,21.8,27.8
261,12.0,10.0
262,6.3,7.3
263,12.4,15.4
264,3.3,2.3
265,10.5,7.5
266,12.4,10.4
267,9.1,7.1
268,17.8,21.8
269,15.0,11.0
270,,
271,24.0,21.0
272,,
273,15.2,10.2
274,,
275,4.9,5.9
276,10.6,7.6
277,11.2,14.2
278,11.1,8.1
279,,
280,32.9,37.9
281,,
282,13.3,13.3
283,15.9,10.9
284,3.8,3.8
285,,
286,36.0,30.0
287,33.3,42.3
288,8.1,9.1
289,6.8,4.8
290,47.1,60.1
291,16.0,12.0
292,41.0,38.0
293,52.7,43.7
294,53.9,37.9
295,19.1,24.1
296,9.7,7.7
297,4.6,3.6
298,,
299,15.9,11.9
300,13.5,14.5
301,11.7,8.7
302,5.7,4.7
303,5.4,4.4
304,,
305,21.6,21.6
306,44.0,42.0
307,13.2,11.2
308,8.7,10.7
309,6.7,5.7
310,9.6,6.6
311,,
312,27.5,35.5
313,10.7,9.7
314,21.5,15.5
315,25.3,21.3
316,16.4,21.4
317,47.8,49.8
318,7.9,7.9
319,18.0,23.0
320,15.1,17.1
321,38.0,49.0
322,19.7,22.7
323,19.3,13.3
324,9.2,10.2
325,18.1,17.1
326,41.5,32.5
327,25.4,32.4
328,25.9,33.9
329,20.1,26.1
330,21.5,27.5
331,24.8,31.8
332,21.3,24.3
333,18.3,23.3
