id,y_2010,y_2012
2,3.9,2.9
3,1.0,1.0
4,0.0,0.0
5,3.3,2.3
6,9.3,11.3
7,0.0,0.0
8,8.3,10.3
9,11.1,11.1
10,4.3,5.3
11,0.0,0.0
12,4.7,5.7
13,6.4,5.4
14,1.8,1.8
15,1.7,1.7
16,6.2,8.2
17,2.2,2.2
18,0.0,0.0
19,0.0,0.0
20,0.0,0.0
21,2.2,1.2
22,11.8,13.8
23,4.4,3.4
24,4.7,5.7
25,0.6,0.6
26,1.6,1.6
27,1.3,1.3
28,0.0,0.0
29,3.9,3.9
30,3.2,3.2
31,0.0,0.0
32,0.0,0.0
33,2.8,2.8
34,3.6,4.6
35,12.8,8.8
36,4.4,5.4
37,8.2,9.2
38,4.2,4.2
39,2.0,2.0
40,2.9,3.9
41,6.7,4.7
42,1.7,1.7
43,6.1,7.1
44,0.0,0.0
45,0.0,0.0
46,4.3,5.3
47,0.0,0.0
48,3.6,2.6
49,6.5,5.5
50,5.6,7.6
51,20.0,14.0
52,3.9,2.9
53,3.2,2.2
54,4.7,5.7
55,3.5,2.5
56,2.9,2.9
57,10.0,12.0
58,4.4,3.4
59,4.6,3.6
60,7.0,7.0
61,0.0,0.0
62,,
63,,
64,5.6,5.6
65,0.0,0.0
66,0.0,0.0
67,0.0,0.0
68,0.0,0.0
69,0.0,0.0
70,2.7,2.7
71,2.9,3.9
72,0.0,0.0
73,2.6,2.6
74,3.7,3.7
75,0.9,0.9
76,1.2,1.2
77,2.0,1.0
78,1.5,1.5
79,0.0,0.0
80,0.0,0.0
81,0.0,0.0
82,1.3,1.3
83,1.5,1.5
84,0.0,0.0
85,5.8,5.8
86,4.8,3.8
87,1.9,1.9
88,12.3,12.3
89,3.5,2.5
90,4.2,3.2
91,0.7,0.7
92,4.6,3.6
93,6.3,5.3
94,2.0,2.0
95,0.0,0.0
96,1.4,1.4
97,2.1,1.1
98,1.5,1.5
99,8.5,10.5
100,5.7,4.7
101,9.5,7.5
102,6.9,6.9
103,11.9,7.9
104,0.0,0.0
105,0.0,0.0
106,0.0,0.0
107,4.0,3.0
108,2.3,2.3
109,0.0,0.0
110,2.4,2.4
111,0.0,0.0
112,2.2,3.2
113,3.1,3.1
114,11.9,14.9
115,1.6,1.6
116,3.7,3.7
117,2.9,3.9
118,1.7,1.7
119,7.0,9.0
120,5.0,4.0
121,0.8,0.8
122,,
123,5.2,4.2
124,5.1,4.1
125,2.1,2.1
126,,
127,0.0,0.0
128,3.2,3.2
129,2.0,2.0
130,0.0,0.0
131,3.1,2.1
132,0.0,0.0
133,0.0,0.0
134,2.6,1.6
135,0.0,0.0
136,1.8,1.8
137,5.3,6.3
138,0.0,0.0
139,5.2,4.2
140,5.4,6.4
141,2.4,2.4
142,0.0,0.0
143,0.0,0.0
144,5.1,6.1
145,3.0,2.0
146,2.1,2.1
147,1.9,1.9
148,0.8,0.8
149,0.0,0.0
150,3.0,2.0
151,1.3,1.3
152,2.4,3.4
153,1.2,1.2
154,0.0,0.0
155,3.8,4.8
156,1.7,1.7
157,6.4,4.4
158,5.9,6.9
159,9.3,7.3
160,3.8,2.8
161,1.8,1.8
162,0.0,0.0
163,4.2,4.2
164,2.9,2.9
165,7.3,6.3
166,0.0,0.0
167,0.0,0.0
168,3.0,3.0
169,1.1,1.1
170,1.0,1.0
171,0.0,0.0
172,0.9,0.9
173,3.4,2.4
174,3.7,4.7
175,2.3,2.3
176,1.3,1.3
177,0.0,0.0
178,0.0,0.0
179,0.0,0.0
180,6.1,7.1
181,2.7,3.7
182,9.3,12.3
183,0.0,0.0
184,0.0,0.0
185,8.2,8.2
186,2.9,3.9
187,0.0,0.0
188,1.4,1.4
189,0.0,0.0
190,2.8,3.8
191,1.6,1.6
192,3.8,2.8
193,0.0,0.0
194,0.9,0.9
195,1.3,1.3
196,0.0,0.0
197,2.8,1.8
198,5.0,4.0
199,9.3,11.3
200,5.0,6.0
201,0.0,0.0
202,11.6,12.6
203,5.6,3.6
204,1.9,0.9
205,0.0,0.0
206,0.0,0.0
207,0.0,0.0
208,0.0,0.0
209,1.0,1.0
210,0.0,0.0
211,0.0,0.0
212,6.2,5.2
213,0.0,0.0
215,0.0,0.0
216,0.0,0.0
217,0.0,0.0
218,0.8,0.8
219,3.0,3.0
220,1.1,1.1
221,1.0,1.0
222,7.7,9.7
223,1.7,1.7
224,1.0,1.0
225,6.3,5.3
226,3.5,4.5
227,2.7,2.7
228,0.0,0.0
229,9.2,12.2
230,8.3,6.3
231,0.0,0.0
232,3.3,4.3
233,1.6,1.6
234,3.4,2.4
235,1.8,1.8
236,0.0,0.0
237,4.3,5.3
238,2.2,2.2
240,4.6,5.6
241,0.0,0.0
242,2.5,3.5
243,0.0,0.0
244,2.9,2.9
245,12.0,12.0
246,7.0,9.0
247,2.9,2.9
248,9.3,9.3
249,0.0,0.0
250,1.2,1.2
251,4.6,4.6
252,0.0,0.0
253,3.9,3.9
254,0.0,0.0
255,0.0,0.0
256,0.0,0.0
257,4.2,5.2
258,3.2,3.2
259,3.5,4.5
260,2.2,2.2
261,5.1,7.1
262,2.0,2.0
263,2.0,2.0
264,2.7,2.7
265,0.0,0.0
266,0.0,0.0
267,1.9,0.9
268,1.9,0.9
269,0.0,0.0
270,10.4,13.4
271,0.0,0.0
272,2.9,3.9
273,1.5,1.5
274,3.9,3.9
275,2.3,3.3
276,3.3,4.3
277,1.8,1.8
278,6.0,4.0
279,0.0,0.0
280,6.4,4.4
281,3.5,4.5
282,4.3,3.3
283,2.3,2.3
284,1.3,1.3
285,,
286,13.0,10.0
287,0.9,0.9
288,1.3,1.3
289,0.6,0.6
290,13.8,14.8
291,3.0,2.0
292,1.6,1.6
293,3.0,4.0
294,4.4,3.4
295,8.6,9.6
296,1.6,1.6
297,0.0,0.0
298,7.7,9.7
299,3.3,2.3
300,6.9,4.9
301,2.0,3.0
302,0.8,0.8
303,6.1,7.1
304,16.7,14.7
305,4.6,3.6
306,6.5,4.5
307,2.4,1.4
308,1.7,1.7
309,2.3,1.3
310,1.1,1.1
311,8.3,6.3
312,2.4,2.4
313,2.2,2.2
314,6.0,6.0
315,0.0,0.0
316,3.3,2.3
317,12.8,8.8
318,2.5,2.5
319,5.1,6.1
320,0.0,0.0
321,11.6,14.6
322,3.5,2.5
323,5.6,3.6
324,1.8,0.8
325,3.0,4.0
326,17.8,12.8
327,3.5,2.5
