id,y_2010,y_2012
2,65.1,73.1
3,34.3,28.3
4,70.9,64.9
5,50.6,35.6
6,47.9,33.9
7,47.6,45.6
8,49.5,45.5
9,73.5,69.5
10,54.2,55.2
11,46.4,59.4
12,29.4,20.4
13,38.3,39.3
14,44.1,56.1
15,70.5,91.5
16,53.9,56.9
17,47.7,54.7
18,64.9,76.9
19,50.3,65.3
20,34.7,44.7
21,32.5,36.5
22,33.0,43.0
23,50.5,63.5
24,40.5,49.5
25,57.2,59.2
26,62.7,43.7
27,48.6,44.6
28,58.9,41.9
29,60.3,69.3
30,31.7,23.7
31,54.6,62.6
32,14.8,14.8
33,45.1,52.1
34,61.7,77.7
35,54.5,55.5
36,65.9,46.9
37,55.9,46.9
38,35.3,46.3
39,56.4,59.4
40,53.2,38.2
41,58.1,41.1
42,45.7,51.7
43,56.9,71.9
44,47.9,33.9
45,41.8,29.8
46,38.0,27.0
47,52.1,36.1
48,70.6,86.6
49,59.0,43.0
50,62.3,54.3
51,42.6,30.6
52,35.9,46.9
53,43.1,36.1
54,58.0,70.0
55,42.1,32.1
56,47.5,47.5
57,22.9,26.9
58,48.9,37.9
59,50.6,50.6
60,51.0,58.0
61,33.9,28.9
62,41.5,42.5
63,22.7,16.7
64,44.2,44.2
65,54.1,70.1
66,20.2,16.2
67,49.5,45.5
68,39.9,28.9
69,37.9,48.9
70,43.6,36.6
71,44.3,41.3
72,41.5,48.5
73,61.7,79.7
74,19.2,18.2
75,28.0,36.0
76,41.5,32.5
77,29.2,32.2
78,24.2,17.2
79,42.2,53.2
80,68.6,54.6
81,22.1,22.1
82,29.1,21.1
83,65.7,80.7
84,73.9,70.9
85,55.7,63.7
86,51.3,55.3
87,70.2,63.2
88,54.5,70.5
89,52.1,39.1
90,62.3,76.3
91,56.7,44.7
92,17.5,14.5
93,42.2,54.2
94,36.6,28.6
95,25.6,30.6
96,37.5,34.5
97,26.4,18.4
98,62.3,47.3
99,58.7,65.7
100,48.2,62.2
101,39.8,50.8
102,48.2,34.2
103,46.2,33.2
104,37.0,48.0
105,40.5,28.5
106,14.0,10.0
107,40.4,38.4
108,67.8,48.8
109,51.0,37.0
110,53.3,38.3
111,39.4,28.4
112,68.6,80.6
113,56.7,39.7
114,48.0,42.0
115,28.5,37.5
116,35.1,25.1
117,58.1,64.1
118,62.8,48.8
119,59.9,74.9
120,31.3,31.3
121,50.2,38.2
122,13.8,9.8
123,54.9,70.9
124,38.6,28.6
125,46.0,33.0
126,35.8,36.8
127,50.0,40.0
128,67.5,85.5
129,56.4,44.4
130,61.5,61.5
131,54.1,38.1
132,50.7,53.7
133,50.8,48.8
134,60.3,44.3
135,45.0,50.0
136,50.6,61.6
137,51.3,66.3
138,48.8,37.8
139,56.9,69.9
140,65.4,54.4
141,32.1,33.1
142,29.0,29.0
143,46.9,51.9
144,52.8,58.8
145,55.9,61.9
146,47.4,58.4
147,57.8,48.8
148,60.4,77.4
149,34.3,44.3
150,63.1,79.1
151,19.3,15.3
152,70.6,90.6
153,43.3,56.3
154,42.8,31.8
155,57.6,74.6
156,47.0,38.0
157,23.1,19.1
158,38.3,47.3
159,70.7,49.7
160,42.5,32.5
161,58.0,49.0
162,51.3,58.3
163,31.9,28.9
