id,y_2010,y_2012
2,411,505
3,1156,1036
4,332,419
5,167,213
6,403,291
7,548,535
8,608,613
9,94,102
10,553,716
11,517,522
12,165,122
13,457,591
14,436,403
15,693,864
16,727,519
17,455,338
18,617,793
19,843,793
20,401,458
21,912,664
22,314,225
23,281,365
24,180,194
25,676,617
26,1136,1178
27,321,237
28,194,223
29,424,524
30,477,575
31,385,370
32,87,75
33,259,205
34,946,954
35,2572,3287
36,594,575
37,243,189
38,1910,1701
39,680,512
40,350,249
41,313,367
42,352,417
43,358,262
44,224,274
45,989,1232
46,286,201
47,139,107
48,1908,2380
49,1212,1555
50,268,188
51,282,355
52,504,355
53,438,358
54,839,731
55,555,436
56,306,394
57,168,164
58,218,239
59,353,433
60,805,861
61,301,255
62,77,62
63,216,159
64,179,215
65,362,268
66,375,459
67,99,117
68,1269,1404
69,381,375
70,296,212
71,368,258
72,1164,1224
73,4286,3917
74,201,145
75,341,319
76,1307,1658
77,1041,1236
78,635,586
79,73,79
80,690,813
81,193,197
82,380,357
83,2994,2127
84,2502,2776
85,275,357
86,99,107
87,196,246
88,430,558
89,238,304
90,250,262
91,283,315
92,270,305
93,591,418
94,657,466
95,444,311
96,729,784
97,547,411
98,1615,2085
99,397,514
100,725,549
101,126,115
102,197,149
103,136,173
104,202,142
105,222,230
106,152,113
107,163,212
108,576,557
109,1466,1087
110,1546,1444
111,766,545
112,1639,1253
113,1340,1335
114,655,460
115,720,925
116,3672,2729
117,1003,1301
118,320,253
119,1021,1322
120,385,270
121,462,534
122,3808,2789
123,1227,1022
124,708,767
125,1032,783
126,141,109
127,451,423
128,269,190
129,485,578
130,4494,5828
131,270,226
132,189,219
133,159,163
134,116,144
135,141,99
136,704,753
137,734,515
138,509,368
139,645,711
140,1055,1152
141,681,578
142,446,579
143,294,222
144,246,180
145,520,665
146,440,432
147,466,462
148,598,777
149,278,195
150,564,397
151,535,527
152,594,423
153,815,1054
154,735,620
155,1247,1405
156,1193,851
157,572,414
158,1277,1285
159,490,463
160,778,549
161,298,380
162,368,383
163,174,125
164,643,481
165,181,176
166,154,126
167,184,222
168,228,275
169,245,270
170,475,516
171,288,301
172,944,902
173,381,410
174,3217,2610
175,522,646
176,477,334
177,507,403
178,2043,2307
179,502,651
180,299,363
181,1052,859
182,218,252
183,226,222
184,234,177
185,134,94
186,636,453
187,157,127
188,365,259
189,82,71
190,667,744
191,424,526
192,1414,1147
193,305,339
194,738,958
195,1124,1034
196,982,1227
197,332,241
198,327,425
199,384,273
200,90,109
201,852,725
202,255,231
203,587,535
204,253,231
205,354,350
206,136,172
207,509,403
208,512,360
209,844,908
210,173,152
211,557,562
212,534,426
213,323,389
215,306,258
216,208,147
217,425,358
218,513,436
219,1127,1145
220,438,484
221,423,507
222,316,366
223,292,248
224,385,497
225,1318,1254
226,116,108
227,599,775
228,835,611
229,1354,1528
230,278,251
231,1230,898
232,471,422
233,664,549
234,1298,1391
235,491,564
236,733,953
237,960,1239
238,561,485
240,393,454
241,573,730
242,280,291
243,548,453
244,697,750
245,176,126
246,291,333
247,131,120
248,165,214
249,128,156
250,325,304
251,300,379
252,247,320
253,648,595
254,1418,1808
255,474,598
256,4973,4474
257,1206,1374
258,828,976
259,414,474
260,1413,1768
261,543,457
262,1048,1347
263,644,524
264,325,310
265,279,318
266,1893,1544
267,2056,2097
268,257,309
269,459,577
270,90,76
271,169,136
272,533,643
273,607,732
274,122,117
275,396,289
276,410,486
277,929,666
278,173,151
279,118,89
280,921,1193
281,189,158
282,353,247
283,436,557
284,954,747
285,2797,2733
286,1648,1912
287,1543,1982
288,576,727
289,1271,899
290,842,1089
291,149,161
292,305,371
293,110,119
294,374,322
295,106,114
296,741,697
297,104,79
298,253,178
299,489,407
300,469,585
301,536,607
302,373,344
303,200,144
304,67,85
305,306,218
306,681,877
307,516,474
308,246,172
309,727,549
310,406,364
311,389,345
312,208,163
313,650,549
314,319,224
315,240,310
316,197,256
317,169,209
318,385,360
319,721,606
320,264,283
321,217,245
322,204,249
323,585,749
324,1372,1542
325,617,433
326,152,183
327,230,199
328,735,874
329,472,331
330,625,647
331,1304,1049
332,597,715
333,623,527
334,400,294
335,864,1123
336,1522,1972
337,825,620
338,153,133
339,254,223
340,376,443
341,369,263
342,281,220
343,260,182
344,262,224
345,673,491
346,730,514
347,140,155
348,1598,1329
349,297,376
350,312,263
351,202,262
352,260,192
353,689,755
354,256,283
355,634,560
356,988,814
357,346,428
358,823,645
359,416,321
360,1426,1199
361,495,399
362,820,630
363,1361,1698
364,483,545
365,269,349
366,348,389
367,731,919
368,1125,827
369,329,327
370,476,617
371,1396,1049
372,2000,1435
373,858,937
374,417,425
375,995,1219
376,1156,1501
377,1087,1301
378,915,851
379,1094,1421
380,1886,1614
381,493,400
382,434,562
383,620,732
384,348,326
385,792,555
386,278,353
387,1792,2055
388,397,513
389,1103,962
390,267,335
391,562,699
392,1471,1343
393,998,1239
394,392,443
395,634,590
396,4521,3265
397,151,182
398,281,316
399,653,848
400,665,765
401,910,667
402,988,915
403,1822,2334
404,411,373
405,575,702
406,1399,1510
407,1507,1927
408,1127,797
409,2671,3470
410,389,501
411,525,573
412,2024,1884
413,1185,1049
416,212,195
417,686,541
418,847,789
419,566,407
420,1302,1586
421,729,880
422,3172,3082
423,2930,2281
424,2992,3872
425,1596,2046
426,504,565
428,1411,1834
430,652,750
431,725,751
432,1326,1192
433,241,313
434,3779,4808
435,480,339
436,403,284
437,3528,4355
438,2162,2058
442,467,541
443,276,355
444,379,489
445,673,580
446,701,834
447,1219,1585
448,833,607
449,2475,3123
450,8537,8513
451,3056,2477
452,1187,1236
453,731,583
454,2265,1893
455,1572,1862
456,274,192
457,283,211
458,277,357
459,1007,1170
460,1075,1188
462,3456,3135
463,530,500
464,854,1049
465,308,400
466,2883,2895
467,523,640
468,911,1036
469,2789,2300
470,1479,1846
471,678,697
472,1457,1023
473,614,743
474,1020,875
475,950,786
