id,y_2000,y_2010,y_2013,y_2015
2,2413,2039,2167,2216
3,5694,6563,7810,7938
4,1535,1002,1065,1078
5,659,603,763,745
6,2024,1638,1775,1724
7,1169,1193,1293,1310
8,1346,1761,1515,1850
9,608,538,583,607
10,3711,3355,3561,3735
11,2084,2357,2563,2623
12,2426,2496,2636,2677
13,3456,3348,3551,3583
14,2654,3669,3741,3784
15,2118,2010,2064,2141
16,3959,4587,4647,4750
17,3194,3047,3362,3387
18,2125,2968,3234,3433
19,3805,3480,3596,3654
20,1123,2975,3145,3145
21,2177,2622,2890,2984
22,667,736,897,961
23,1413,1100,1081,1112
24,1231,1129,1201,1129
25,2604,2829,2958,2958
26,2841,2980,3088,3096
27,1187,2656,2719,2719
28,763,946,1176,1197
29,1076,1172,1240,1237
30,1231,1204,1235,2091
31,1631,1599,1650,1666
32,295,317,337,337
33,1093,1259,1320,1347
34,1703,1787,2098,2177
35,1156,1657,1673,1900
36,2455,2268,2408,2854
37,2308,1696,1788,1847
38,2296,2319,2397,2397
39,1447,2494,2716,2801
40,1144,2868,3128,3171
41,1588,1442,1569,1569
42,2475,2331,2494,2526
43,1414,1410,1514,1566
44,731,819,876,899
45,171,2617,3092,3315
46,1746,2238,2476,2471
47,1080,1002,1170,1174
48,585,1761,1815,1834
49,1228,2405,2573,2627
50,2493,2823,3016,3078
51,848,1211,1368,1384
52,2327,2017,2365,1457
53,2650,2727,2980,3491
54,1116,1587,1764,1771
55,2115,1937,2001,2020
56,700,694,765,775
57,1771,1071,1597,1611
58,1355,1324,1521,1508
59,2245,2388,2383,2515
60,2561,3334,3225,3544
61,756,1156,1199,1200
62,3299,2808,5127,5404
64,2301,3827,4335,4491
65,351,1638,1777,2212
66,2311,2587,2557,2725
67,82,551,565,1169
68,2603,2667,2479,2481
69,1102,1181,1454,1118
70,1342,1249,1258,1277
71,2348,3265,4121,4161
72,548,1278,1305,2766
73,1385,2854,2780,2855
74,1132,1089,1117,1139
75,80,1639,1787,2059
76,987,1935,2465,3193
77,344,4224,5533,5972
78,1101,1679,1958,2052
79,1718,1546,2282,1737
80,483,2050,2214,2196
81,792,1128,1176,1176
82,32,1768,2526,2526
83,1008,1495,850,848
84,838,628,728,695
85,1820,1791,1965,1980
86,2323,2297,2896,3129
87,1357,1554,1668,1655
88,1620,1182,1279,1213
89,1441,1456,1502,1531
90,1978,1776,1969,1997
91,2035,2250,2369,2410
92,3,1495,1894,2381
93,1165,1236,1353,1365
94,1177,1035,1089,1098
95,1012,1597,1673,1673
