id,y_2011,y_2013,y_2015
2,1083,1081,1079
3,4369,4746,4752
4,401,402,404
5,332,329,331
6,825,820,817
7,420,423,426
8,901,1024,1030
9,305,305,302
10,1599,1595,1592
11,1209,1212,1225
12,1257,1257,1257
13,1812,1810,1827
14,1613,1614,1614
15,825,825,833
16,2119,2112,2112
17,1256,1256,1256
18,1598,1691,1695
19,1755,1759,1762
20,1453,1452,1452
21,1168,1216,1220
22,467,364,499
23,549,550,550
24,474,473,448
25,1111,1111,1112
26,1066,1066,1069
27,990,988,988
28,545,548,550
29,566,566,565
30,503,504,854
31,677,678,676
32,220,220,220
33,612,623,628
34,789,809,813
35,679,752,801
36,1030,1051,1231
37,790,780,779
38,841,842,841
39,932,941,953
40,1183,1183,1183
41,774,773,773
42,1327,1328,1328
43,641,651,654
44,447,455,461
45,987,1106,1137
46,957,956,956
47,641,640,640
48,626,618,615
49,948,953,962
50,1053,1053,1054
51,737,737,732
52,892,889,551
53,1057,1060,1222
54,562,562,559
55,804,803,803
56,359,359,364
57,683,669,669
58,485,485,485
59,1111,1111,1110
60,999,1128,1127
61,433,433,434
62,199,138,64
64,1972,1974,2067
65,979,1085,1225
66,1256,1263,1353
67,323,631,643
68,1133,1133,1133
69,638,755,635
70,522,523,521
71,1408,1417,1425
72,561,1177,1176
73,1020,1041,1062
74,740,740,740
75,671,739,795
76,787,970,1105
77,2049,2127,2245
78,837,896,912
79,679,679,518
80,1161,1175,1163
81,454,454,454
82,902,902,902
83,293,294,291
84,274,272,264
85,782,776,771
86,1050,993,1116
87,691,684,682
88,481,474,469
89,549,549,550
90,826,828,828
91,840,839,839
92,909,1058,1330
93,624,624,624
94,379,379,379
95,672,672,672
96,1180,1522,1804
97,1550,1550,1555
98,916,924,945
99,644,645,645
100,701,701,701
101,729,728,728
102,524,523,524
103,479,481,480
105,434,525,633
106,729,729,729
107,1071,1071,1071
108,547,547,549
109,836,872,913
110,754,759,757
111,889,1093,1150
112,527,537,552
113,1329,1376,1421
114,546,426,424
115,1522,1725,1810
116,1120,1197,1236
117,1354,1410,1453
118,416,416,426
119,469,468,467
120,596,594,598
121,826,825,826
122,0,0,0
123,1089,1089,1088
124,890,890,890
125,1029,1047,1068
126,41,189,251
127,988,989,988
128,1045,1044,1043
129,869,869,869
130,756,762,766
131,709,755,791
132,280,279,281
133,626,627,626
134,449,449,449
135,554,555,555
136,763,789,806
137,545,551,548
138,252,251,251
139,558,661,660
140,994,1075,1075
141,360,344,340
