id,y_2011,y_2013
2,19,15
3,13,17
4,0,0
5,13,19
6,45,55
7,0,0
8,1,2
9,2,0
10,50,48
11,5,4
12,21,36
13,17,25
14,6,9
15,0,0
16,17,20
17,13,21
18,2,9
19,2,1
20,0,0
21,25,17
22,10,10
23,8,5
24,4,7
25,2,0
26,2,5
27,4,7
28,2,2
29,0,0
30,21,34
31,1,1
32,4,3
33,1,15
34,7,9
35,4,6
36,2,2
37,25,43
38,6,3
39,6,9
40,30,27
41,0,2
42,3,0
43,0,1
44,0,0
45,2,0
46,0,9
47,1,2
48,3,5
49,6,7
50,24,16
51,7,12
52,34,38
53,36,37
54,6,10
55,3,0
56,0,6
57,10,13
58,23,24
59,10,22
60,19,16
61,4,8
62,1,0
64,10,13
65,3,3
66,9,11
67,2,4
68,4,6
69,1,0
70,23,22
71,33,32
72,7,10
73,7,5
74,4,3
75,0,0
76,2,5
77,5,6
78,4,3
79,17,24
80,3,2
81,1,2
82,3,2
83,5,3
84,0,1
85,26,35
86,29,25
87,11,10
88,17,20
89,3,6
90,19,20
91,8,3
92,5,5
93,5,4
94,7,4
95,0,8
96,8,5
97,3,4
98,1,7
99,3,5
100,11,22
101,33,22
102,10,7
103,17,31
105,1,1
106,13,16
107,7,10
108,,10
109,6,5
110,2,1
111,5,2
112,4,1
113,8,9
114,10,15
115,3,2
116,24,
117,5,10
118,,0
119,6,3
120,6,30
121,17,11
122,,
123,12,18
124,35,60
125,28,32
126,1,1
127,21,18
128,19,35
129,0,1
130,1,2
131,2,2
132,2,2
133,0,1
134,5,6
135,14,9
136,0,2
137,5,5
138,21,21
139,11,12
140,10,17
141,19,25
142,11,19
143,0,0
144,,21
145,,5
146,3,10
147,20,6
148,0,1
149,1,2
150,4,4
151,2,3
152,0,1
153,2,7
154,4,6
155,3,5
156,9,11
157,56,68
158,11,26
159,10,17
160,11,11
161,10,3
162,10,8
163,3,5
164,59,80
165,16,14
166,5,5
167,8,9
168,4,8
169,2,1
170,0,1
171,3,1
172,1,3
173,2,9
174,4,7
175,1,0
176,0,0
177,2,0
178,9,8
179,0,0
180,8,3
181,1,2
182,11,9
183,3,2
184,0,2
185,10,11
186,6,12
187,0,1
188,2,1
189,0,1
190,7,3
191,1,2
192,5,8
193,4,1
194,,2
195,3,5
196,10,14
197,8,7
198,2,1
199,27,32
200,7,6
201,0,1
202,18,18
203,0,2
204,2,2
205,0,0
206,2,1
207,2,3
208,0,0
209,5,5
210,1,4
211,1,7
212,14,21
213,1,2
215,1,1
216,0,0
217,0,0
218,0,3
219,13,14
220,,3
221,5,5
222,0,0
223,11,26
224,1,4
225,5,1
226,3,1
227,1,3
228,1,0
229,7,8
230,7,6
231,1,1
232,4,1
233,2,2
234,19,29
235,0,1
236,1,0
237,11,17
238,6,16
240,4,11
241,1,1
242,0,9
243,0,1
244,0,3
245,10,3
246,12,16
247,15,11
248,12,15
249,26,33
250,0,2
251,1,0
252,0,0
253,3,1
254,2,4
255,2,0
256,2,1
257,2,2
258,12,8
259,8,7
260,15,20
261,6,1
262,0,3
263,1,0
264,6,3
265,3,2
266,0,4
267,2,4
268,3,2
269,1,3
270,10,11
271,3,11
272,10,8
273,2,0
274,3,2
275,5,2
276,2,1
277,2,5
278,3,4
279,1,2
280,13,9
281,1,4
282,0,5
283,14,11
284,1,0
285,,
286,5,4
287,,27
288,,6
289,5,6
290,48,50
291,10,26
292,16,18
293,14,15
294,17,15
295,17,15
296,0,1
297,0,0
298,15,
299,2,5
300,3,
301,1,5
302,2,1
303,3,0
304,10,18
305,3,2
306,13,18
307,5,5
308,0,1
309,1,1
310,1,1
311,13,15
312,20,19
313,2,1
314,16,18
315,8,8
316,29,56
317,8,9
318,1,1
319,3,10
320,0,2
321,20,27
322,3,3
323,15,25
324,0,2
325,13,7
326,13,20
327,21,24
328,23,20
329,2,5
330,3,6
331,12,14
332,4,3
333,11,5
334,1,1
335,,1
336,2,3
337,1,1
338,10,20
339,9,4
340,45,69
341,53,56
342,43,40
343,14,15
344,7,7
345,4,4
346,19,10
347,8,10
348,3,13
349,3,3
350,2,0
351,1,1
352,2,3
353,1,1
354,1,1
355,2,2
356,3,3
357,4,3
358,7,6
359,0,1
360,1,8
361,38,43
362,8,34
363,54,56
364,1,2
365,1,9
366,14,20
367,18,12
368,12,
369,28,20
370,50,64
371,88,114
372,4,8
373,0,0
374,53,51
375,0,1
376,6,8
377,3,6
378,8,18
379,0,0
380,2,0
381,12,9
382,30,29
383,21,30
384,16,21
385,46,59
386,8,27
387,33,49
388,22,27
389,37,36
390,9,8
391,1,2
392,4,3
393,20,9
394,5,9
395,,3
396,,0
397,5,0
398,2,0
399,2,1
400,,3
401,,15
402,,3
403,,1
404,8,10
405,0,0
406,,2
407,,2
408,,1
409,0,2
410,1,0
411,1,1
412,0,1
413,4,2
416,2,2
417,3,1
418,2,1
419,1,0
420,1,1
421,2,1
422,13,5
423,,2
424,2,1
425,,0
426,,10
428,,0
430,3,
431,,3
432,,10
433,,1
434,3,1
435,,1
436,,6
437,2,9
438,,1
442,,7
443,0,
444,1,
445,1,0
446,2,0
447,4,0
448,6,9
449,1,1
450,2,1
451,,0
452,2,0
453,7,
454,,1
455,,1
456,,7
457,,1
458,0,1
459,,6
460,,16
462,4,2
463,4,3
464,1,1
465,,2
466,3,2
467,3,0
468,,0
469,,1
470,1,3
471,,4
472,0,0
473,,5
474,4,3
475,,0
