id,y_2010,y_2012
2,119,104
3,241,227
4,32,35
5,103,104
6,294,206
7,44,57
8,75,62
9,49,56
10,391,306
11,103,100
12,107,76
13,155,200
14,95,120
15,102,105
16,337,306
17,237,173
18,105,130
19,133,94
20,57,72
21,175,130
22,105,87
23,69,60
24,46,42
25,87,111
26,90,71
27,143,164
28,38,49
29,50,36
30,183,234
31,23,29
32,16,17
33,6,6
34,222,168
35,141,99
36,111,138
37,233,168
38,81,103
39,123,140
40,240,310
41,103,126
42,53,68
43,84,102
44,24,18
45,59,77
46,91,69
47,21,16
48,88,98
49,134,149
50,176,125
51,73,76
52,168,120
53,178,227
54,186,167
55,92,68
56,52,67
57,46,47
58,82,104
59,177,168
60,65,79
61,70,90
62,1,1
63,9,12
64,84,62
65,25,32
66,39,28
67,18,22
68,80,100
69,30,23
70,143,124
71,86,94
72,83,106
73,166,117
74,46,40
75,17,13
76,81,105
77,140,160
78,58,41
79,42,41
80,38,44
81,39,48
82,56,62
83,135,95
84,46,34
85,151,108
86,78,68
87,75,75
88,166,124
89,94,122
90,136,177
91,152,166
92,26,33
93,29,31
94,106,82
95,75,54
96,125,110
97,129,165
98,124,90
99,88,105
100,153,114
101,51,37
102,113,131
103,83,76
104,50,62
105,25,24
106,41,46
107,65,84
108,34,40
109,88,109
110,62,44
111,84,109
112,73,67
113,174,214
114,89,108
115,77,60
116,102,103
117,171,222
118,40,28
119,100,71
120,95,120
121,192,158
122,31,36
123,117,118
124,194,238
125,237,229
126,8,6
127,114,81
128,266,189
129,35,29
130,58,42
131,89,114
132,26,21
133,40,30
134,64,56
135,42,49
136,70,72
137,105,128
138,93,107
139,116,121
140,188,136
141,105,135
142,255,207
143,22,22
144,70,76
145,128,125
146,90,106
147,114,99
148,56,72
149,7,7
150,126,147
151,56,58
152,56,39
153,74,60
154,79,58
155,127,115
156,136,153
157,122,157
158,219,270
159,117,86
160,237,210
161,69,56
162,163,153
163,61,45
164,243,275
165,71,50
166,45,36
167,41,30
168,134,118
169,22,17
170,38,32
171,48,39
172,44,53
173,87,61
174,150,160
175,59,41
176,76,84
177,51,42
178,49,45
179,26,22
180,86,107
181,82,99
182,91,104
183,68,78
184,37,42
185,87,84
186,167,118
187,16,12
188,39,45
189,12,14
190,75,61
191,54,53
192,74,95
193,64,81
194,26,32
195,66,85
196,114,100
197,165,205
198,39,28
199,126,145
200,9,7
201,56,51
202,139,131
203,60,77
204,41,31
205,10,10
206,15,17
207,44,43
208,33,23
209,96,124
210,31,34
211,97,68
212,80,89
213,54,42
215,38,33
216,15,13
217,34,24
218,92,110
219,60,45
220,134,173
221,79,66
222,36,25
223,200,193
224,63,81
225,48,51
226,41,36
227,145,102
228,18,19
229,174,124
230,129,115
231,75,70
232,140,120
233,44,33
234,288,202
235,91,75
236,23,21
237,199,148
238,196,138
240,133,168
241,45,51
242,47,34
243,9,6
244,105,74
245,56,70
246,91,98
247,55,59
248,87,61
249,63,79
250,79,97
251,45,33
252,20,24
253,41,49
254,36,26
255,55,43
256,55,50
257,63,45
258,197,255
259,136,126
260,185,162
261,94,97
262,56,40
263,66,59
264,34,44
265,78,95
266,124,117
267,136,113
268,141,100
269,101,73
270,77,73
271,120,132
272,36,33
273,43,33
274,4,5
275,37,27
276,58,75
277,49,36
278,11,10
279,17,22
280,242,194
281,22,29
282,265,259
283,160,186
284,22,20
285,39,50
286,35,41
287,33,32
288,9,7
289,169,220
290,159,161
291,76,67
292,83,61
293,123,94
294,93,97
295,67,76
296,31,35
297,4,5
298,42,31
299,125,101
300,50,37
301,78,96
302,68,87
303,31,26
304,54,63
305,56,58
306,78,99
307,110,78
308,36,39
309,47,54
310,72,57
311,185,202
312,95,68
313,79,99
314,156,167
315,72,67
316,159,201
317,102,80
318,88,62
319,249,321
320,36,46
321,121,118
322,101,83
323,273,340
324,80,81
325,141,164
326,107,139
327,164,142
328,58,41
329,96,103
330,115,89
331,65,60
332,71,70
333,174,187
334,3,2
335,42,55
336,101,104
337,70,71
338,64,74
339,20,22
340,74,96
341,103,86
342,55,42
343,119,154
344,139,144
345,63,82
346,208,149
347,83,101
348,117,91
349,24,31
350,30,34
351,38,45
352,75,72
353,70,56
354,38,48
355,29,31
356,66,48
357,81,81
358,111,86
359,65,46
360,195,253
361,163,126
362,187,231
363,360,436
364,71,92
365,110,85
366,138,131
367,175,224
368,147,116
369,147,188
370,172,211
371,820,645
372,315,237
373,96,99
374,316,399
375,45,32
376,158,117
377,131,170
378,299,267
379,57,65
380,118,153
381,182,195
382,265,285
383,247,186
384,73,60
385,491,542
386,207,195
387,310,219
388,181,229
389,547,385
390,94,117
391,83,80
392,160,200
393,236,235
394,99,69
395,,
396,,
397,,
398,,
399,,
400,,
401,,
402,,
403,,
404,,
405,,
406,,
407,,
408,,
409,,
410,,
411,,
412,,
413,,
416,,
417,,
418,,
419,,
420,,
421,,
422,,
423,,
424,,
425,,
426,,
428,,
430,,
431,,
432,,
433,,
434,,
435,,
436,,
437,,
438,,
442,,
443,,
444,,
445,,
446,,
447,,
448,,
449,,
450,,
451,,
452,,
453,,
454,,
455,,
456,,
457,,
458,,
459,,
460,,
462,,
463,,
464,,
465,,
466,,
467,,
468,,
469,,
470,,
471,,
472,,
473,,
474,,
475,,
