id,y_2010,y_2012
2,22,15
3,29,31
4,21,27
5,11,14
6,,
7,3,4
8,43,52
9,,
10,,
11,72,90
12,7,5
13,,
14,10,8
15,22,27
16,22,26
17,10,9
18,26,31
19,58,69
20,23,16
21,44,56
22,36,30
23,1,1
24,,
25,3,2
26,23,16
27,3,4
28,,
29,1,1
30,,
31,5,6
32,,
33,,
34,1,1
35,92,65
36,32,40
37,5,6
38,2,3
39,37,48
40,36,36
41,2,2
42,3,2
43,22,27
44,,
45,39,29
46,,
47,16,11
48,,
49,2,2
50,9,7
51,39,47
52,,
53,2,1
54,1,1
55,21,17
56,1,1
57,,
58,,
59,,
60,9,9
61,,
62,,
63,,
64,,
65,,
66,6,7
67,4,3
68,130,166
69,4,5
70,14,18
71,,
72,1,1
73,17,17
74,,
75,,
76,,
77,,
78,17,22
79,,
80,,
81,1,1
82,2,2
83,270,344
84,,
85,1,1
86,21,16
87,,
88,19,20
89,11,12
90,,
91,4,4
92,,
93,12,11
94,1,1
95,,
96,11,13
97,22,20
98,2,3
99,,
100,,
101,,
102,,
103,,
104,,
105,3,4
106,,
107,1,1
108,1,1
109,146,122
110,56,61
111,,
112,5,5
113,2,2
114,1,1
115,8,8
116,40,28
117,1,1
118,10,10
119,2,2
120,3,3
121,,
122,2,2
123,2,1
124,,
125,,
126,,
127,1,1
128,98,124
129,44,32
130,161,202
131,,
132,12,14
133,27,24
134,4,3
135,,
136,31,40
137,,
138,5,5
139,1,1
140,13,16
141,,
142,39,29
143,,
144,4,4
145,,
146,19,22
147,4,5
148,,
149,,
150,,
151,,
152,5,6
153,17,22
154,,
155,34,29
156,276,303
157,8,10
158,1,1
159,2,2
160,2,2
161,4,3
162,,
163,7,9
164,9,11
165,,
166,,
167,,
168,,
169,,
170,,
171,,
172,9,6
173,,
174,11,14
175,1,1
176,30,37
177,21,18
178,8,7
179,45,56
180,,
181,1,1
182,,
183,,
184,52,54
185,2,2
186,26,24
187,,
188,,
189,,
190,,
191,9,11
192,3,3
193,5,4
194,12,16
195,,
196,,
197,4,4
198,3,4
199,,
200,4,3
201,31,22
202,20,14
203,61,77
204,,
205,,
206,,
207,2,2
208,13,16
209,2,2
210,2,2
211,,
212,,
213,,
215,1,1
216,,
217,20,24
218,2,2
219,3,3
220,8,10
221,5,5
222,1,1
223,152,193
224,29,28
225,,
226,1,1
227,4,5
228,,
229,,
230,,
231,,
232,,
233,10,8
234,1,1
235,46,57
236,18,17
237,1,1
238,,
240,3,2
241,24,23
242,18,15
243,2,1
244,9,6
245,,
246,,
247,,
248,6,4
249,,
250,4,4
251,12,16
252,,
253,,
254,4,5
255,,
256,272,238
257,1,1
258,2,2
259,,
260,44,43
261,31,31
262,4,5
263,4,4
264,,
265,,
266,20,23
267,6,6
268,,
269,4,4
270,,
271,1,1
272,1,1
273,1,1
274,,
275,3,2
276,3,4
277,2,2
278,,
279,4,3
280,1,1
281,,
282,4,5
283,,
284,7,7
285,1,1
286,58,43
287,1,1
288,,
289,8,10
290,,
291,,
292,18,15
293,,
294,,
295,,
296,,
297,,
298,6,6
299,6,6
300,19,19
301,2,2
302,41,41
303,8,6
304,,
305,,
306,,
307,89,70
308,44,57
309,,
310,,
311,18,13
312,,
313,15,12
314,135,140
315,42,33
316,17,15
317,,
318,6,7
319,70,51
320,,
321,,
322,,
323,,
324,,
325,,
326,4,4
327,,
328,,
329,,
330,,
331,,
332,4,4
333,4,3
334,,
335,,
336,3,2
337,91,104
338,,
339,,
340,,
341,3,2
342,1,1
343,,
344,,
345,1,1
346,,
347,,
348,43,52
349,8,9
350,12,14
351,9,12
352,,
353,64,58
354,3,3
355,20,14
356,,
357,,
358,13,11
359,,
360,45,56
361,23,16
362,59,47
363,,
364,89,105
365,67,52
366,31,24
367,16,14
368,77,54
369,,
370,22,28
371,14,15
372,2,3
373,,
374,,
375,19,14
376,3,2
377,5,4
378,26,28
379,56,45
380,8,8
381,,
382,21,17
383,13,15
384,10,9
385,2,2
386,,
387,,
388,24,22
389,5,6
390,,
391,,
392,248,317
393,128,145
394,2,2
395,,
396,3,3
397,,
398,,
399,4,5
400,2,2
401,,
402,,
403,,
404,,
405,,
406,23,21
407,6,8
408,35,32
409,169,218
410,23,27
411,,
412,2,3
413,3,2
416,9,7
417,1,1
418,5,5
419,5,6
420,10,10
421,,
422,3,3
423,3,2
424,182,143
425,9,8
426,1,1
428,7,9
430,13,16
431,,
432,,
433,,
434,22,24
435,13,17
436,,
437,1,1
438,,
442,,
443,,
444,4,4
445,31,23
446,,
447,46,55
448,2,2
449,185,177
450,69,79
451,9,9
452,,
453,36,31
454,,
455,34,27
456,,
457,1,1
458,,
459,14,16
460,1,1
462,,
463,,
464,4,3
465,12,14
466,3,4
467,1,1
468,1,1
469,2,2
470,119,154
471,7,8
472,88,114
473,32,28
474,46,33
475,,
