parid,class,saledate,price,saleval
10000420,R,1/19/2012,90000,Foreclosure Proceedings
10001240,R,9/20/2013,59000,Foreclosure Proceedings
10001270,R,2/3/2012,50640,Foreclosure Proceedings
10001350,R,2/4/2013,67000,Foreclosure Proceedings
10001490,R,4/27/2012,57310,Foreclosure Proceedings
10001800,R,1/2/2014,43500,Foreclosure Proceedings
10002191,R,8/8/2013,71000,Foreclosure Proceedings
10002247,R,9/23/2011,99000,Foreclosure Proceedings
10003569,R,5/6/2011,105000,Foreclosure Proceedings
10003582,R,1/10/2013,62000,Foreclosure Proceedings
10003590,R,5/24/2011,88500,Foreclosure Proceedings
10003591,R,3/4/2013,80325,Foreclosure Proceedings
10003640,R,2/13/2013,72000,Foreclosure Proceedings
10003653,R,2/22/2013,91000,Foreclosure Proceedings
10003686,R,10/5/2012,105000,Foreclosure Proceedings
10003750,R,8/10/2011,113400,Foreclosure Proceedings
10003765,R,9/28/2012,68000,Foreclosure Proceedings
10003788,R,5/13/2011,81900,Foreclosure Proceedings
10004430,R,5/2/2011,15500,Foreclosure Proceedings
10004460,R,6/26/2013,12500,Foreclosure Proceedings
10004470,R,8/9/2013,6800,Foreclosure Proceedings
10004680,R,1/24/2013,4350,Foreclosure Proceedings
10004730,R,3/29/2011,12300,Foreclosure Proceedings
10004850,R,1/27/2014,9200,Foreclosure Proceedings
10005190,R,5/9/2013,52140,Foreclosure Proceedings
10005230,R,12/16/2011,45699,Foreclosure Proceedings
10005320,R,8/26/2013,42548,Foreclosure Proceedings
10005340,R,12/13/2011,45122,Foreclosure Proceedings
10008080,R,8/27/2012,74000,Foreclosure Proceedings
10009650,R,8/30/2013,69000,Foreclosure Proceedings
10010650,R,12/5/2012,39000,Foreclosure Proceedings
10010800,R,6/12/2013,36000,Foreclosure Proceedings
10011020,R,3/20/2012,66000,Foreclosure Proceedings
10014460,R,5/20/2014,45000,Foreclosure Proceedings
10014570,R,1/10/2014,48500,Foreclosure Proceedings
10016320,R,10/10/2013,74000,Foreclosure Proceedings
10018620,C,6/14/2011,115000,Foreclosure Proceedings
10020110,R,1/14/2011,85000,Foreclosure Proceedings
10020120,R,5/3/2013,78500,Foreclosure Proceedings
10020270,R,4/18/2012,125000,Foreclosure Proceedings
10020350,R,1/17/2013,110000,Foreclosure Proceedings
10020630,R,12/16/2013,210500,Foreclosure Proceedings
10023260,R,8/17/2011,18500,Foreclosure Proceedings
10023490,R,6/23/2014,67113,Foreclosure Proceedings
10023510,R,1/31/2013,83101,Foreclosure Proceedings
10023850,R,2/27/2014,37000,Foreclosure Proceedings
10024170,R,6/19/2012,307687,Foreclosure Proceedings
10024200,R,4/26/2012,119900,Foreclosure Proceedings
10024400,R,2/8/2013,48500,Foreclosure Proceedings
10025010,R,8/20/2013,150000,Foreclosure Proceedings
10025020,R,8/20/2013,150000,Foreclosure Proceedings
10025050,R,8/20/2013,150000,Foreclosure Proceedings
10025170,R,8/20/2013,150000,Foreclosure Proceedings
10025180,R,8/20/2013,150000,Foreclosure Proceedings
10025190,R,8/20/2013,150000,Foreclosure Proceedings
10026060,R,11/9/2011,47700,Foreclosure Proceedings
10026600,R,3/21/2014,154500,Foreclosure Proceedings
10028280,R,7/12/2011,73000,Foreclosure Proceedings
10028420,R,12/2/2013,116250,Foreclosure Proceedings
10029310,R,1/10/2013,59000,Foreclosure Proceedings
10029330,R,10/3/2012,79900,Foreclosure Proceedings
10030160,R,1/14/2013,74000,Foreclosure Proceedings
10030400,R,12/7/2012,68090,Foreclosure Proceedings
10031340,R,7/12/2012,69050,Foreclosure Proceedings
10032020,R,7/5/2013,78000,Foreclosure Proceedings
10032390,R,6/25/2013,52100,Foreclosure Proceedings
10032590,R,10/29/2012,33100,Foreclosure Proceedings
10033080,R,2/21/2012,49900,Foreclosure Proceedings
10033140,R,5/21/2013,74899,Foreclosure Proceedings
10036820,R,6/24/2013,89900,Foreclosure Proceedings
10038580,R,9/12/2013,44000,Foreclosure Proceedings
10038770,R,4/10/2013,170000,Foreclosure Proceedings
10043040,R,1/18/2011,164000,Foreclosure Proceedings
10045720,R,11/9/2012,66500,Foreclosure Proceedings
10045870,R,10/22/2013,38000,Foreclosure Proceedings
10045930,R,9/3/2013,37500,Foreclosure Proceedings
10047210,R,12/10/2012,73650,Foreclosure Proceedings
10047280,R,8/17/2012,80199,Foreclosure Proceedings
10047990,R,9/5/2013,143501,Foreclosure Proceedings
10048030,C,3/29/2013,190000,Foreclosure Proceedings
10048040,C,3/29/2013,190000,Foreclosure Proceedings
10049010,R,3/18/2011,83000,Foreclosure Proceedings
10049590,R,6/22/2012,78000,Foreclosure Proceedings
10049720,R,6/28/2012,85000,Foreclosure Proceedings
10050450,R,9/21/2012,227113,Foreclosure Proceedings
10050520,R,6/16/2011,143200,Foreclosure Proceedings
10050920,R,6/7/2012,79900,Foreclosure Proceedings
10051080,R,1/25/2013,55000,Foreclosure Proceedings
10051450,R,3/20/2013,441000,Foreclosure Proceedings
10052620,R,9/27/2013,315000,Foreclosure Proceedings
10052730,R,9/21/2012,215000,Foreclosure Proceedings
10054530,R,6/28/2013,178500,Foreclosure Proceedings
10057030,R,6/2/2014,82950,Foreclosure Proceedings
10057090,R,2/28/2011,83000,Foreclosure Proceedings
10058130,R,6/10/2011,236000,Foreclosure Proceedings
10129100,R,11/9/2011,91000,Foreclosure Proceedings
10159425,R,1/21/2011,40000,Foreclosure Proceedings
10175100,R,2/20/2014,55000,Foreclosure Proceedings
10238551,R,2/27/2013,38500,Foreclosure Proceedings
10247500,R,10/17/2013,64000,Foreclosure Proceedings
10252100,R,7/8/2013,42552,Foreclosure Proceedings
10252100,R,7/8/2013,42552,Foreclosure Proceedings
10259750,R,5/30/2014,58000,Foreclosure Proceedings
10262200,R,12/3/2013,74000,Foreclosure Proceedings
10276322,R,11/6/2012,95000,Foreclosure Proceedings
10276337,R,7/5/2012,115000,Foreclosure Proceedings
10276344,R,4/11/2014,103754,Foreclosure Proceedings
10276345,R,10/31/2011,59000,Foreclosure Proceedings
10276358,R,12/2/2011,48000,Foreclosure Proceedings
10276362,R,3/20/2012,61011,Foreclosure Proceedings
10276369,R,10/29/2012,75212,Foreclosure Proceedings
10276385,R,8/25/2011,72000,Foreclosure Proceedings
10276527,R,12/27/2011,61119,Foreclosure Proceedings
10276579,R,1/25/2013,105000,Foreclosure Proceedings
10276602,R,7/10/2012,38400,Foreclosure Proceedings
10276609,R,11/6/2012,65000,Foreclosure Proceedings
10276632,R,7/12/2013,61000,Foreclosure Proceedings
10276643,R,6/7/2012,60001,Foreclosure Proceedings
10276650,R,7/8/2011,86000,Foreclosure Proceedings
10276663,R,3/21/2012,70001,Foreclosure Proceedings
10278700,R,4/2/2014,48000,Foreclosure Proceedings
10278767,R,6/13/2013,110000,Foreclosure Proceedings
10278769,R,8/11/2011,103000,Foreclosure Proceedings
10329050,R,7/16/2012,275000,Foreclosure Proceedings
10335855,R,8/21/2012,18500,Foreclosure Proceedings
10366600,R,2/23/2012,21000,Foreclosure Proceedings
10424800,R,1/31/2011,55000,Foreclosure Proceedings
10428500,R,7/23/2013,51101,Foreclosure Proceedings
10429000,R,8/14/2013,77500,Foreclosure Proceedings
10433800,R,3/10/2011,25000,Foreclosure Proceedings
10441225,R,10/27/2011,95000,Foreclosure Proceedings
10444000,R,1/7/2011,22000,Foreclosure Proceedings
10445500,R,8/8/2012,51500,Foreclosure Proceedings
10467200,R,6/15/2011,344400,Foreclosure Proceedings
10468150,R,8/5/2013,68000,Foreclosure Proceedings
10474700,R,3/19/2014,78000,Foreclosure Proceedings
10478637,R,4/20/2011,83300,Foreclosure Proceedings
10478653,R,4/24/2012,76000,Foreclosure Proceedings
10481901,R,1/16/2014,130000,Foreclosure Proceedings
10482830,R,9/21/2012,56100,Foreclosure Proceedings
10488050,R,7/16/2012,72500,Foreclosure Proceedings
10495101,R,7/24/2012,26501,Foreclosure Proceedings
10502006,M,2/20/2014,65000,Foreclosure Proceedings
10505000,R,1/11/2013,96200,Foreclosure Proceedings
10514450,R,12/12/2013,60000,Foreclosure Proceedings
10527900,R,3/24/2011,15000,Foreclosure Proceedings
10544600,R,8/13/2013,38000,Foreclosure Proceedings
10570100,R,4/18/2013,54500,Foreclosure Proceedings
10574051,R,3/17/2014,48369,Foreclosure Proceedings
10579950,R,3/4/2011,55500,Foreclosure Proceedings
10581700,R,4/25/2014,4250,Foreclosure Proceedings
10586400,R,3/18/2011,26000,Foreclosure Proceedings
10602799,R,3/9/2011,70100,Foreclosure Proceedings
10615850,R,12/14/2012,44050,Foreclosure Proceedings
10638875,R,7/8/2013,60000,Foreclosure Proceedings
10653850,R,2/18/2011,51500,Foreclosure Proceedings
10720500,R,2/28/2013,28000,Foreclosure Proceedings
10723250,R,8/17/2012,68400,Foreclosure Proceedings
10725000,R,5/9/2013,12000,Foreclosure Proceedings
10735270,R,3/14/2014,89900,Foreclosure Proceedings
10740700,C,5/31/2011,800000,Foreclosure Proceedings
10741900,R,12/20/2011,69901,Foreclosure Proceedings
10752500,R,6/12/2013,23500,Foreclosure Proceedings
10756125,M,10/15/2013,92289,Foreclosure Proceedings
10760000,R,5/31/2011,52500,Foreclosure Proceedings
10766200,R,4/25/2013,70000,Foreclosure Proceedings
10767900,R,9/21/2012,84000,Foreclosure Proceedings
10777700,R,6/14/2012,45100,Foreclosure Proceedings
