id,y_2010,y_2012
2,3.42,2.42
3,13.56,13.56
4,2.05,2.05
5,0.00,0.00
6,2.71,1.71
7,2.24,2.24
8,3.19,4.19
9,0.59,0.59
10,6.51,6.51
11,1.73,1.73
12,1.50,1.50
13,3.19,3.19
14,1.28,1.28
15,0.08,0.08
16,2.13,3.13
17,3.93,4.93
18,3.96,4.96
19,1.18,1.18
20,0.00,0.00
21,1.11,1.11
22,6.12,7.12
23,0.00,0.00
24,0.00,0.00
25,0.00,0.00
26,0.00,0.00
27,2.34,2.34
28,0.00,0.00
29,1.23,1.23
30,2.42,2.42
31,0.89,0.89
32,2.90,2.90
33,2.86,2.86
34,0.00,0.00
35,0.00,0.00
36,1.04,1.04
37,0.00,0.00
38,1.10,1.10
39,0.00,0.00
40,0.00,0.00
41,0.00,0.00
42,4.16,5.16
43,0.00,0.00
44,0.00,0.00
45,0.00,0.00
46,1.96,0.96
47,0.61,0.61
48,0.00,0.00
49,1.92,1.92
50,1.02,1.02
51,0.00,0.00
52,1.89,1.89
53,2.02,2.02
54,1.74,1.74
55,0.00,0.00
56,0.00,0.00
57,0.00,0.00
58,0.39,0.39
59,0.00,0.00
60,2.92,3.92
61,0.00,0.00
62,0.00,0.00
63,0.00,0.00
64,2.83,3.83
65,0.00,0.00
66,1.01,1.01
67,0.00,0.00
68,1.02,1.02
69,0.63,0.63
70,1.36,1.36
71,0.00,0.00
72,1.47,1.47
73,1.84,2.84
74,1.37,1.37
75,0.00,0.00
76,0.00,0.00
77,0.00,0.00
78,0.00,0.00
79,0.00,0.00
80,1.49,1.49
81,0.00,0.00
82,0.00,0.00
83,0.00,0.00
84,0.86,0.86
85,3.86,2.86
86,0.00,0.00
87,0.00,0.00
88,2.60,1.60
89,0.00,0.00
90,1.78,2.78
91,0.00,0.00
92,3.60,3.60
93,1.15,1.15
94,1.03,1.03
95,1.05,1.05
96,0.00,0.00
97,0.00,0.00
98,0.00,0.00
99,0.00,0.00
100,0.00,0.00
101,0.00,0.00
102,0.00,0.00
103,0.00,0.00
104,0.00,0.00
105,0.00,0.00
106,1.00,1.00
107,0.00,0.00
108,0.00,0.00
109,0.00,0.00
110,0.00,0.00
111,0.00,0.00
112,0.00,0.00
113,0.00,0.00
114,0.00,0.00
115,0.00,0.00
116,1.56,1.56
117,4.85,4.85
118,1.13,1.13
119,0.00,0.00
120,0.62,0.62
121,0.86,0.86
122,0.00,0.00
123,0.45,0.45
124,0.54,0.54
125,0.38,0.38
126,0.00,0.00
127,0.17,0.17
128,0.00,0.00
129,0.00,0.00
130,0.00,0.00
131,0.00,0.00
132,1.64,1.64
133,0.77,0.77
134,0.00,0.00
135,0.00,0.00
136,0.00,0.00
137,0.00,0.00
138,0.00,0.00
139,0.22,0.22
140,0.53,0.53
141,0.00,0.00
142,0.00,0.00
143,0.00,0.00
144,0.00,0.00
145,0.00,0.00
146,0.00,0.00
147,0.00,0.00
148,0.00,0.00
149,0.00,0.00
150,4.80,5.80
151,0.00,0.00
152,0.00,0.00
153,0.00,0.00
154,2.40,3.40
155,0.00,0.00
156,0.00,0.00
157,3.74,3.74
158,0.00,0.00
159,0.00,0.00
160,0.14,0.14
161,0.00,0.00
162,0.00,0.00
163,2.60,2.60
164,3.35,2.35
165,0.00,0.00
166,0.00,0.00
167,0.90,0.90
168,0.00,0.00
169,0.00,0.00
170,0.00,0.00
171,5.80,4.80
172,0.00,0.00
173,0.00,0.00
174,2.28,3.28
175,0.00,0.00
176,0.00,0.00
177,0.00,0.00
178,2.75,2.75
179,0.00,0.00
180,0.34,0.34
181,1.01,1.01
182,1.17,1.17
183,0.00,0.00
184,1.08,1.08
185,0.00,0.00
186,0.00,0.00
187,0.00,0.00
188,0.00,0.00
189,0.00,0.00
190,0.00,0.00
191,0.00,0.00
192,0.00,0.00
193,0.00,0.00
194,0.00,0.00
195,0.00,0.00
196,0.61,0.61
197,0.00,0.00
198,1.18,1.18
199,0.00,0.00
200,1.04,1.04
201,1.03,1.03
202,0.00,0.00
203,0.00,0.00
204,0.00,0.00
205,0.00,0.00
206,0.00,0.00
207,0.00,0.00
208,0.00,0.00
209,0.00,0.00
210,0.00,0.00
211,0.00,0.00
212,0.00,0.00
213,0.00,0.00
215,0.87,0.87
216,0.00,0.00
217,0.00,0.00
218,0.00,0.00
219,0.00,0.00
220,0.00,0.00
221,0.00,0.00
222,0.00,0.00
223,0.00,0.00
224,0.00,0.00
225,0.00,0.00
226,0.00,0.00
227,0.00,0.00
228,0.00,0.00
229,0.00,0.00
230,0.00,0.00
231,3.42,3.42
232,0.00,0.00
233,0.00,0.00
234,1.78,1.78
235,0.00,0.00
236,0.00,0.00
237,0.00,0.00
238,0.00,0.00
240,0.49,0.49
241,0.27,0.27
242,0.00,0.00
243,0.00,0.00
244,0.00,0.00
245,0.00,0.00
246,0.75,0.75
247,1.02,1.02
248,0.00,0.00
249,0.00,0.00
250,0.00,0.00
251,0.00,0.00
252,0.00,0.00
253,0.00,0.00
254,1.02,1.02
255,0.00,0.00
256,0.00,0.00
257,0.00,0.00
258,0.00,0.00
259,0.00,0.00
260,0.63,0.63
261,0.00,0.00
262,0.00,0.00
263,0.00,0.00
264,0.00,0.00
265,0.00,0.00
266,0.00,0.00
267,0.00,0.00
268,0.00,0.00
269,0.00,0.00
