id,y_2010,y_2012
2,47.3,55.3
3,51.5,63.5
4,96.5,68.5
5,26.9,22.9
6,36.3,26.3
7,98.4,76.4
8,55.3,68.3
9,53.8,69.8
10,41.5,30.5
11,70.3,90.3
12,15.4,16.4
13,27.7,32.7
14,41.1,53.1
15,91.2,97.2
16,50.9,53.9
17,52.6,46.6
18,43.8,42.8
19,86.3,84.3
20,71.1,92.1
21,16.7,11.7
22,35.7,25.7
23,34.6,24.6
24,56.7,39.7
25,89.0,87.0
26,92.4,88.4
27,77.5,99.5
28,75.8,54.8
29,90.3,106.3
30,6.6,8.6
31,93.6,65.6
32,78.3,88.3
33,2.6,2.6
34,69.0,52.0
35,78.3,72.3
36,88.3,86.3
37,39.6,45.6
38,89.1,96.1
39,80.9,64.9
40,50.1,36.1
41,74.6,56.6
42,63.2,80.2
43,60.8,62.8
44,27.4,33.4
45,90.3,114.3
46,39.2,32.2
47,3.7,4.7
48,77.9,95.9
49,75.7,95.7
50,32.7,41.7
51,52.6,66.6
52,12.2,14.2
53,40.9,28.9
54,64.2,71.2
55,88.2,70.2
56,61.0,75.0
57,30.7,25.7
58,48.0,38.0
59,35.6,33.6
60,6.7,7.7
61,51.8,50.8
62,,
63,,
64,22.6,29.6
65,0.7,0.7
66,11.7,9.7
67,5.0,6.0
68,48.2,58.2
69,47.4,33.4
70,67.0,60.0
71,17.6,15.6
72,81.0,73.0
73,81.0,102.0
74,67.3,87.3
75,89.3,64.3
76,91.5,64.5
77,52.6,36.6
78,59.8,62.8
79,0.7,0.7
80,22.3,17.3
81,84.6,61.6
82,86.7,92.7
83,70.2,52.2
84,76.6,93.6
85,30.3,39.3
86,5.7,4.7
87,40.5,34.5
88,53.8,63.8
89,73.7,54.7
90,29.5,24.5
91,68.5,48.5
92,26.6,20.6
93,0.2,0.2
94,67.3,76.3
95,48.1,36.1
96,55.5,71.5
97,67.1,57.1
98,86.0,109.0
99,87.7,112.7
100,57.5,74.5
101,12.8,12.8
102,38.5,34.5
103,33.3,30.3
104,17.1,18.1
105,82.7,106.7
106,4.1,5.1
107,20.6,17.6
108,87.3,73.3
109,68.5,75.5
110,59.5,44.5
111,63.4,58.4
112,75.8,59.8
