id,y_2010,y_2012
2,100.0,72.0
3,99.8,73.8
4,17.5,22.5
5,100.0,125.0
6,88.2,103.2
7,84.3,89.3
8,100.0,121.0
9,100.0,80.0
10,100.0,74.0
11,100.0,130.0
12,100.0,93.0
13,68.7,59.7
14,73.1,94.1
15,60.8,50.8
16,74.5,55.5
17,92.9,103.9
18,92.8,97.8
19,95.2,100.2
20,99.8,77.8
21,99.9,129.9
22,100.0,129.0
23,99.5,113.5
24,98.1,109.1
25,43.9,51.9
26,0.0,0.0
27,100.0,86.0
28,38.5,28.5
29,83.0,75.0
30,100.0,98.0
31,34.7,24.7
32,100.0,98.0
33,0.7,0.7
34,81.2,95.2
35,11.2,9.2
36,82.1,64.1
37,100.0,70.0
38,64.6,45.6
39,94.0,93.0
40,93.4,67.4
41,100.0,121.0
42,82.4,70.4
43,2.0,1.0
44,74.9,65.9
45,9.8,6.8
46,66.6,86.6
47,100.0,94.0
48,99.5,71.5
49,95.5,73.5
50,100.0,71.0
51,100.0,125.0
52,100.0,130.0
53,99.8,118.8
54,93.2,91.2
55,77.0,54.0
56,91.6,91.6
57,100.0,116.0
58,100.0,130.0
59,1.4,1.4
60,66.7,56.7
61,95.2,69.2
62,,
63,0.0,0.0
64,78.3,58.3
65,100.0,109.0
66,99.0,105.0
67,100.0,71.0
68,22.0,17.0
69,51.7,64.7
70,100.0,129.0
71,100.0,95.0
72,47.4,34.4
73,8.0,8.0
74,100.0,80.0
75,25.9,32.9
76,32.3,39.3
77,96.7,122.7
78,29.4,28.4
79,100.0,108.0
80,48.7,39.7
81,98.7,91.7
82,100.0,70.0
83,22.9,21.9
84,55.3,68.3
85,100.0,72.0
86,100.0,112.0
87,100.0,80.0
88,100.0,74.0
89,98.4,80.4
90,100.0,129.0
91,98.5,89.5
92,2.5,2.5
93,100.0,119.0
94,100.0,70.0
95,1.3,1.3
96,100.0,130.0
97,62.3,46.3
98,86.6,61.6
99,100.0,87.0
100,99.9,69.9
101,66.3,65.3
102,49.9,53.9
103,5.2,6.2
104,98.4,71.4
105,96.6,67.6
106,100.0,129.0
107,100.0,82.0
108,98.4,81.4
109,35.6,43.6
110,51.6,53.6
111,0.1,0.1
112,53.0,68.0
113,42.4,48.4
114,83.5,58.5
115,91.4,118.4
116,82.4,58.4
117,31.7,39.7
118,78.6,60.6
119,99.8,75.8
120,100.0,81.0
121,83.9,68.9
122,,
123,98.3,96.3
124,100.0,76.0
125,47.6,41.6
126,100.0,72.0
127,63.0,46.0
128,100.0,117.0
129,98.7,97.7
130,77.8,92.8
131,100.0,127.0
132,100.0,76.0
133,100.0,86.0
134,100.0,82.0
135,100.0,94.0
136,77.9,61.9
137,80.5,77.5
138,100.0,82.0
139,49.6,34.6
140,76.5,54.5
141,64.1,83.1
142,99.1,96.1
143,25.5,32.5
144,90.8,115.8
145,100.0,130.0
146,85.5,109.5
147,43.7,30.7
148,93.5,121.5
149,79.2,100.2
150,100.0,70.0
151,98.3,87.3
152,74.2,79.2
153,73.8,83.8
154,100.0,70.0
155,69.6,78.6
156,8.0,10.0
157,99.8,121.8
158,89.3,83.3
159,100.0,130.0
160,91.6,117.6
161,100.0,99.0
162,98.1,86.1
163,100.0,130.0
164,79.8,85.8
165,55.8,66.8
166,100.0,101.0
167,98.9,115.9
168,61.9,79.9
169,58.3,54.3
170,95.6,117.6
171,0.0,0.0
172,87.8,113.8
173,16.6,13.6
174,57.5,65.5
175,63.1,53.1
176,41.7,29.7
177,98.7,68.7
178,97.6,93.6
179,94.1,78.1
180,100.0,102.0
181,96.7,123.7
182,100.0,98.0
183,96.0,75.0
184,100.0,105.0
185,33.7,42.7
186,100.0,109.0
187,23.0,18.0
188,67.3,79.3
189,0.0,0.0
190,76.8,94.8
191,96.4,67.4
192,90.5,113.5
193,74.8,93.8
194,85.5,108.5
195,0.0,0.0
196,99.0,113.0
197,61.9,66.9
198,55.1,61.1
199,48.4,48.4
200,100.0,123.0
201,77.4,55.4
202,100.0,70.0
203,0.0,0.0
204,83.1,102.1
205,16.9,19.9
206,14.7,11.7
207,99.1,103.1
208,33.1,41.1
209,98.4,72.4
210,39.5,37.5
211,100.0,83.0
212,99.8,84.8
213,39.6,29.6
215,94.8,68.8
216,79.8,78.8
217,26.7,27.7
218,100.0,123.0
219,75.0,96.0
220,85.5,106.5
221,100.0,70.0
222,87.1,76.1
223,100.0,121.0
224,100.0,113.0
225,75.4,71.4
226,56.4,40.4
227,0.0,0.0
228,0.6,0.6
229,24.8,17.8
230,100.0,129.0
231,75.3,94.3
232,0.0,0.0
233,97.4,121.4
234,83.3,78.3
235,99.6,80.6
236,90.3,114.3
