id,y_2010,y_2012
2,2,1
3,3,4
4,0,0
5,0,0
6,4,5
7,0,0
8,0,0
9,1,1
10,5,6
11,1,1
12,1,1
13,1,1
14,2,3
15,2,2
16,5,6
17,8,10
18,0,0
19,2,1
20,1,1
21,1,1
22,1,1
23,1,1
24,0,0
25,0,0
26,0,0
27,1,1
28,0,0
29,1,1
30,1,1
31,0,0
32,0,0
33,0,0
34,1,1
35,0,0
36,2,2
37,3,4
38,0,0
39,2,3
40,0,0
41,0,0
42,0,0
43,1,1
44,0,0
45,0,0
46,2,2
47,0,0
48,1,1
49,1,1
50,3,4
51,2,2
52,1,1
53,8,10
54,1,1
55,0,0
56,0,0
57,1,1
58,3,3
59,1,1
60,0,0
61,1,1
62,0,0
63,0,0
64,2,1
65,0,0
66,0,0
67,0,0
68,1,1
69,0,0
70,1,1
71,2,3
72,0,0
73,2,1
74,0,0
75,0,0
76,1,1
77,2,2
78,0,0
79,0,0
80,1,1
81,1,1
82,1,1
83,1,1
84,0,0
85,2,2
86,1,1
87,0,0
88,5,6
89,1,1
90,4,3
91,4,5
92,1,1
93,1,1
94,0,0
95,1,1
96,5,5
97,0,0
98,0,0
99,1,1
100,2,1
101,1,1
102,5,4
103,1,1
104,1,1
105,1,1
106,0,0
107,1,1
108,2,2
109,1,1
110,0,0
111,2,2
112,1,1
113,3,4
114,2,1
115,3,4
116,4,4
117,5,6
118,3,2
119,1,1
120,5,6
121,4,4
122,0,0
123,4,5
124,8,9
125,4,5
126,0,0
127,2,1
128,1,1
129,0,0
130,0,0
131,1,1
132,0,0
133,0,0
134,2,3
135,0,0
136,0,0
137,0,0
138,2,3
139,6,8
140,3,4
141,2,3
142,2,2
143,0,0
144,1,1
145,0,0
146,2,2
147,1,1
148,0,0
149,0,0
150,5,5
151,2,2
152,1,1
153,0,0
154,1,1
155,3,2
156,1,1
157,2,2
158,2,2
159,1,1
160,6,6
161,0,0
162,2,3
163,1,1
164,2,2
165,1,1
166,3,4
167,0,0
168,3,3
169,0,0
170,0,0
171,0,0
172,0,0
173,2,3
174,2,1
175,0,0
176,2,2
177,0,0
178,1,1
179,2,2
180,2,2
181,2,2
182,2,3
183,1,1
184,0,0
185,0,0
186,2,2
187,1,1
188,1,1
189,0,0
190,1,1
191,0,0
192,3,3
193,0,0
194,0,0
195,1,1
196,1,1
197,0,0
198,0,0
199,1,1
200,0,0
201,0,0
202,3,3
203,0,0
204,0,0
205,0,0
206,0,0
207,1,1
208,0,0
209,1,1
210,0,0
211,1,1
212,2,2
213,0,0
215,0,0
216,1,1
217,0,0
218,1,1
219,0,0
220,2,2
221,3,3
222,0,0
223,6,6
224,1,1
225,0,0
226,0,0
227,3,2
228,0,0
229,4,4
230,1,1
231,0,0
232,1,1
233,2,3
234,3,4
235,0,0
236,0,0
237,3,3
238,2,2
240,1,1
241,0,0
242,1,1
243,0,0
244,2,3
245,0,0
246,1,1
247,0,0
248,0,0
249,2,2
250,0,0
251,1,1
252,0,0
253,0,0
254,4,4
255,0,0
256,1,1
257,1,1
258,3,4
259,2,3
260,5,4
261,1,1
262,0,0
263,0,0
264,0,0
265,4,3
266,1,1
267,2,1
268,1,1
269,1,1
270,0,0
271,2,2
272,0,0
273,1,1
274,1,1
275,2,2
276,0,0
277,2,3
278,0,0
279,0,0
280,0,0
281,1,1
282,2,2
283,2,1
284,1,1
285,0,0
286,0,0
287,1,1
288,2,1
289,1,1
290,2,2
291,1,1
292,2,2
293,1,1
294,3,2
295,2,2
296,1,1
297,0,0
298,3,3
299,3,3
300,0,0
301,4,3
302,0,0
303,1,1
304,0,0
305,1,1
306,1,1
307,9,7
308,0,0
309,0,0
310,3,3
311,3,3
312,4,3
313,1,1
314,5,5
315,2,3
316,7,7
317,0,0
318,0,0
319,6,6
320,0,0
321,3,2
322,2,2
323,9,8
324,0,0
325,4,5
326,0,0
327,2,2
328,2,3
329,1,1
330,1,1
331,1,1
332,0,0
333,7,6
334,2,2
335,1,1
336,3,3
337,0,0
338,0,0
339,0,0
340,3,2
341,0,0
342,0,0
343,2,2
344,2,3
345,1,1
346,4,3
347,1,1
348,2,1
349,0,0
350,0,0
351,0,0
352,1,1
353,0,0
354,2,2
355,3,3
356,0,0
357,4,5
358,0,0
359,1,1
360,4,3
361,2,3
362,4,5
363,2,3
364,1,1
365,1,1
366,0,0
367,6,7
368,3,4
369,4,4
370,0,0
371,15,11
372,2,2
373,2,2
374,3,4
375,0,0
376,4,5
377,4,5
378,2,2
379,1,1
380,0,0
381,0,0
382,3,3
383,2,3
384,2,2
385,6,7
386,1,1
387,3,3
388,2,2
389,6,4
390,2,2
391,0,0
392,3,3
393,5,6
394,1,1
395,0,0
396,1,1
397,1,1
398,0,0
399,0,0
400,0,0
401,0,0
402,0,0
403,1,1
404,1,1
405,1,1
406,3,2
407,0,0
408,1,1
409,1,1
410,0,0
411,1,1
412,1,1
413,0,0
416,1,1
417,0,0
418,1,1
419,0,0
420,1,1
421,0,0
422,1,1
423,0,0
424,0,0
425,0,0
426,1,1
428,0,0
430,1,1
431,0,0
432,1,1
433,0,0
434,0,0
435,1,1
436,0,0
437,0,0
438,0,0
442,1,1
443,0,0
444,0,0
445,1,1
446,1,1
447,0,0
448,2,2
449,0,0
450,0,0
451,0,0
452,2,2
453,1,1
454,0,0
455,0,0
456,1,1
457,0,0
458,0,0
459,1,1
460,2,2
462,0,0
463,2,2
464,0,0
465,0,0
466,1,1
467,1,1
468,0,0
469,0,0
470,0,0
471,0,0
472,0,0
473,1,1
474,0,0
475,0,0
