id,y_2010,y_2012
2,5.3,6.3
3,6.9,5.9
4,11.4,10.4
5,4.7,3.7
6,5.3,3.3
7,16.1,16.1
8,6.1,8.1
9,4.3,5.3
10,4.6,3.6
11,7.2,8.2
12,,
13,5.2,6.2
14,5.9,6.9
15,7.5,7.5
16,5.9,3.9
17,6.6,7.6
18,9.7,10.7
19,7.5,5.5
20,6.5,4.5
21,4.5,4.5
22,5.3,5.3
23,5.9,4.9
24,5.7,6.7
25,10.1,12.1
26,,
27,6.8,7.8
28,9.6,8.6
29,9.1,9.1
30,5.1,4.1
31,9.5,7.5
32,4.3,3.3
33,,
34,6.1,8.1
35,6.1,5.1
36,7.2,5.2
37,4.9,4.9
38,7.1,5.1
39,6.3,4.3
40,5.5,4.5
41,7.1,5.1
42,10.8,13.8
43,9.2,6.2
44,13.1,15.1
45,7.6,5.6
46,7.3,8.3
47,11.3,10.3
48,6.1,6.1
49,5.9,5.9
50,6.9,7.9
51,5.4,6.4
52,5.1,4.1
53,7.3,5.3
54,6.2,8.2
55,8.1,6.1
56,10.4,10.4
57,6.9,7.9
58,7.2,5.2
59,6.1,4.1
60,,
61,6.6,6.6
62,,
63,,
64,6.8,4.8
65,,
66,,
67,,
68,7.2,6.2
69,13.8,15.8
70,5.3,5.3
71,6.9,7.9
72,7.3,9.3
73,5.5,7.5
74,6.8,7.8
75,18.0,21.0
76,7.2,5.2
77,6.3,6.3
78,6.2,8.2
79,,
80,4.3,5.3
81,7.2,8.2
82,8.5,6.5
83,,
84,6.9,8.9
85,5.1,4.1
86,,
87,4.6,5.6
88,5.0,4.0
89,6.5,5.5
90,5.8,4.8
91,7.2,9.2
92,3.8,3.8
93,,
94,7.3,9.3
95,6.8,4.8
96,6.5,4.5
97,6.8,6.8
98,5.5,4.5
99,6.3,4.3
100,5.5,5.5
101,6.5,8.5
102,6.3,7.3
103,5.3,6.3
104,6.6,7.6
105,5.9,7.9
106,5.0,6.0
107,5.5,5.5
108,6.3,7.3
109,11.1,9.1
110,5.7,7.7
111,6.8,5.8
112,6.3,8.3
113,5.5,5.5
114,4.9,3.9
115,8.1,9.1
116,5.8,4.8
117,5.6,3.6
118,8.8,5.8
119,6.7,8.7
120,5.3,3.3
121,6.1,8.1
122,,
123,5.6,6.6
124,5.2,4.2
125,5.7,6.7
126,,
127,6.6,4.6
128,5.4,4.4
129,10.5,9.5
130,22.2,20.2
131,6.2,7.2
132,4.6,5.6
133,8.1,7.1
134,6.7,7.7
135,,
136,6.2,4.2
137,5.3,4.3
138,5.8,3.8
139,5.5,7.5
140,6.4,7.4
141,5.2,4.2
142,6.7,7.7
143,9.5,11.5
144,6.5,6.5
145,6.4,8.4
146,6.7,4.7
147,6.5,4.5
148,10.6,7.6
149,4.8,3.8
150,5.8,3.8
151,9.7,6.7
152,5.5,6.5
153,8.3,7.3
154,6.9,6.9
155,6.4,7.4
156,5.5,4.5
157,4.8,5.8
158,5.6,3.6
159,5.6,5.6
160,6.1,5.1
161,9.2,10.2
162,6.3,6.3
163,5.0,6.0
164,6.3,4.3
165,6.0,6.0
166,7.1,6.1
167,7.1,6.1
168,6.4,4.4
169,11.7,11.7
170,11.6,8.6
171,9.8,8.8
172,8.4,8.4
173,5.4,5.4
174,6.4,8.4
175,7.9,8.9
176,8.3,8.3
177,8.4,7.4
178,5.6,4.6
179,7.7,6.7
180,6.2,5.2
