id,y_2010,y_2012
2,12016,8506
3,7740,6582
4,1297,1401
5,7297,5596
6,9219,11172
7,3185,4097
8,1874,1601
9,6320,8130
10,8405,5923
11,3946,3383
12,4688,6070
13,3674,3262
14,1799,2296
15,498,572
16,3815,4950
17,2790,3627
18,2325,2180
19,1264,1442
20,1042,1343
21,8047,5689
22,10734,10749
23,4364,4616
24,2569,3340
25,778,587
26,772,693
27,1506,1769
28,5814,5567
29,853,707
30,8472,10675
31,500,573
32,6309,6971
33,5242,6310
34,3917,4897
35,3199,3765
36,2293,2292
37,7429,9647
38,4571,4022
39,2646,2939
40,6904,5540
41,1318,1574
42,1373,1162
43,2128,2153
44,2930,2121
45,497,645
46,2100,1479
47,2096,2247
48,4145,5288
49,2453,2779
50,3294,4260
51,5367,4665
52,10412,8335
53,4510,4648
54,3718,2652
55,1136,1216
56,11095,13530
57,5229,3780
58,4985,5605
59,4355,4267
60,5129,6310
61,5623,5494
62,0,0
63,376,445
64,3305,3905
65,2015,2006
66,8852,10336
67,4174,4959
68,2887,2581
69,2794,1974
70,13851,15704
71,3216,2783
72,37011,25910
73,3083,3653
74,5693,6836
75,671,804
76,1137,1214
77,2060,1556
78,3395,2387
79,2975,3858
80,2098,2663
81,1330,1507
82,1640,1322
83,2140,1677
84,2229,1829
85,7873,9778
86,2786,3414
87,2703,2695
88,6684,8492
89,2679,1910
90,5011,4854
91,2222,1916
92,4214,4238
93,4045,3603
94,8213,6058
95,3444,4120
96,6621,8275
97,929,933
98,1170,1072
99,1703,2175
100,6509,8387
101,3683,2592
102,4936,4812
103,4681,3292
104,3954,5023
105,1299,1416
106,11146,9592
107,4232,3021
108,2805,3350
109,8477,10985
110,2334,2482
111,1671,1825
112,2500,3247
113,3636,4656
114,4643,4523
115,906,789
116,8662,6536
117,2600,3234
118,863,874
119,6865,8849
120,6409,8262
121,6081,4830
122,,
123,4134,3360
124,37922,43246
125,5349,5334
126,,
127,3597,4415
128,5433,5663
129,916,983
130,2215,2774
131,886,634
132,3493,3435
133,1729,2213
134,4786,3403
135,7212,5396
136,1245,1614
137,5710,6108
138,16193,20634
139,4881,3579
140,6218,5568
141,14302,17998
142,10947,13589
143,680,830
144,,
145,,
146,3821,4865
147,4644,5400
148,466,604
