id,y_2010,y_2012
2,330,391
3,512,585
4,7,7
5,11,8
6,241,173
7,73,67
8,46,56
9,50,61
10,274,212
11,162,143
12,167,206
13,62,47
14,114,116
15,0,0
16,106,138
17,267,346
18,265,201
19,18,14
20,0,0
21,1070,750
22,201,171
23,0,0
24,863,1114
25,0,0
26,0,0
27,31,22
28,23,28
29,0,0
30,339,389
31,9,11
32,17,20
33,59,75
34,0,0
35,15,11
36,6,7
37,160,154
38,2,2
39,0,0
40,58,48
41,2,2
42,14,16
43,1,1
44,4,3
45,0,0
46,0,0
47,88,107
48,66,85
49,0,0
50,273,235
51,175,222
52,435,557
53,214,205
54,87,75
55,9,7
56,237,229
57,44,50
58,182,141
59,17,22
60,138,159
61,9,12
62,67,58
63,525,558
64,0,0
65,15,17
66,166,123
67,0,0
68,15,12
69,4,5
70,443,571
71,133,114
72,309,395
73,0,0
74,51,36
75,0,0
76,15,13
77,8,10
78,48,62
79,74,90
80,0,0
81,4,3
82,9,7
83,0,0
84,0,0
85,288,266
86,129,142
87,385,354
88,103,117
89,46,32
90,311,399
91,0,0
92,93,99
93,100,73
94,74,62
95,25,25
96,162,142
97,31,32
98,0,0
99,65,84
100,246,180
101,210,201
102,6,5
103,46,38
104,4,4
105,2,2
106,69,89
107,57,60
108,17,22
109,53,53
110,2,2
111,4,3
112,0,0
113,0,0
114,46,34
115,0,0
116,6135,7951
117,0,0
118,0,0
119,51,37
120,245,186
121,228,215
122,218,260
123,748,795
124,929,652
125,26,18
126,136,111
127,1077,1289
128,122,86
129,5,5
130,0,0
131,0,0
132,15,18
133,3,3
134,2,3
135,108,116
136,11,9
137,2,2
138,100,72
139,59,61
140,65,50
141,194,140
142,108,135
143,12,12
144,0,0
145,4,3
146,22,29
147,3,4
148,5,6
149,0,0
150,0,0
151,0,0
152,0,0
153,0,0
154,3,3
155,67,87
156,31,25
157,762,637
158,68,53
159,136,126
160,131,139
161,85,63
162,56,57
163,96,113
164,523,625
165,134,154
166,102,82
167,93,108
168,9,7
169,0,0
170,0,0
171,36,38
172,38,42
173,13,16
174,1,1
175,0,0
176,0,0
177,0,0
178,107,107
179,18,22
180,37,28
181,6,7
182,114,145
183,36,34
184,0,0
185,46,50
186,68,68
187,0,0
188,0,0
189,0,0
190,61,46
191,0,0
192,34,36
193,27,23
194,0,0
195,0,0
196,45,58
197,4,5
198,27,19
199,231,245
