id	p1	median_age	area	developed_land	residential_density	land_use_proximity	age_death	singlefamily_property_value	year_built	commercial_permits	commercial_year_built	gas_consumption	heated_sqft	commute_time	drive_alone	dropout_rate	change_residential_property_value	impervious_surface	unexcused_absences	transit_proximity	rental_units	foodstamps	foreclosures	employed_6_months	median_household_income	grocery_stores	medicaid	housing_units	part_time	new_building_permits	structures_in_floodplain	water_consumption	fire_calls	births_to_adolescents	growth_3_5	growth_6_8	growth_9_12	proficient_9_12	proficient_6_8	proficient_3_5	residential_reno_permits	north_carolina_health_choice	tree_canopy	bicycle_friendly	energy_consumption	adopt_a_stream	commercial_building_sqft	street_connectivity	juvenile_incidents	streets_adopted	nuisance_violations	animal_control	residents_on_committees	neighborhood_organizations	code_violations	near_public_outdoor_recreation	near_medicaid_or_free_clinic	property_crime	residential_recycling	sidewalks	violent_crime	registered_voters	voter_participation	white	black	asian	group_population	other_population	neighborhood_schools	owner_occupied	near_drugstore	public_transit	residential_vacant	no_highschool_diploma	rent	private_schools	grants	commercial_code_violations	commercial_property_value_change	preschool_programs	school_aged_programs	subsidized_housing	zoning_violations	waste_generation	residential_vacant_rate	residential_tree_canopy	hispanic
2	2039	30	411	94.8	2.6		62	164103	1947		1966	49	1476	19.5	76.1	3.9	3.1	23.4	13.6	100	21	25.7	1.1	12.3	34768	20.5	15.7	1083	41.5		22	5.3	0.034	6.2	74.2	53.1	41.2	56.5	62.9	53.5	10	11.4	65.1	1.6	992	0	499884	1.2	3793	3.42	140	119	0	2	6	100	35.5	12016	66.1	55.8	932	72.8	42.1	56.2	34.3	1.5	0.2	4.7	45.5	47.3	25	330	15	7.3	798	0				2	1	7.4		38	9.6	79.3	9.2
3	6563	38	1156	95.9	3.9		74	345761	1945	279100	1957	58	2204	10.7	75.9	1	2.1	36.9	7.8	100	15.8	5.7	0.7	5.4	64895	60.5	5.4	4369	44.5	23	29	6.9	0.057	3.8	77.1	68	60.6	90.6	78.3	75.5	76		34.3	2.2	973	38.6	8554082	1.6	515	13.56	673	241	14	7	11	99.8	40.6	7740	59	76	198	82.6	47.1	85.2	10.3	2.1	0.8	0.5	69.9	51.5	94.8	512	33	7.4	785	48				3	2	11.4		48.9	19.1	50.3	2.1
4	1002	49	332	94.3	1.2		84	711454	1971		1983	82	3670	14.3	85.7	0	4	19.8	2.8	100	9.6	0.6	0.3	0	155536	21.3	1.4	401	49.6	4	21	11.4	0.039	0	64.3	70.8	28.6	83.3	96.3	96	30		70.9	1.6	1928	41.8	4398	1.2	0	2.05	13	32	2	2	0	17.5	23.5	1297	75.3	19.4	0	99.9	66.1	93.8	1.6	3.5	0	0.4	84.1	96.5	15	7	17	0		35.6				0	0	0		51.7	5.8	73.4	0.9
5	603	22	167	74.3	2		55	64945	1959	6606	1961	51	1099	77.2	21.5	3.3	1	22.2	22.7	100	60.7	61	6	38	32679	34.9	35.5	332	77	1	11	4.7	0.043	13.3	52.4	48.3	45.5	47.1	50	45	2	4.3	50.6	1.5	867	0	496101	1.2	395	0	90	103	0	0	15	100	46.4	7297	29.5	25.6	2156	81.8	23.2	9.6	83.9	2	0	0.2	69.7	26.9	9.3	11	19	38.3	648	0				0	0	6		30.6	34.1	65.9	2.7
6	1638	27	403	90.3	2		70	71001	1948	2116	1965	50	1128	23.9	69.8	9.3	3.1	25.5	25.9	100	54.2	54	1.2	7	22158	81.3	35.2	825	63.5			5.3	0.046	13.5	56	55.3	62.1	46.2	42.3	51.3	9	5	47.9	1.7	1010	0	779227	1.3	792	2.71	447	294	0	1	30	88.2	70.9	9219	30.6	28.5	2747	83.1	27.5	16.3	79.3	1.1	0	1	66.6	36.3	86.5	241	57	19.5	764	0				4	4	5		25.6	21.8	68.2	3.8
7	1193	44	548	97.3	0.8		74	1334180	1978	2784	1987	137	5093	6.4	79.2	0	2.8	26.1	3.4	89.3	7.4			5.9	250001	42.8		420	60.7	4	3	16.1	0.086	0	72.7	82.4	28.6	75	100	88.9	15		47.6	1.5	3166	24	1582777	1.2	0	2.24	2	44	2	2	0	84.3	26.8	3185	79.9	43.2	0	99.9	62.8	96.6	0.4	1.8	0	0.3	97.7	98.4	36.8	73	24	0		76.9				0	1	0		48.2	5.9	57.1	1.3
8	1761	45	608	97.4	1.5		82	219654	1962		1982	58	1846	24.4	76	8.3	3.5	14.6	2.8	100	13	8.1	0.4	5.5	66107	12	6.9	901	43.6	1	43	6.1	0.047	0	60	81.8		85.7	75	86.4	12	2.1	49.5	1.3	909	26.5	28379	1.2	1282	3.19	74	75	0	3	1	100	20.4	1874	64	41.7	57	62.5	46.4	80.7	12	3.6	5.4	1.5	31.1	55.3	24.1	46	29	6.5	244	16				0	0	18.2		51.1	9.4	53.7	4.2
9	538	35	94	96	3.2		58	175070	1950		1949	46	1228	5.8	91.5	11.1	6.7	18.1	19.4	100	37.2	16.4	1.2	0	60750	98	13.9	305	41.5			4.3	0.026	3.1						50	8		73.5	1.7	934	0	39287	1.4	0	0.59	92	49	1	0	3	100	98.7	6320	51.9	37.3	372	74.1	32.6	74.5	18.4	2.4	5.4	2.8	35.3	53.8	99.7	50	13	7.4	1071	0				1	1	0		40.6	17.6	81	6.5
10	3355	35	553	96.5	2.9		67	101044	1952		1970	45	1140	28	72	4.3	4.7	22.3	19.3	100	39.5	36	1.4	11.8	27464	68.5	24.7	1599	63.8	1		4.6	0.044	4.2	44.8	62.5	68.3	55.9	54.2	44.4	15	5.5	54.2	1.6	909	0	394094	1.4	2212	6.51	640	391	0	1	35	100	42.9	8405	40.6	54.8	1490	69.7	34.1	35.5	52.3	4.4	3.1	4.6	53.2	41.5	79.6	274	42	31.7	591	3.6				5	5	2.6		30.4	13.7	69.4	9
11	2357	39	517	96.1	2.4		77	392996	1956	1000	1961	50	2121	3.1	89.2	0	4.5	25.7	3.1	100	13.8	1.6	0.4	7.7	88408	56.9	1.7	1209	34.1	5	72	7.2	0.015	0	78.8	73.8	76.9	100	95.4	94.6	48		46.4	1.8	1033	44.8	532734	1.3	176	1.73	65	103	5	1	1	100	42.8	3946	73.4	56.3	212	89.3	55.3	92.8	2.5	2.5	0	0.5	72.2	70.3	57.4	162	40	3.2	989	26.7				1	2	0		49	8.9	52.8	1.5
