"id","y_2010","y_2012"
2,2039,1906
3,6563,8529
4,1002,965
5,603,550
6,1638,1162
7,1193,1196
8,1761,2230
9,538,395
10,3355,3969
11,2357,2512
12,2496,3244
13,3348,3583
14,3669,2928
15,2010,1671
16,4587,3962
17,3047,2303
18,2968,2163
19,3480,2932
20,2975,3810
21,2622,1857
22,736,747
23,1100,872
24,1129,1153
25,2829,2003
26,2980,2293
27,2656,1927
28,946,1093
29,1172,1324
30,1204,856
31,1599,1983
32,317,349
33,1259,1083
34,1787,2265
35,1657,1878
36,2268,2554
37,1696,2181
38,2319,2989
39,2494,1767
40,2868,3275
41,1442,1011
42,2331,1877
43,1410,1384
44,819,1040
45,2617,2505
46,2238,2714
47,1002,1116
48,1761,1235
49,2405,2976
50,2823,3011
51,1211,1563
52,2017,2357
53,2727,2722
54,1587,1411
55,1937,1485
56,694,575
57,1071,1311
58,1324,1702
59,2388,3058
60,3334,4265
61,1156,1468
62,2011,1525
63,797,998
64,2360,1972
65,1638,1650
66,2587,1811
67,551,425
68,2667,3124
69,1181,1514
70,1249,1140
71,3265,4174
72,1278,1078
73,2854,2212
74,1089,978
75,1639,2087
76,1935,2276
77,4224,4839
78,1679,1562
79,1546,1319
80,2050,2599
81,1128,1211
82,1768,1240
83,1495,1334
84,628,478
85,1791,1758
86,2297,2910
87,1554,1644
88,1182,1537
89,1456,1869
90,1776,1854
91,2250,2798
92,1495,1845
93,1236,1154
94,1035,1199
95,1597,1574
96,3232,2277
97,3551,4355
98,2394,3111
99,1468,1708
100,1813,1492
101,1819,1680
102,1337,1732
103,1346,1011
104,1467,1905
105,847,859
106,1256,1415
107,1985,1628
108,1319,1574
109,2147,2559
110,1671,1287
111,2274,1841
112,1280,1252
113,3630,4400
114,1206,886
115,3312,2916
116,2817,3083
117,3308,2331
118,1159,1496
119,1311,1017
120,1451,1489
121,2072,2618
122,,
123,2443,2047
124,1809,2222
125,2935,2495
126,13,13
127,2613,2226
128,2503,2581
129,2184,1913
130,1535,1945
131,1806,2280
132,458,340
133,983,793
134,794,574
135,1248,1528
136,1848,1804
137,1839,1471
138,704,912
139,1475,1321
140,2557,2594
141,881,1104
142,2366,1870
143,1323,1030
144,2055,1880
145,1875,2407
146,1701,1531
147,2024,2419
148,2146,2462
149,643,686
150,1758,1660
151,3227,2377
152,742,773
153,3753,3635
154,2920,2814
155,2383,2685
156,2958,3815
157,1531,1205
158,3368,2454
159,909,1129
160,2707,3484
161,2548,3272
162,1822,1536
163,818,1062
164,3664,3673
165,1991,1736
166,946,839
167,765,647
168,1430,1501
169,1972,2433
170,1722,1270
171,853,1003
172,2538,2686
173,952,936
174,1584,1797
175,1741,1929
176,2961,2086
177,1979,2035
178,1824,1501
179,1581,1931
180,1220,973
181,2516,3253
182,737,881
183,805,631
184,1263,1390
185,2748,3525
186,2356,2930
187,959,867
188,1494,1916
189,956,692
190,915,794
191,2273,1928
192,1820,2035
193,1209,1532
194,2810,3617
195,2120,1486
196,1961,1681
197,2403,1693
198,1328,935
199,2742,2792
200,588,682
201,2716,2472
202,2212,1607
203,1612,1343
204,1332,980
205,882,1095
206,1297,1035
207,1617,1947
208,1885,2162
209,2707,3516
210,1441,1863
211,2380,1735
212,1278,1130
213,1680,1241
215,819,918
216,779,997
217,1208,1248
218,2619,2674
219,1653,1724
220,1692,1686
221,2138,2563
222,1522,1120
223,1875,2396
224,2226,1587
225,940,767
226,744,583
227,2414,2355
228,621,607
229,2096,1472
230,1769,2197
231,1662,1166
232,2515,3262
233,2381,3000
234,3678,4748
235,1933,2017
236,1338,940
237,2294,2792
238,2220,2859
240,1495,1491
241,1859,1353
242,1521,1938
243,105,81
244,1826,1451
245,1287,1660
246,2084,2545
247,1002,1111
248,1601,1600
249,1262,1628
250,1632,1867
251,1489,1490
252,935,1215
253,2061,2672
254,495,405
255,2702,3157
256,2182,1745
257,2843,3589
258,2907,2619
259,2431,2593
260,3514,3193
261,2224,1741
262,3019,2118
263,2349,2210
264,1845,2066
265,1514,1083
266,2673,3310
267,4044,5242
268,1735,1279
269,2628,2311
270,1321,1640
271,1163,1245
272,1388,1616
273,1657,2055
274,971,681
275,2047,2334
276,1871,2155
277,1329,1124
278,1222,1214
279,1430,1001
280,1899,1755
281,984,703
282,1345,1581
283,2530,2224
284,964,803
285,1,1
286,698,656
287,2590,2244
288,2099,1927
289,3435,2485
290,539,455
291,1807,1462
292,1086,1376
293,727,789
294,909,693
295,1328,1667
296,1248,1481
297,453,510
298,1440,1082
299,2541,3259
300,1116,1047
301,1910,1347
302,2909,2165
303,1825,2372
304,564,397
305,800,607
306,1335,1652
307,2864,2578
308,942,1220
309,1586,2061
310,2372,2715
311,1153,870
312,1405,1279
313,1634,2096
314,2422,2261
315,546,702
316,3793,2739
317,768,650
318,1612,1946
319,2989,3850
320,945,990
321,1121,788
322,1217,1074
323,2518,2036
324,1635,2108
325,2565,2875
326,935,719
327,1658,1386
328,1043,1341
329,1895,2457
330,1988,2263
331,725,911
332,1368,1062
333,2813,3557
334,725,645
335,2951,3782
336,3350,2585
337,1837,1958
338,1141,937
339,666,478
340,5621,6214
341,4182,5430
342,443,338
343,1290,1339
344,1317,1133
345,872,1129
346,2514,3266
347,590,415
348,3083,2880
349,1928,1684
350,1474,1037
351,1010,766
352,2379,3068
353,2405,1718
354,1937,1571
355,1894,2462
356,4416,4899
357,2139,2776
358,3051,2620
359,2129,1599
360,3956,3467
361,994,700
362,2875,3732
363,2340,1641
364,2426,1941
365,1217,1467
366,662,465
367,4053,4431
368,2839,2058
369,1197,1222
370,2652,2636
371,7442,7298
372,11123,13868
373,2386,2737
374,2269,2487
375,2481,1853
376,3635,3816
377,4982,3562
378,3993,5014
379,4029,2986
380,5426,6918
381,2933,3585
382,2762,3505
383,3722,2831
384,2243,2252
385,4524,3325
386,1556,1622
387,2503,3197
388,1473,1633
389,8893,9119
390,1397,1370
391,2285,1805
392,8781,10276
393,4919,3453
394,2546,3272
395,1506,1772
396,2526,1965
397,1500,1322
398,464,439
399,1862,1745
400,2478,3187
401,2089,2255
402,1547,1260
403,1627,1766
404,1865,1673
405,3175,2897
406,2051,2639
407,1703,2069
408,2975,2087
409,2484,2771
410,1290,985
411,1392,1701
412,604,644
413,3581,2507
416,1279,1660
417,1904,2418
418,3100,2683
419,3025,3350
420,2485,1749
421,1193,1348
422,1878,2415
423,1847,2071
424,1479,1069
425,1158,1404
426,1982,1921
428,1478,1068
430,2460,1888
431,1778,2148
432,2632,1855
433,998,1288
434,2447,2456
435,625,785
436,1678,1893
437,2124,1752
438,612,781
442,1930,2230
443,1672,1827
444,2341,2531
445,2796,3496
446,1271,965
447,2139,1637
448,2476,2786
449,2014,2496
450,3414,3248
451,3202,2254
452,1379,1006
453,1863,1336
454,1746,1248
455,1996,2594
456,1118,1161
457,1046,799
458,1092,1360
459,2626,1853
460,2730,1924
462,1860,1422
463,2149,2586
464,3172,2394
465,1282,1401
466,2349,3033
467,1921,1416
468,1665,2096
469,1750,1882
470,1770,1365
471,2469,1841
472,1140,1406
473,1879,1761
474,2173,2229
