id,y_2010,y_2012
2,11.79,13.29
3,46.15,52.91
4,7.34,7.76
5,3.41,3.91
6,10.18,11.48
7,8.99,9.49
8,9.8,9.93
9,3.4,3.37
10,18.12,19.63
11,16.09,16.84
12,8.26,9.96
13,13.61,14.58
14,17.16,17.12
15,14.5,15.16
16,22.24,24.46
17,18.22,20.11
18,17.99,19.48
19,26.29,27.29
20,18.82,19.33
21,7.59,10.28
22,4.14,5.44
23,5.23,6.34
24,5.12,5.18
25,19.47,20.6
26,18.3,18.9
27,11.14,12.84
28,6.56,7.56
29,9.01,9.38
30,4.58,7.31
31,12.16,12.61
32,2.26,2.39
33,3.43,3.63
34,8.94,10.73
35,8.85,10.96
36,16.02,16.56
37,10.18,11.43
38,14.02,15.27
39,12.87,15.13
40,10.87,14.13
41,8.72,9.09
42,15.5,16.31
43,8.67,9.4
44,4.4,4.91
45,12.98,16.3
46,10.35,12.21
47,4.22,5.69
48,8.07,9.43
49,12.34,13.36
50,9.2,9.83
51,8.3,10.57
52,4.84,6.23
53,12.5,14.08
54,5.29,6.08
55,12.15,13.23
56,4.4,4.61
57,4.39,4.74
58,5.75,6.18
59,11.31,11.18
60,7.72,11.45
61,5.86,6.59
62,4.48,13.02
64,15.03,17.51
65,4.89,6.75
66,8.06,8.75
67,1.41,2.21
68,14.39,14.87
69,7.23,7.66
70,10.5,11.55
71,7.15,9.9
72,7.73,9.99
73,14.78,16.2
74,7.08,7.56
75,9.06,10.31
76,11.36,14.29
77,17.26,23.17
78,8.97,10.63
79,2.17,2.95
80,6.15,8.47
81,6.25,6.7
82,8.92,11.26
83,5.04,5.57
84,3.43,3.31
85,10.68,12.02
86,4.28,6.32
87,6.73,6.8
88,6.58,7.68
89,8.16,8.45
90,6.24,7.01
91,10.48,12.32
92,5.74,8.66
93,4.03,5.26
94,7.28,8.04
95,8.03,8.47
96,14.55,17.34
97,18.98,20.18
98,10.89,13.46
99,10.21,10.85
100,9.95,11.27
101,3.65,4.53
102,5.24,5.97
103,3.83,4.9
105,4.76,6.57
106,2.93,3.75
107,7.48,8.35
108,8.19,8.6
109,12.56,13.31
110,9.59,10.43
111,9.53,12.82
112,6.8,7.56
113,17.9,20.51
114,2.26,3.16
115,19.82,24.86
116,9.81,12.59
117,15.95,19.15
118,8.05,8.16
119,6.43,7.06
120,7.16,8.61
121,9.81,11.22
122,,
123,17.99,18.56
124,9.07,11.23
125,13.63,15.86
126,0.8,1.81
127,9.36,10.4
128,7.6,10.4
129,15.61,16.03
130,11.78,12.42
131,10.59,11.37
132,3.36,3.53
133,6.86,7.06
134,4.17,4.87
135,4.62,4.84
136,10.65,11.98
137,6.54,7.8
138,2.93,3.5
139,8.3,9.02
140,13.4,14.84
141,3.5,3.93
142,11.84,13.66
143,10.08,10.69
144,8.15,8.85
145,8.43,8.84
146,9.29,10.31
147,11.77,12.82
148,14.6,16.3
149,3.93,4.81
150,9,9.74
151,15.43,17.92
152,4.08,4.77
153,18.88,21.59
154,15.04,16.16
155,13.03,14.1
156,15.07,17.8
157,5.88,6.89
158,18.77,21.68
159,4.26,5.34
160,16.2,18.01
161,8.81,10.11
162,9.42,9.81
163,5.98,6.66
164,10.63,11.75
165,6.7,7.35
166,5.37,6.01
167,2.87,3.42
168,8.41,8.7
169,9.27,10.56
170,9.8,10.34
171,5.04,5.1
172,10.54,12.98
173,3.77,5.3
174,8.24,9.07
175,12.95,13.52
176,19.1,19.31
177,14.44,14.62
178,5.08,6.22
179,11.7,12.43
180,5.6,6.17
181,16.82,18.48
182,5.38,6.03
183,3.45,3.75
184,9.17,9.47
185,6.86,6.87
186,11.41,12.07
187,6.43,6.53
188,8.27,9.05
189,3.41,3.43
190,4.39,5.14
191,13.5,14.4
192,9.38,11.79
193,8.1,8.46
194,17.4,18.6
195,9.78,11.93
196,9.22,10.32
197,9.54,10.93
198,9.32,9.96
199,9.42,11.53
200,1.68,3.23
201,17.86,18.77
202,7.76,8.49
203,8.42,9.24
204,6.26,8.21
205,6.39,6.63
206,5.87,6.67
207,4.66,7.91
208,12.6,13.56
209,14.55,16.43
210,8.01,8.01
211,13.15,14.2
212,5.6,6.34
213,10.73,11.08
215,5.86,6.13
216,4.84,5.26
217,9.07,9.44
218,16.68,17.55
219,7.86,9.73
220,9.06,9.31
221,9.45,11.25
222,11.04,11.83
223,9.99,11.79
224,10.94,12.65
225,4.72,5.59
226,4.43,4.98
227,11.57,12.68
228,2.64,2.91
229,8.51,11.99
230,4.86,7.8
231,10.37,11.41
232,11.71,13.47
233,12.45,13.74
234,16.02,17.24
235,13.31,14.16
236,9.71,10.28
237,11.61,13.4
238,13.49,14.56
240,8.56,8.96
241,14.06,14.66
242,7.02,8.3
243,0.52,0.59
244,10.76,11.72
245,6.04,5.92
246,9.52,10.68
247,2.73,3.25
248,3.33,5.33
249,1.88,3.05
250,8.76,10.05
251,8.71,10.11
252,6.44,6.98
253,11.92,12.66
254,1.77,2.34
255,16.35,17.45
256,14.45,16.17
257,13.66,16.8
258,14.57,16.1
259,11.51,12.71
260,19.64,21.73
261,13.39,14.18
262,22.47,23.83
263,17.07,18.02
264,10.13,11.92
265,9.62,10.46
266,15.5,16.39
267,21.75,24.59
268,9.81,10.68
269,15.93,16
270,2.99,4.43
271,7.88,8.83
272,3.43,4.57
273,7.85,8.89
274,3.76,3.62
275,11.88,12.01
276,10.7,11.93
277,7.9,9.33
278,6.39,7.26
279,7.39,7.98
280,5.43,6.21
281,5.04,5.42
282,7.08,8
283,14.5,15.36
284,5.96,5.55
285,,
286,3.01,3.17
287,8.7,9.17
288,13.67,13.95
289,17.64,20.42
290,3.91,4.18
291,5.71,7.33
292,4.22,4.82
293,4.38,5.59
294,4.97,5.43
295,6.98,8.09
296,7.09,7.64
297,3.01,3.42
298,4.59,5.09
299,14.89,16.87
