id,y_2011,y_2013,y_2015
2,10.83,10.81,10.79
3,43.69,47.46,47.52
4,4.01,4.02,4.04
5,3.32,3.29,3.31
6,8.25,8.2,8.17
7,4.2,4.23,4.26
8,9.01,10.24,10.3
9,3.05,3.05,3.02
10,15.99,15.95,15.92
11,12.09,12.12,12.25
12,12.57,12.57,12.57
13,18.12,18.1,18.27
14,16.13,16.14,16.14
15,8.25,8.25,8.33
16,21.19,21.12,21.12
17,12.56,12.56,12.56
18,15.98,16.91,16.95
19,17.55,17.59,17.62
20,14.53,14.52,14.52
21,11.68,12.16,12.2
22,4.67,3.64,4.99
23,5.49,5.5,5.5
24,4.74,4.73,4.48
25,11.11,11.11,11.12
26,10.66,10.66,10.69
27,9.9,9.88,9.88
28,5.45,5.48,5.5
29,5.66,5.66,5.65
30,5.03,5.04,8.54
31,6.77,6.78,6.76
32,2.2,2.2,2.2
33,6.12,6.23,6.28
34,7.89,8.09,8.13
35,6.79,7.52,8.01
36,10.3,10.51,12.31
37,7.9,7.8,7.79
38,8.41,8.42,8.41
39,9.32,9.41,9.53
40,11.83,11.83,11.83
41,7.74,7.73,7.73
42,13.27,13.28,13.28
43,6.41,6.51,6.54
44,4.47,4.55,4.61
45,9.87,11.06,11.37
46,9.57,9.56,9.56
47,6.41,6.4,6.4
48,6.26,6.18,6.15
49,9.48,9.53,9.62
50,10.53,10.53,10.54
51,7.37,7.37,7.32
52,8.92,8.89,5.51
53,10.57,10.6,12.22
54,5.62,5.62,5.59
55,8.04,8.03,8.03
56,3.59,3.59,3.64
57,6.83,6.69,6.69
58,4.85,4.85,4.85
59,11.11,11.11,11.1
60,9.99,11.28,11.27
61,4.33,4.33,4.34
62,1.99,1.38,0.64
64,19.72,19.74,20.67
65,9.79,10.85,12.25
66,12.56,12.63,13.53
67,3.23,6.31,6.43
68,11.33,11.33,11.33
69,6.38,7.55,6.35
70,5.22,5.23,5.21
71,14.08,14.17,14.25
72,5.61,11.77,11.76
73,10.2,10.41,10.62
74,7.4,7.4,7.4
75,6.71,7.39,7.95
76,7.87,9.7,11.05
77,20.49,21.27,22.45
78,8.37,8.96,9.12
79,6.79,6.79,5.18
80,11.61,11.75,11.63
81,4.54,4.54,4.54
82,9.02,9.02,9.02
83,2.93,2.94,2.91
84,2.74,2.72,2.64
85,7.82,7.76,7.71
86,10.5,9.93,11.16
87,6.91,6.84,6.82
88,4.81,4.74,4.69
89,5.49,5.49,5.5
90,8.26,8.28,8.28
