id,r11_2011,y_2013
2,17.7,17.7
3,36.4,32.8
4,16.6,16.6
5,35.7,35.7
6,31,31
7,12.7,12.1
8,14.4,13.9
9,3,3
10,16.2,16.2
11,19.2,19.2
12,1.9,1.9
13,7.3,5.9
14,26.6,26.6
15,24.9,24.9
16,15.1,15.1
17,7.8,7.8
18,55.1,55.1
19,24.4,24.4
20,15.9,15.9
21,82.9,82.9
22,36.9,36.9
23,40.7,40.7
24,6.2,6.2
25,19.8,29.5
26,246.2,246.2
27,20.8,20.8
28,2.4,2.4
29,12.9,12.9
30,35.4,17.2
31,6.5,6.5
32,0,0
33,41.2,41.2
34,272.6,381.5
35,1090.6,1096.8
36,49,24.9
37,23.4,23.6
38,218.3,243
39,109.3,109.3
40,19.3,19.3
41,10.4,10.4
42,28.5,28.5
43,22.1,22.1
44,27.3,27.3
45,407.4,337.5
46,3.5,3.5
47,2.6,2.6
48,311.2,311.2
49,151.1,151.1
50,3.2,3.2
51,24.3,23.5
52,16.9,16.9
53,69.3,69.3
54,271.3,271.3
55,38.6,38.6
56,41.6,41.6
57,15.8,15.8
58,6.4,6.4
59,50.8,50.8
60,185.8,185.8
61,48,48
62,0,0
64,36.4,36.4
65,138.9,138.9
66,19.5,19.5
67,38.5,38.5
68,334.2,334.2
69,3.7,3.7
70,6.3,6.3
71,10.2,10.2
72,299.9,299.9
73,1360.3,1360.3
74,1.9,1.9
75,20.3,20.3
76,251.7,251.7
77,287.3,287.3
78,58,58
79,1.4,1.4
80,363.4,363.5
81,26.6,26.6
82,99.2,99.2
83,1437.7,1431.5
84,1204.7,1204.7
85,23.7,23.7
86,1,1
87,5.7,5.7
88,48.3,48.3
89,17.6,17.6
90,7.6,7.6
91,11.6,11.6
92,53.8,53.8
93,159.6,159.6
94,110.8,110.8
95,12.3,12.3
96,202.4,202.4
97,23.7,23.7
98,468.3,464.5
99,11.1,13.6
100,20.3,20.3
101,8.4,8.4
102,10.2,10.2
103,20.1,20.1
105,22.5,22.5
106,1.7,1.7
107,8.8,5
108,98.7,102.5
109,204.3,204.3
110,279.7,279.7
111,205.6,205.6
112,512,512
113,235.4,235.4
114,144.3,144.3
115,140,140
116,927.3,927.3
117,61.8,61.8
118,12.7,12.7
119,231.3,122.3
120,44.6,44.6
121,39,39
122,62.3,62.3
123,167.2,167.2
124,83,83
125,135.7,134
126,70.9,70.9
127,47.3,47.3
128,14,14
129,0.1,0.1
130,1120.1,1120.1
131,35.8,35.8
132,0.7,0.7
133,4.1,4.1
134,13.5,13.5
135,6.8,6.8
136,97.5,97.5
137,142.7,144
138,35.6,35.6
139,124.6,124.6
140,129.5,140.8
141,84.9,84.9
142,8.3,8.3
143,7.2,7.2
144,77.7,49.7
145,75.9,75.9
146,51.6,51.6
147,44,44
148,23.8,23.8
149,31.5,31.4
150,45.6,45.6
151,33.9,17.4
152,184.4,175.6
153,74.4,74.4
154,72.6,72.6
155,463.1,463.1
156,331.8,331.8
157,25.6,25.6
158,83,83
159,139,139
160,54,54
161,8.6,8.6
162,14.2,18
163,22.9,21.4
164,9.2,9.6
165,21.4,21.4
166,18.7,18.7
167,62.3,62.3
168,1.1,1.1
169,20,20
170,51.9,51.9
171,10.9,4.2
172,51.5,51.5
173,86.6,86.6
174,1578,1578.1
175,20.5,20.5
176,9.7,9.7
177,7.4,7.4
178,342.6,342.6
179,19.4,19.4
180,37.2,37.2
181,28,28
182,12.8,12.8
183,43,43
184,4.1,4.1
185,9,9
186,56.1,56.1
187,12.8,1.4
188,33,32.5
189,0,0
190,78.2,78.2
191,42.5,42.5
192,331.2,331.2
193,4.4,4.4
194,29,29
195,548.6,512.5
196,121,121
197,21.7,21.7
198,22.8,22.8
199,50.9,50.9
200,4,4.5
201,28.7,28.7
202,4.6,4.6
203,191.6,191.6
204,47.4,47.4
205,101,101
206,0.3,0.3
207,88.8,65.5
208,12.7,12.7
209,197.4,197.4
210,25.8,25.8
211,37.9,37.9
212,48.6,48.6
213,1.8,1.8
215,37.7,31.4
216,12.8,12.8
217,21.1,21.1
218,12.4,12.4
219,152.1,152.1
220,11.6,11.6
221,57.8,57.8
222,4.8,4.8
223,11.7,11.7
224,0,0
225,284.8,284.8
226,0.5,0.5
227,72.1,73.1
228,453.7,453.7
229,395.9,394.9
230,48.8,48.8
231,226.5,149.4
232,119.4,87.3
233,35.1,35.1
234,384.2,386.7
235,11.9,11.9
236,58.4,57.2
237,141.6,141.6
238,44.8,44.8
240,41,41
241,19,19
242,51.8,51.8
243,321.8,321.8
244,187,187
245,5.4,5.4
246,9.4,9.4
247,27.7,27.7
248,6.6,6.6
249,0,0
250,79.5,57.3
251,72.9,70.3
252,27.3,19.9
253,0,0
254,565.2,548.7
255,24,24
256,2094.4,2189.8
257,52.7,43.1
258,109,109
259,143.6,26.2
260,177.4,177.4
261,0.2,0.2
262,56.2,56.2
263,19.4,18.9
264,39.3,39.3
265,9,9
266,384.6,384.6
267,441.6,441.6
268,5.6,5.6
269,13.9,13.9
270,0,0
271,0.5,0.5
272,37.3,37.3
273,160.1,160.1
274,9.6,9.6
275,12.3,12.3
276,50.2,50.2
277,271.1,289.9
278,25.8,25.8
279,1,1
280,102.2,103.5
281,18.8,18.8
282,71.7,70.3
283,77.8,79.2
284,525,607.5
285,380.5,380.5
286,427.1,427.1
287,84.4,84.4
288,62,62
289,299.8,299.8
290,64.9,64.9
291,6.8,6.8
292,68.5,68.5
293,5.1,5.2
294,86.8,86.8
295,7.7,7.7
296,203.2,203.2
297,0,0
298,0.2,0.2
299,74.3,107.7
300,63.8,63.8
301,145.9,112.5
302,0,0
303,0,0
304,7.3,7.3
305,52.8,52.8
306,251,251
307,12.2,12.2
308,4.6,4.6
309,24.5,24.5
310,13.9,13.9
311,33.9,33.9
312,7.2,7.2
313,49.9,49.9
314,4.3,4.3
315,26.8,26.8
316,27.6,27.6
317,31.9,31.9
318,26.1,26.1
319,38.6,38.6
320,1.8,1.8
321,33,33
322,12.3,12.3
323,19.5,19.5
324,394.1,394.1
325,44.2,44.2
326,4.7,4.7
327,30.3,30.3
328,124.2,124.2
329,41.1,158.5
330,68.8,68.8
331,451.2,447.1
332,188.1,188.1
333,114.4,114.4
334,0,0
335,122.7,107.1
336,550.9,550.9
337,125.6,125.6
338,16.1,4.6
339,31.9,27.5
340,21.4,21.4
341,14.1,12.1
342,3.8,3.8
343,12.1,12.1
344,36.4,36.4
345,160.6,160.6
346,55.6,55.6
347,23.3,23.3
348,277.2,277.2
349,8.2,8.2
350,0.5,0.5
351,18.6,19.1
352,4.8,4.8
353,14.1,14.1
354,3.7,3.7
355,12.2,12.2
356,57,64.8
357,9.3,9.3
358,13.9,6.1
359,16.6,16.6
360,385.5,385.5
361,99.1,99.1
362,22.4,22.4
363,262.1,262.1
364,19.4,19.4
365,10.1,10.1
366,12.5,12.5
367,18.2,18.2
368,50.8,50.8
369,28.2,28.2
370,46.5,46.5
371,107.8,107.8
372,133.8,107.7
373,10.7,10.7
374,58.3,58.3
375,19,19
376,190.9,190.9
377,104.8,104.8
378,33.4,33.6
379,58.9,58.8
380,53.8,53.3
381,12.6,7.9
382,49.7,49
383,17.4,17.4
384,19.2,23.2
385,68.1,68.1
386,23.9,23.9
387,313.3,313.3
388,22.3,19.7
389,13.5,12.5
390,16.1,16.1
391,9.7,7.2
392,19.6,20.2
393,6.1,6.1
394,29.6,29.6
395,57.1,57.1
396,1520.5,1520.5
397,7.4,7.4
398,50.3,50.3
399,150.2,150.2
400,47.2,47.2
401,54.6,54.6
402,213.3,213.3
403,467.3,475.2
404,56.5,56.5
405,54.2,54.2
406,135.4,135.4
407,316.4,316.4
408,61.6,61.6
409,108.2,108.2
410,19.5,19.5
411,135.1,135.1
412,353.6,353.6
413,133.9,133.9
416,9.6,9.6
417,65.6,65.6
418,158.1,158.1
419,62.7,62.7
420,29.1,29.1
421,217.6,217.6
422,919.3,919.4
423,1107,1107
424,126.1,117.4
425,472.1,472.1
426,22.5,22.5
428,474.8,474.8
430,307.8,307.8
431,210.5,210.5
432,404.3,404.3
433,47.3,47.3
434,1041.2,1031.5
435,108.5,108.5
436,12.1,12.1
437,1755,1755
438,887.9,887.8
442,63.1,91.1
443,26,31.7
444,64.7,59
445,60.8,60.8
446,240,240
447,205.1,205.1
448,227.4,227.4
449,51.4,51.4
450,1127.6,1127.6
451,994.2,994
452,194.5,194.5
453,131.4,131.4
454,516.4,516.4
455,280.5,272.6
456,41.4,41.4
457,15.4,15.4
458,31.3,31.3
459,146.4,146.4
460,177.3,177.3
462,1033.6,1033.6
463,32.6,32.6
464,106,106
465,69.5,69.5
466,848.3,848.3
467,89.8,89.8
468,142.2,142.2
469,854.5,854.5
470,22.8,22.8
471,98.1,98.1
472,60.3,60.3
473,103.4,107.2
474,37.3,37.3
475,109.3,109.3
