id,y_2011,y_2012,y_2013,y_2014,y_2015
2,5,7,9,11,50
3,159,191,140,166,99
4,1,0,1,1,0
5,20,0,1,4,11
6,4,6,7,10,6
7,27,29,21,45,33
8,2,16,3,4,3
9,2,4,1,0,0
10,2,11,6,6,6
11,5,11,9,18,23
12,6,1,1,1,5
13,11,3,11,14,443
14,3,4,5,0,1
15,1,2,1,8,4
16,7,3,3,4,3
17,5,9,0,0,1
18,20,7,22,12,6
19,8,10,11,11,18
20,4,30,62,67,36
21,12,7,11,12,17
22,15,11,5,10,7
23,4,6,8,3,34
24,1,1,4,0,2
25,1,1,0,0,1
26,0,1,0,1,2
27,2,2,0,3,2
28,30,10,13,15,12
29,1,2,1,0,0
30,8,14,50,22,15
31,1,2,0,3,3
32,6,15,11,9,8
33,8,1,0,3,5
34,11,1,2,6,1
35,4,1,7,9,0
36,3,10,11,3,4
37,4,5,4,3,8
38,19,20,20,34,26
39,0,1,1,0,1
40,0,0,0,4,4
41,30,5,6,0,14
42,1,2,119,13,2
43,1,2,2,1,24
44,3,0,3,3,6
45,0,1,0,211,19
46,2,0,0,1,1
47,3,8,1,3,5
48,4,1,2,3,4
49,0,2,1,0,0
50,5,6,4,5,2
51,4,14,3,8,14
52,23,9,50,10,23
53,8,12,5,9,11
54,8,5,9,10,7
55,3,5,5,9,9
56,10,7,10,8,7
57,17,23,8,6,5
58,2,31,2,15,11
59,1,2,38,4,1
60,19,7,4,22,10
61,1,0,0,4,1
62,0,0,0,1,0
64,23,8,12,9,32
65,0,1,5,2,4
66,17,18,39,15,22
67,0,33,1,0,0
68,13,19,12,11,18
69,7,9,13,3,8
70,3,3,7,4,2
71,1,57,8,0,3
72,30,24,21,17,8
73,9,6,10,23,18
74,1,11,7,13,23
75,1,2,0,1,0
76,3,5,2,5,8
77,1,3,6,11,1
78,12,27,6,17,26
79,0,2,4,10,3
80,1,1,0,0,7
81,0,0,0,2,2
82,1,10,2,13,3
83,4,3,0,8,3
84,2,1,3,2,10
85,3,3,2,2,0
86,1,1,0,29,133
87,7,8,5,5,15
88,12,4,3,3,3
89,0,1,0,2,1
90,2,18,2,1,2
91,0,0,2,0,0
92,5,26,15,9,20
93,42,14,9,20,28
94,18,10,9,12,26
95,16,16,21,22,23
96,19,14,10,20,12
97,3,0,1,1,2
98,1,1,0,0,0
99,0,0,5,1,1
100,5,4,5,6,7
101,21,21,17,14,2
102,0,0,0,0,0
103,1,7,0,0,0
105,2,1,1,2,16
106,1,10,10,5,8
107,21,0,0,2,1
108,0,1,4,2,6
109,4,6,6,8,1
110,3,3,1,1,1
111,2,1,4,0,6
112,0,1,0,0,0
113,1,0,2,3,2
114,8,9,8,3,6
115,5,6,11,5,3
116,25,26,65,38,47
117,2,2,1,5,1
118,1,1,1,2,0
119,2,4,0,12,3
120,1,2,2,2,3
121,0,3,16,3,1
122,30,36,29,31,48
123,11,5,2,2,3
124,129,28,20,11,13
125,12,15,9,14,12
126,0,1,0,0,4
127,0,3,3,3,4
128,3,1,1,0,0
129,0,0,0,0,0
130,5,5,5,6,3
131,0,0,0,0,2
132,3,3,1,4,4
133,0,1,2,1,4
134,0,14,0,1,0
135,2,11,5,7,2
136,0,0,1,0,1
137,3,1,4,2,4
138,10,5,1,4,3
139,3,3,4,1,3
140,1,7,2,3,7
141,1,7,27,7,7
142,10,14,14,10,8
143,0,2,1,0,0
144,21,1,0,4,0
145,1,4,6,6,0
146,1,5,3,0,1
147,17,1,4,1,2
148,0,1,0,1,1
149,4,4,5,6,9
150,0,2,1,1,1
151,1,1,4,2,18
152,1,1,0,0,0
153,13,20,9,16,8
154,5,5,0,7,7
155,0,1,0,0,10
156,0,1,0,1,5
157,9,12,7,27,17
158,9,7,5,4,17
159,6,25,3,8,4
160,4,2,5,4,9
161,2,4,5,2,6
162,3,0,1,5,2
163,26,16,15,31,21
164,9,19,15,27,57
165,3,347,4,1,2
166,2,142,4,1,3
167,1,0,1,3,0
168,2,2,1,0,1
169,2,0,39,21,1
170,3,3,4,9,1
171,8,17,13,14,14
172,11,5,5,5,10
173,0,0,1,2,1
174,13,25,13,40,38
175,0,2,2,0,0
176,0,1,0,1,1
177,0,0,0,0,3
178,61,80,76,70,80
179,2,1,4,4,2
180,1,3,0,1,3
181,6,7,3,6,1
182,10,10,9,5,11
183,0,175,0,0,110
184,0,0,0,2,1
185,4,24,4,0,7
186,3,5,4,2,9
187,0,1,5,4,3
188,0,1,0,0,3
189,0,69,101,15,0
190,1,9,6,6,5
191,49,0,0,0,0
192,4,3,7,3,4
193,15,10,7,8,1
194,4,4,7,8,4
195,1,0,31,0,2
196,1,0,1,1,1
197,4,0,1,0,1
198,1,4,12,10,3
199,7,18,6,9,12
200,9,7,4,2,2
201,2,1,3,1,1
202,2,5,1,0,0
203,2,7,4,0,1
204,10,10,5,6,4
205,0,0,0,0,1
206,0,0,1,0,0
207,27,29,20,13,22
208,2,1,1,1,3
209,1,2,29,16,3
210,8,8,8,9,26
211,0,0,1,0,0
212,15,124,10,49,17
213,20,33,65,65,71
215,0,3,1,0,2
216,1,1,0,1,0
217,3,0,0,0,3
218,1,8,2,2,2
219,15,20,16,20,27
220,2,3,0,2,0
221,2,2,8,2,2
222,1,1,0,0,0
223,1,1,1,1,2
224,0,1,2,2,1
225,0,0,0,1,5
226,0,1,2,2,0
227,1,0,1,0,1
228,0,1,1,0,0
229,1,1,0,4,0
230,2,0,3,1,1
231,3,19,3,3,14
232,1,1,1,1,4
233,9,15,23,19,25
234,4,9,3,4,6
235,0,3,0,3,0
