id,y_2013
2,664
3,3306
4,156
5,329
6,820
7,0
8,208
9,305
10,1595
11,994
12,1257
13,1518
14,1315
15,474
16,2112
17,1256
18,168
19,684
20,1151
21,1211
22,316
23,401
24,434
25,22
26,62
27,988
28,431
29,339
30,497
31,0
32,220
33,589
34,496
35,0
36,769
37,780
38,661
39,771
40,1182
41,460
42,2
43,485
44,0
45,0
46,956
47,277
48,497
49,671
50,1053
51,737
52,624
53,1060
54,534
55,262
56,0
57,669
58,485
59,1101
60,249
61,433
62,0
64,1713
65,663
66,0
67,629
68,1073
69,0
70,520
71,1417
72,0
73,537
74,15
75,0
76,269
77,1790
78,584
79,679
80,1016
81,438
82,558
83,88
84,63
85,776
86,969
87,677
88,474
89,549
90,828
91,839
92,1032
93,624
94,138
95,636
96,1522
97,370
98,499
99,539
100,701
101,728
102,523
103,481
105,525
106,720
107,1071
108,533
109,66
110,0
111,848
112,197
113,958
114,418
115,1376
116,894
117,1408
118,321
119,157
120,594
121,825
122,
123,1068
124,890
125,782
126,189
127,914
128,1044
129,265
130,4
131,755
132,50
133,494
134,449
135,511
136,32
137,433
138,249
139,661
140,983
141,341
142,1299
143,0
144,918
145,367
146,619
147,950
148,41
149,4
150,680
151,511
152,248
153,0
154,750
155,886
156,959
157,391
158,1098
159,381
160,911
161,28
162,700
163,539
164,1708
165,911
166,538
167,361
168,633
169,494
170,360
171,397
172,25
173,384
174,156
175,1
176,1139
177,5
178,675
179,331
180,483
181,698
182,268
183,352
184,573
185,1368
186,824
187,405
188,673
189,0
190,247
191,67
192,823
193,550
194,436
195,48
196,580
197,993
198,127
199,1238
200,235
201,676
202,714
203,0
204,333
205,119
206,225
207,1035
208,252
209,859
210,0
211,331
212,497
213,348
215,0
216,356
217,100
218,1000
219,31
220,627
221,998
222,42
223,675
224,1062
225,0
226,191
227,838
228,22
229,437
230,1213
231,122
232,632
233,1127
234,557
235,730
236,0
237,803
238,795
240,783
241,0
242,492
243,14
244,690
245,401
246,1202
247,454
248,38
249,531
250,296
251,625
252,69
253,14
254,314
255,225
256,66
257,598
258,940
259,981
260,1235
261,452
262,163
263,328
264,737
265,418
266,320
267,1528
268,696
269,339
270,0
271,448
272,560
273,679
274,554
275,728
276,10
277,378
278,852
279,619
280,14
281,481
282,484
283,862
284,2
285,0
286,0
287,884
288,829
289,826
290,406
291,998
292,415
293,354
294,434
295,521
296,250
297,102
298,798
299,926
300,569
301,739
302,527
303,884
304,378
305,337
306,359
307,1101
308,456
309,108
310,722
311,581
312,624
313,575
314,935
315,395
316,1449
317,140
318,173
319,1086
320,288
321,473
322,426
323,721
324,4
325,1013
326,307
327,626
328,372
329,758
330,432
331,677
332,108
333,1018
334,356
335,426
336,894
337,333
338,1053
339,954
340,3959
341,1487
342,331
343,844
344,752
345,275
346,815
347,347
348,850
349,576
350,0
351,0
352,1141
353,100
354,1012
355,1049
356,657
357,1401
358,0
359,242
360,1206
361,451
362,1311
363,1011
364,1017
365,700
366,48
367,2681
368,1160
369,509
370,38
371,2256
372,1633
373,854
374,1104
375,298
376,996
377,1900
378,2085
379,610
380,546
381,1239
382,933
383,1481
384,1460
385,2014
386,847
387,924
388,642
389,3140
390,666
391,499
392,2324
393,1820
394,789
395,73
396,158
397,921
398,8
399,858
400,280
401,19
402,0
403,100
404,438
405,545
406,390
407,73
408,539
409,276
410,204
411,165
412,3
413,12
416,893
417,369
418,466
419,0
420,744
421,336
422,55
423,0
424,463
425,0
426,447
428,80
430,1125
431,10
432,780
433,91
434,155
435,215
436,141
437,120
438,13
442,513
443,202
444,430
445,890
446,69
447,0
448,623
449,100
450,151
451,0
452,252
453,844
454,23
455,89
456,549
457,120
458,18
459,803
460,1022
462,151
463,931
464,418
465,221
466,437
467,263
468,0
469,0
470,0
471,1116
472,86
473,391
474,551
475,157
