id,y_2011,y_2013,y_2015
2,1081,1080,1078
3,3343,3622,3316
4,162,162,173
5,332,329,331
6,825,820,817
7,355,357,360
8,199,206,208
9,305,305,302
10,1599,1595,1592
11,993,998,1009
12,1257,1257,1257
13,1812,1810,1827
14,1103,1105,1595
15,3,4,461
16,2112,2105,1988
17,1256,1256,1256
18,377,383,554
19,1005,1006,1001
20,957,956,549
21,1167,1215,1207
22,432,329,490
23,415,415,378
24,465,464,443
25,298,299,299
26,63,62,64
27,990,988,630
28,472,474,485
29,339,339,338
30,502,503,853
31,140,141,388
32,220,220,220
33,3,3,38
34,475,496,525
35,1,1,0
36,768,769,586
37,790,780,779
38,768,769,769
39,747,760,748
40,1183,1182,1183
41,319,320,232
42,1096,1097,1097
43,466,485,488
44,335,336,341
45,24,71,885
46,957,956,956
47,270,271,277
48,515,516,514
49,648,651,708
50,1053,1053,1054
51,737,737,702
52,577,624,286
53,1057,1060,1222
54,537,537,472
55,159,159,262
56,0,0,0
57,683,669,566
58,485,485,485
59,1065,1065,1110
60,656,763,860
61,433,433,434
62,0,0,0
64,1971,1974,1887
65,809,663,663
66,0,0,0
67,321,629,629
68,1005,1005,1093
69,327,328,208
70,519,520,518
71,1374,1391,1399
72,0,0,0
73,549,545,564
74,319,319,319
75,86,109,587
76,64,71,540
77,1740,1778,1890
78,596,596,595
79,679,679,518
80,1002,1016,1003
81,452,452,454
82,432,433,558
83,90,90,29
84,70,70,48
85,781,776,771
86,1050,993,1116
87,685,679,677
88,481,474,469
89,549,549,543
90,418,420,425
91,840,839,839
92,883,1032,1206
93,624,624,624
94,138,138,138
95,636,636,636
96,1180,1522,1804
97,370,370,370
98,495,500,535
99,535,539,538
100,701,701,701
101,729,728,728
102,524,523,524
103,479,481,480
105,434,525,633
106,720,720,720
107,1064,1064,1071
108,535,534,520
109,0,0,0
110,0,0,0
111,726,848,847
112,121,122,198
113,912,956,944
114,544,424,417
115,942,910,920
116,893,894,902
117,1352,1408,1453
118,297,297,321
119,215,214,241
120,596,594,598
121,825,824,826
122,,,
123,1075,1077,1088
124,890,890,890
125,763,782,845
126,41,189,251
127,913,914,985
128,1044,1044,1043
129,263,265,273
130,0,0,91
131,709,755,790
132,55,56,50
133,504,504,605
134,449,449,449
135,510,511,511
136,21,21,77
