id,y_2010,y_2011,y_2012,y_2013
2,11,11,16,19
3,77,88,113,118
4,27,15,19,24
5,2,4,1,3
6,6,9,11,19
7,19,39,33,49
8,8,9,43,14
9,6,8,7,16
10,15,25,32,38
11,48,34,42,46
12,0,0,0,0
13,15,12,15,21
14,3,10,5,6
15,19,16,19,38
16,20,15,11,19
17,4,6,7,8
18,26,31,42,53
19,38,42,37,41
20,5,14,6,12
21,5,8,3,7
22,4,3,5,6
23,1,0,1,1
24,10,9,7,10
25,22,16,13,22
26,5,7,8,7
27,9,2,3,1
28,14,14,16,13
29,12,9,14,10
30,0,0,4,8
31,21,34,27,25
32,0,3,0,0
33,0,0,3,0
34,10,7,8,12
35,6,9,8,17
36,19,12,7,10
37,14,16,17,23
38,19,11,14,8
39,8,7,2,14
40,14,3,6,7
41,6,12,6,6
42,12,17,19,14
43,17,20,12,32
44,7,13,8,8
45,14,10,14,17
46,5,4,3,7
47,6,0,2,0
48,4,4,1,0
49,4,7,4,2
50,8,4,7,5
51,2,14,12,13
52,2,0,1,3
53,5,5,8,11
54,5,3,3,9
55,69,49,14,24
56,4,5,2,5
57,3,1,1,0
58,0,2,6,3
59,1,1,4,2
60,0,0,0,0
61,0,3,2,2
62,0,0,0,0
64,2,1,3,2
65,0,0,0,0
66,1,0,2,0
67,0,0,0,0
68,6,4,3,2
69,9,19,25,29
70,5,4,3,5
71,3,0,0,0
72,1,0,3,3
73,9,4,2,2
74,4,3,3,5
75,9,10,7,19
76,9,13,11,18
77,14,12,1,6
78,4,6,7,1
79,0,0,0,0
80,0,0,0,0
81,3,2,3,3
82,4,3,3,2
83,2,6,5,11
84,3,1,1,0
85,15,17,8,15
86,0,0,0,0
87,3,8,6,4
88,12,4,6,7
89,6,3,6,6
90,2,4,3,9
91,3,3,6,5
92,0,1,0,0
93,0,0,0,0
94,4,3,4,5
95,3,1,1,3
96,16,4,8,5
97,12,10,6,8
98,3,1,3,4
99,6,5,8,9
100,5,5,4,9
101,0,0,0,2
102,2,5,1,4
103,1,0,1,2
105,1,11,8,4
106,1,1,0,1
107,0,0,0,0
108,22,1,5,4
109,13,14,15,18
110,5,3,12,6
111,2,4,5,5
112,7,5,4,9
113,3,7,7,3
114,0,3,3,1
